#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG671266,ANOGA04325,0.2801570306923626,0.2801570306923626,3925,14010,14010
ANOGA,OG1218158,ANOGA04293,0.5014245014245015,0.5014245014245015,352,702,702
ANOGA,OG823037,ANOGA04308,0.26814814814814814,0.26814814814814814,362,1350,1350
ANOGA,OG953548,ANOGA05931,0.38,0.38,741,1950,1950
ANOGA,OG341995,ANOGA04081,0.07248384118190213,0.07248384118190213,628,8664,8664
ANOGA,OG1181227,ANOGA04642,0.37861429350791054,0.37861429350791054,694,1833,1833
ANOGA,OG454890,ANOGA04502,0.6356356356356356,0.6356356356356356,635,999,999
ANOGA,OG964673,ANOGA05646,0.5120274914089347,0.5120274914089347,298,582,582
ANOGA,OG673136,ANOGA04099,0.14710485133020346,0.14710485133020346,188,1278,1278
ANOGA,OG979200,ANOGA04436,0.06468531468531469,0.06468531468531469,111,1716,1716
ANOGA,OG420493,ANOGA04637,0.2768361581920904,0.2768361581920904,196,708,708
ANOGA,OG661167,ANOGA04541,0.25,0.25,216,864,864
ANOGA,OG369576,ANOGA05331,0.44871794871794873,0.44871794871794873,245,546,546
ANOGA,OG961398,ANOGA05245,0.2167449139280125,0.2167449139280125,277,1278,1278
ANOGA,OG842298,ANOGA04047,0.3441324694024478,0.3441324694024478,1434,4167,4167
ANOGA,OG1226379,ANOGA04627,0.25547996976568405,0.25547996976568405,338,1323,1323
ANOGA,OG817086,ANOGA04277,0.26294820717131473,0.26294820717131473,198,753,753
ANOGA,OG814870,ANOGA05303,0.05074971164936563,0.05074971164936563,264,5202,5202
ANOGA,OG708597,ANOGA04416,0.10967993754879,0.10967993754879,281,2562,2562
ANOGA,OG1229017,ANOGA05305,0.16542155816435433,0.16542155816435433,465,2811,2811
ANOGA,OG342477,ANOGA04643,0.24319323288395453,0.24319323288395453,920,3783,3783
ANOGA,OG998211,ANOGA04098,0.10766721044045677,0.10766721044045677,396,3678,3678
ANOGA,OG451038,ANOGA04282,0.25,0.25,186,744,744
ANOGA,OG411836,ANOGA05239,0.3264525993883792,0.3264525993883792,427,1308,1308
ANOGA,OG1194738,ANOGA05637,0.5860881542699724,0.5860881542699724,851,1452,1452
ANOGA,OG966098,ANOGA04644,0.29134150873281306,0.29134150873281306,784,2691,2691
ANOGA,OG932104,ANOGA04539,0.13621480026195154,0.13621480026195154,208,1527,1527
ANOGA,OG1146505,ANOGA04324,0.04496124031007752,0.04496124031007752,116,2580,2580
ANOGA,OG362545,ANOGA07030,0.2779587404994571,0.2779587404994571,256,921,921
ANOGA,OG1198488,ANOGA05707,0.1454940282301846,0.1454940282301846,268,1842,1842
ANOGA,OG457108,ANOGA04521,0.24645390070921985,0.24645390070921985,139,564,564
ANOGA,OG968364,ANOGA07027,0.19928507596067918,0.19928507596067918,446,2238,2238
ANOGA,OG978616,ANOGA04292,0.3529925731760594,0.3529925731760594,808,2289,2289
ANOGA,OG946885,ANOGA05407,0.33562691131498473,0.33562691131498473,439,1308,1308
ANOGA,OG790850,ANOGA04067,0.3782654127481714,0.3782654127481714,362,957,957
ANOGA,OG1190683,ANOGA04295,0.34840871021775544,0.34840871021775544,416,1194,1194
ANOGA,OG949490,ANOGA04279,0.31593038821954483,0.31593038821954483,236,747,747
ANOGA,OG456338,ANOGA05365,0.14721919302071973,0.14721919302071973,810,5502,5502
ANOGA,OG1168476,ANOGA04432,0.48778565799842394,0.48778565799842394,619,1269,1269
ANOGA,OG986805,ANOGA05928,0.2409683426443203,0.2409683426443203,1294,5370,5370
ANOGA,OG719374,ANOGA05480,0.15841110313472123,0.15841110313472123,662,4179,4179
ANOGA,OG953187,ANOGA05445,0.6037037037037037,0.6037037037037037,326,540,540
ANOGA,OG960979,ANOGA05643,0.4075,0.4075,489,1200,1200
ANOGA,OG455346,ANOGA04634,0.15691263782866835,0.15691263782866835,185,1179,1179
ANOGA,OG1202789,ANOGA05383,0.30970384373030874,0.30970384373030874,983,3174,3174
ANOGA,OG1170587,ANOGA04139,0.3277942631058358,0.3277942631058358,3314,10110,10110
