#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG964633,ANODA05487,0.7301315037164093,0.7301315037164093,1277,1749,1749
ANODA,OG696447,ANODA04792,0.5540983606557377,0.5540983606557377,507,915,915
ANODA,OG1222683,ANODA08571,0.6742292030250145,0.6742292030250145,1159,1719,1719
ANODA,OG1240968,ANODA05983,0.585812356979405,0.585812356979405,768,1311,1311
ANODA,OG946885,ANODA07717,0.33874709976798145,0.33874709976798145,438,1293,1293
ANODA,OG964929,ANODA07247,0.4087719298245614,0.4087719298245614,699,1710,1710
ANODA,OG362633,ANODA07026,0.20945083014048532,0.20945083014048532,328,1566,1566
ANODA,OG1224967,ANODA01667,0.4766666666666667,0.4766666666666667,858,1800,1800
ANODA,OG961602,ANODA09075,0.8130511463844797,0.8130511463844797,461,567,567
ANODA,OG1197765,ANODA06617,0.6736401673640168,0.6736401673640168,483,717,717
ANODA,OG953548,ANODA07452,0.8584615384615385,0.8584615384615385,1674,1950,1950
ANODA,OG1223886,ANODA06917,0.18699186991869918,0.18699186991869918,92,492,492
ANODA,OG1198490,ANODA04841,1.0,1.0,1494,1494,1494
ANODA,OG1251511,ANODA09076,0.7039930555555556,0.7039930555555556,1622,2304,2304
ANODA,OG698904,ANODA03572,0.7427846495401205,0.7427846495401205,2342,3153,3153
ANODA,OG458150,ANODA02645,0.18871252204585537,0.18871252204585537,107,567,567
ANODA,OG971123,ANODA05742,0.2750373692077728,0.2750373692077728,552,2007,2007
ANODA,OG699681,ANODA09332,0.8082595870206489,0.8082595870206489,274,339,339
ANODA,OG1244115,ANODA03659,0.6666666666666666,0.6666666666666666,232,348,348
ANODA,OG411836,ANODA03579,0.4269406392694064,0.4269406392694064,561,1314,1314
ANODA,OG926503,ANODA08545,0.9465020576131687,0.9465020576131687,460,486,486
ANODA,OG958126,ANODA01492,0.22322775263951736,0.22322775263951736,148,663,663
ANODA,OG842298,ANODA01152,0.5116448326055313,0.5116448326055313,1406,2748,2748
ANODA,OG454890,ANODA10326,0.5223577235772358,0.5223577235772358,514,984,984
ANODA,OG1251552,ANODA07755,0.1685185185185185,0.1685185185185185,91,540,540
ANODA,OG970502,ANODA05891,0.44591029023746703,0.44591029023746703,507,1137,1137
ANODA,OG971355,ANODA03504,0.6089625537139349,0.6089625537139349,992,1629,1629
ANODA,OG1139777,ANODA01246,0.08831908831908832,0.08831908831908832,31,351,351
ANODA,OG1194738,ANODA04923,0.681129476584022,0.681129476584022,989,1452,1452
ANODA,OG1229017,ANODA05596,0.6606929510155317,0.6606929510155317,1659,2511,2511
ANODA,OG1218490,ANODA07244,0.3889931207004378,0.3889931207004378,622,1599,1599
ANODA,OG792952,ANODA03657,0.6431924882629108,0.6431924882629108,685,1065,1065
ANODA,OG456479,ANODA10251,0.6922639362912401,0.6922639362912401,1217,1758,1758
ANODA,OG1192905,ANODA10252,0.42379547689282204,0.42379547689282204,431,1017,1017
ANODA,OG1174608,ANODA04336,0.9887387387387387,0.9887387387387387,439,444,444
ANODA,OG977782,ANODA01117,0.2294757665677547,0.2294757665677547,464,2022,2022
ANODA,OG976835,ANODA06297,0.7224157955865272,0.7224157955865272,1244,1722,1722
ANODA,OG961299,ANODA07298,0.2783923303834808,0.2783923303834808,755,2712,2712
ANODA,OG828830,ANODA10328,0.5089820359281437,0.5089820359281437,255,501,501
ANODA,OG823022,ANODA00759,0.4383561643835616,0.4383561643835616,576,1314,1314
ANODA,OG344070,ANODA02026,0.3444857496902107,0.3444857496902107,1112,3228,3228
ANODA,OG961011,ANODA07246,0.43326195574589577,0.43326195574589577,1214,2802,2802
ANODA,OG456648,ANODA01951,0.3683127572016461,0.3683127572016461,537,1458,1458
ANODA,OG1226379,ANODA02643,0.3939393939393939,0.3939393939393939,507,1287,1287
ANODA,OG1174245,ANODA09078,0.44734151329243355,0.44734151329243355,875,1956,1956
ANODA,OG1236745,ANODA08566,0.4429065743944637,0.4429065743944637,384,867,867
ANODA,OG1215812,ANODA08572,0.6131498470948012,0.6131498470948012,401,654,654
ANODA,OG698997,ANODA05980,0.5869158878504673,0.5869158878504673,1884,3210,3210
ANODA,OG664391,ANODA07080,0.4105419450631032,0.4105419450631032,553,1347,1347
ANODA,OG961564,ANODA04794,0.34170591313448456,0.34170591313448456,653,1911,1911
ANODA,OG988784,ANODA08548,0.45979312645979314,0.45979312645979314,2756,5994,5994
ANODA,OG814084,ANODA09331,0.4083333333333333,0.4083333333333333,441,1080,1080
ANODA,OG341995,ANODA06295,0.38106549032914827,0.38106549032914827,3369,8841,8841
ANODA,OG1179948,ANODA10325,0.33687943262411346,0.33687943262411346,190,564,564
ANODA,OG839253,ANODA06918,0.08928571428571429,0.08928571428571429,30,336,336
ANODA,OG348620,ANODA06924,0.5989698307579102,0.5989698307579102,814,1359,1359
ANODA,OG1223272,ANODA01666,0.7347347347347347,0.7347347347347347,1468,1998,1998
ANODA,OG1225085,ANODA05595,0.2992216117216117,0.2992216117216117,1307,4368,4368
ANODA,OG968364,ANODA06500,0.8290304073436604,0.8290304073436604,1445,1743,1743
ANODA,OG1242667,ANODA10318,0.2692149609535553,0.2692149609535553,655,2433,2433
