#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1198488,ANOST00216,0.8414766558089034,0.8414766558089034,1550,1842,1842
ANOST,OG960910,ANOST00006,0.7998560115190785,0.7998560115190785,1111,1389,1389
ANOST,OG822311,ANOST00158,0.19407894736842105,0.19407894736842105,531,2736,2736
ANOST,OG1192905,ANOST00488,0.14781746031746032,0.14781746031746032,149,1008,1008
ANOST,OG455346,ANOST00156,0.2019400352733686,0.2019400352733686,229,1134,1134
ANOST,OG664391,ANOST00352,0.24964539007092199,0.24964539007092199,352,1410,1410
ANOST,OG1150857,ANOST00554,0.24790919952210275,0.24790919952210275,415,1674,1674
ANOST,OG1190683,ANOST00325,0.20435510887772193,0.20435510887772193,244,1194,1194
ANOST,OG1221689,ANOST00123,0.34196891191709844,0.34196891191709844,792,2316,2316
ANOST,OG796653,ANOST00189,0.3467176545570427,0.3467176545570427,544,1569,1569
ANOST,OG1251119,ANOST00180,0.13760117733627666,0.13760117733627666,187,1359,1359
ANOST,OG671266,ANOST00350,0.5906259270246218,0.5906259270246218,5973,10113,10113
ANOST,OG953548,ANOST00599,0.42732408834103747,0.42732408834103747,832,1947,1947
ANOST,OG976835,ANOST00102,0.22807017543859648,0.22807017543859648,390,1710,1710
ANOST,OG917347,ANOST00382,0.23572170301142265,0.23572170301142265,227,963,963
ANOST,OG454890,ANOST00551,0.14242424242424243,0.14242424242424243,141,990,990
ANOST,OG931899,ANOST00585,0.031146454605699137,0.031146454605699137,47,1509,1509
ANOST,OG341995,ANOST00098,0.03093057214921014,0.03093057214921014,233,7533,7533
ANOST,OG1224967,ANOST00112,0.24358974358974358,0.24358974358974358,437,1794,1794
ANOST,OG342477,ANOST00163,0.16248313090418354,0.16248313090418354,602,3705,3705
ANOST,OG966098,ANOST00164,0.08005985783763561,0.08005985783763561,214,2673,2673
ANOST,OG719374,ANOST00503,0.010513739545997611,0.010513739545997611,44,4185,4185
ANOST,OG964633,ANOST00017,0.21169590643274855,0.21169590643274855,362,1710,1710
ANOST,OG988784,ANOST00369,0.1276143790849673,0.1276143790849673,781,6120,6120
ANOST,OG411836,ANOST00028,0.09791216702663787,0.09791216702663787,136,1389,1389
ANOST,OG1223272,ANOST00111,0.1403951240016814,0.1403951240016814,334,2379,2379
ANOST,OG1202789,ANOST00471,0.12933666389120177,0.12933666389120177,466,3603,3603
ANOST,OG698997,ANOST00233,0.09360189573459715,0.09360189573459715,237,2532,2532
ANOST,OG986805,ANOST00600,0.10783824263604593,0.10783824263604593,648,6009,6009
ANOST,OG784747,ANOST00320,0.3953823953823954,0.3953823953823954,274,693,693
ANOST,OG1229017,ANOST00425,0.06722106722106722,0.06722106722106722,194,2886,2886
ANOST,OG1204971,ANOST00430,0.03125,0.03125,219,7008,7008
ANOST,OG1176412,ANOST00547,0.030608812647157754,0.030608812647157754,91,2973,2973
ANOST,OG1208321,ANOST00225,0.39549697968149367,0.39549697968149367,3601,9105,9105
ANOST,OG961013,ANOST00564,0.4909688013136289,0.4909688013136289,897,1827,1827
ANOST,OG964344,ANOST00343,0.04193319118692253,0.04193319118692253,59,1407,1407
ANOST,OG1212040,ANOST00490,0.13947163947163946,0.13947163947163946,718,5148,5148
ANOST,OG456351,ANOST00044,0.03367408298256164,0.03367408298256164,168,4989,4989
ANOST,OG420768,ANOST00161,0.12095032397408208,0.12095032397408208,336,2778,2778
ANOST,OG924410,ANOST00137,0.04803921568627451,0.04803921568627451,294,6120,6120
ANOST,OG896170,ANOST00127,0.4729885057471264,0.4729885057471264,823,1740,1740
ANOST,OG968775,ANOST00395,0.08645533141210375,0.08645533141210375,180,2082,2082
ANOST,OG1222683,ANOST00125,0.22105263157894736,0.22105263157894736,378,1710,1710
ANOST,OG1246006,ANOST00459,0.2696078431372549,0.2696078431372549,275,1020,1020
ANOST,OG961377,ANOST00356,0.7752161383285303,0.7752161383285303,807,1041,1041
ANOST,OG978616,ANOST00322,0.02099737532808399,0.02099737532808399,48,2286,2286
ANOST,OG961440,ANOST00539,0.12210526315789473,0.12210526315789473,174,1425,1425
ANOST,OG344070,ANOST00277,0.020508111417202327,0.020508111417202327,67,3267,3267
ANOST,OG964929,ANOST00497,0.21671671671671672,0.21671671671671672,433,1998,1998
ANOST,OG946387,ANOST00073,0.14217098943323728,0.14217098943323728,296,2082,2082
ANOST,OG968364,ANOST00614,0.511326860841424,0.511326860841424,790,1545,1545
ANOST,OG946885,ANOST00079,0.15560640732265446,0.15560640732265446,204,1311,1311
ANOST,OG762076,ANOST00214,0.13565891472868216,0.13565891472868216,105,774,774
ANOST,OG456479,ANOST00489,0.08444444444444445,0.08444444444444445,152,1800,1800
ANOST,OG1215812,ANOST00126,0.34408602150537637,0.34408602150537637,224,651,651
ANOST,OG1251511,ANOST00045,0.5017226528854436,0.5017226528854436,1165,2322,2322
ANOST,OG1235653,ANOST00565,0.15555555555555556,0.15555555555555556,287,1845,1845
ANOST,OG961011,ANOST00496,0.12957046503372383,0.12957046503372383,365,2817,2817
ANOST,OG960979,ANOST00268,0.26166666666666666,0.26166666666666666,314,1200,1200
ANOST,OG1198490,ANOST00464,0.9330655957161981,0.9330655957161981,1394,1494,1494
ANOST,OG790850,ANOST00477,0.14164004259850904,0.14164004259850904,133,939,939
ANOST,OG698904,ANOST00032,0.1408901697086135,0.1408901697086135,440,3123,3123
ANOST,OG971355,ANOST00110,0.38283208020050125,0.38283208020050125,611,1596,1596
