#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG961602,ANODA09075,0.8800705467372134,0.8800705467372134,499,567,567
ANODA,OG1208321,ANODA05883,0.8345712356515868,0.8345712356515868,7416,8886,8886
ANODA,OG784747,ANODA08561,0.9135220125786163,0.9135220125786163,581,636,636
ANODA,OG1214658,ANODA02027,0.42450142450142453,0.42450142450142453,298,702,702
ANODA,OG998211,ANODA01670,0.27381927381927385,0.27381927381927385,1003,3663,3663
ANODA,OG846448,ANODA08490,0.6347941567065073,0.6347941567065073,478,753,753
ANODA,OG958126,ANODA01492,0.6953242835595776,0.6953242835595776,461,663,663
ANODA,OG696447,ANODA04792,0.5114754098360655,0.5114754098360655,468,915,915
ANODA,OG1179969,ANODA09026,0.610501827849784,0.610501827849784,1837,3009,3009
ANODA,OG661167,ANODA02918,0.9711649365628604,0.9711649365628604,842,867,867
ANODA,OG1170587,ANODA03456,0.8823882388238824,0.8823882388238824,8823,9999,9999
ANODA,OG664391,ANODA07080,0.8737936154417223,0.8737936154417223,1177,1347,1347
ANODA,OG790850,ANODA06160,0.6141636141636142,0.6141636141636142,503,819,819
ANODA,OG988784,ANODA08548,0.5747414080747414,0.5747414080747414,3445,5994,5994
ANODA,OG814084,ANODA09331,0.4185185185185185,0.4185185185185185,452,1080,1080
ANODA,OG1192905,ANODA10252,0.7787610619469026,0.7787610619469026,792,1017,1017
ANODA,OG1146505,ANODA07082,0.7328843995510662,0.7328843995510662,1959,2673,2673
ANODA,OG964633,ANODA05487,0.8336192109777015,0.8336192109777015,1458,1749,1749
ANODA,OG1139777,ANODA01246,0.886039886039886,0.886039886039886,311,351,351
ANODA,OG971123,ANODA05742,0.22670652715495765,0.22670652715495765,455,2007,2007
ANODA,OG796653,ANODA01604,0.6670822942643392,0.6670822942643392,1605,2406,2406
ANODA,OG916860,ANODA09028,0.5340632603406326,0.5340632603406326,439,822,822
ANODA,OG1225085,ANODA05595,0.10393772893772894,0.10393772893772894,454,4368,4368
ANODA,OG1157040,ANODA03571,0.6162361623616236,0.6162361623616236,501,813,813
ANODA,OG944937,ANODA08489,0.5211640211640212,0.5211640211640212,591,1134,1134
ANODA,OG924410,ANODA03655,0.6760064412238326,0.6760064412238326,4198,6210,6210
ANODA,OG457572,ANODA02309,0.282560706401766,0.282560706401766,128,453,453
ANODA,OG848281,ANODA03007,0.6612903225806451,0.6612903225806451,1107,1674,1674
ANODA,OG1168250,ANODA06913,0.847953216374269,0.847953216374269,290,342,342
ANODA,OG966098,ANODA06161,0.7986716479867165,0.7986716479867165,1924,2409,2409
ANODA,OG341995,ANODA06295,0.19692342495192852,0.19692342495192852,1741,8841,8841
ANODA,OG420768,ANODA06165,0.5879142300194932,0.5879142300194932,1508,2565,2565
ANODA,OG961440,ANODA00293,0.9405255878284924,0.9405255878284924,1360,1446,1446
ANODA,OG951333,ANODA08505,0.8977777777777778,0.8977777777777778,404,450,450
ANODA,OG1242667,ANODA10318,0.3477188655980271,0.3477188655980271,846,2433,2433
ANODA,OG963232,ANODA07139,0.6895338610378188,0.6895338610378188,784,1137,1137
ANODA,OG946387,ANODA07723,0.41219158200290273,0.41219158200290273,852,2067,2067
ANODA,OG970502,ANODA05891,0.8663148636763413,0.8663148636763413,985,1137,1137
ANODA,OG1181227,ANODA06163,0.761437908496732,0.761437908496732,1398,1836,1836
ANODA,OG411836,ANODA03579,0.6598173515981736,0.6598173515981736,867,1314,1314
ANODA,OG986805,ANODA04795,0.7084607543323139,0.7084607543323139,3475,4905,4905
ANODA,OG456720,ANODA07083,0.7817460317460317,0.7817460317460317,591,756,756
ANODA,OG1221689,ANODA08570,0.7951703320396722,0.7951703320396722,1844,2319,2319
ANODA,OG1150674,ANODA06923,0.44069912609238454,0.44069912609238454,353,801,801
ANODA,OG979200,ANODA05740,0.07649357900614182,0.07649357900614182,137,1791,1791
ANODA,OG1198488,ANODA06785,0.9587404994571118,0.9587404994571118,1766,1842,1842
ANODA,OG1202204,ANODA07035,0.99860529986053,0.99860529986053,716,717,717
ANODA,OG1236745,ANODA08566,0.8673587081891581,0.8673587081891581,752,867,867
