#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG931899,ANOST00585,0.0682571239231279,0.0682571239231279,103,1509,1509
ANOST,OG877291,ANOST00499,0.3591682419659735,0.3591682419659735,570,1587,1587
ANOST,OG823037,ANOST00337,0.27380952380952384,0.27380952380952384,368,1344,1344
ANOST,OG708597,ANOST00396,0.03436426116838488,0.03436426116838488,90,2619,2619
ANOST,OG1192905,ANOST00488,0.30456349206349204,0.30456349206349204,307,1008,1008
ANOST,OG1214309,ANOST00081,0.3659147869674185,0.3659147869674185,146,399,399
ANOST,OG1224967,ANOST00112,0.11705685618729098,0.11705685618729098,210,1794,1794
ANOST,OG946885,ANOST00079,0.20671243325705568,0.20671243325705568,271,1311,1311
ANOST,OG1081004,ANOST00389,0.15841073271413827,0.15841073271413827,307,1938,1938
ANOST,OG1236745,ANOST00324,0.39195402298850573,0.39195402298850573,341,870,870
ANOST,OG822311,ANOST00158,0.3121345029239766,0.3121345029239766,854,2736,2736
ANOST,OG1214658,ANOST00276,0.22507122507122507,0.22507122507122507,158,702,702
ANOST,OG962019,ANOST00209,0.06478209658421673,0.06478209658421673,55,849,849
ANOST,OG963232,ANOST00545,0.13427230046948357,0.13427230046948357,143,1065,1065
ANOST,OG352732,ANOST00335,0.14508928571428573,0.14508928571428573,195,1344,1344
ANOST,OG698904,ANOST00032,0.26641050272174194,0.26641050272174194,832,3123,3123
ANOST,OG1231177,ANOST00129,0.37620772946859904,0.37620772946859904,623,1656,1656
ANOST,OG1170587,ANOST00146,0.3653904130238167,0.3653904130238167,3636,9951,9951
ANOST,OG917347,ANOST00382,0.4818276220145379,0.4818276220145379,464,963,963
ANOST,OG953548,ANOST00599,0.38161273754494096,0.38161273754494096,743,1947,1947
ANOST,OG960979,ANOST00268,0.31083333333333335,0.31083333333333335,373,1200,1200
ANOST,OG971355,ANOST00110,0.5125313283208021,0.5125313283208021,818,1596,1596
ANOST,OG1191966,ANOST00456,0.08988186954288649,0.08988186954288649,175,1947,1947
ANOST,OG1216622,ANOST00470,0.25216706067769895,0.25216706067769895,320,1269,1269
ANOST,OG1222683,ANOST00125,0.4269005847953216,0.4269005847953216,730,1710,1710
ANOST,OG1190683,ANOST00325,0.3626465661641541,0.3626465661641541,433,1194,1194
ANOST,OG673136,ANOST00116,0.1524486571879937,0.1524486571879937,193,1266,1266
ANOST,OG792952,ANOST00138,0.1727699530516432,0.1727699530516432,184,1065,1065
ANOST,OG964344,ANOST00343,0.24449182658137883,0.24449182658137883,344,1407,1407
ANOST,OG842298,ANOST00037,0.3459489767311466,0.3459489767311466,1234,3567,3567
ANOST,OG1218490,ANOST00495,0.12472647702407003,0.12472647702407003,171,1371,1371
ANOST,OG1251511,ANOST00045,0.4177433247200689,0.4177433247200689,970,2322,2322
ANOST,OG977782,ANOST00291,0.07322872087494056,0.07322872087494056,154,2103,2103
ANOST,OG1176412,ANOST00547,0.26505213588967375,0.26505213588967375,788,2973,2973
ANOST,OG979200,ANOST00416,0.06491228070175438,0.06491228070175438,111,1710,1710
ANOST,OG814870,ANOST00423,0.03899892522647014,0.03899892522647014,254,6513,6513
ANOST,OG1168250,ANOST00469,0.4766081871345029,0.4766081871345029,163,342,342
ANOST,OG1246006,ANOST00459,0.638235294117647,0.638235294117647,651,1020,1020
