#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,3.6339455351488286,2.9710893765021678
ANOSI,OG676343,ANOSI11914,nan,nan
ANOSI,OG951333,ANOSI11872,3.0939226519337018,2.2104764553740743
ANOSI,OG960910,ANOSI11898,21.904870624048705,13.851987445334231
ANOSI,OG848281,ANOSI16815,3.8673116793365585,2.837760469086841
ANOSI,OG1221639,ANOSI13259,nan,nan
ANOSI,OG964633,ANOSI13303,77.44474212993971,219.48689889944865
ANOSI,OG718578,ANOSI13311,2.0346153846153845,0.7746507770795691
ANOSI,OG961398,ANOSI02900,3.776,2.0492496187629268
ANOSI,OG411836,ANOSI13282,6.2395740905057675,4.8849509951472125
ANOSI,OG1241986,ANOSI13275,7.430583501006036,4.285076609685603
ANOSI,OG698904,ANOSI13273,10.67583306373342,4.305285727155555
ANOSI,OG1157040,ANOSI13306,4.158376963350785,2.982461031688865
ANOSI,OG958126,ANOSI13277,17.653225806451612,3.5344944312440667
ANOSI,OG842298,ANOSI13293,16.202407614781634,9.494954446276912
ANOSI,OG1174245,ANOSI10141,10.621251071122536,4.042680710793593
ANOSI,OG456351,ANOSI10182,4.484049930651873,6.067816760714873
ANOSI,OG1251511,ANOSI10202,3.546586945690085,2.1327860518786643
ANOSI,OG961602,ANOSI10095,5.498993963782696,2.243815330500287
ANOSI,OG953187,ANOSI10125,10.654761904761905,7.161117532088831
ANOSI,OG814084,ANOSI08197,33.793793793793796,13.848874063777021
ANOSI,OG699681,ANOSI08225,4.300884955752212,1.6751786190266031
ANOSI,OG946387,ANOSI17759,9.262176788935658,6.390748486499321
ANOSI,OG946885,ANOSI17776,9.920868890612878,5.566156783605374
ANOSI,OG1214309,ANOSI17769,2.9756944444444446,0.153996089316227
ANOSI,OG341995,ANOSI16311,2.8565701559020042,2.20586539338183
ANOSI,OG1079985,ANOSI16316,4.017177914110429,2.4810346914393824
ANOSI,OG976835,ANOSI16315,15.12877030162413,12.838037418248284
ANOSI,OG675570,ANOSI13707,nan,nan
ANOSI,OG971355,ANOSI13700,12.005703422053232,9.329517212875997
ANOSI,OG1223272,ANOSI13699,5.574093264248705,3.4860123649979156
ANOSI,OG1224967,ANOSI13721,7.044560185185185,3.439588495667162
ANOSI,OG457329,ANOSI13708,nan,nan
ANOSI,OG961439,ANOSI13690,4.271739130434782,2.282867480154525
ANOSI,OG998211,ANOSI13712,4.734758871701547,2.831350264999516
ANOSI,OG673136,ANOSI13684,4.52051282051282,2.1598527356232475
ANOSI,OG1139777,ANOSI13705,nan,nan
ANOSI,OG1221689,ANOSI12385,4.0783018867924525,2.1409090256323773
ANOSI,OG1222683,ANOSI12376,28.893819334389857,9.056687637289695
ANOSI,OG1215812,ANOSI12428,12.546850998463901,6.275463770665745
ANOSI,OG896170,ANOSI12371,7.472045293701345,4.487471415975943
ANOSI,OG1231177,ANOSI05477,12.698547215496369,6.187832536289696
ANOSI,OG961115,ANOSI05647,11.283289817232376,5.332976149197742
ANOSI,OG911937,ANOSI05566,2.7482517482517483,1.5310014614899479
ANOSI,OG924410,ANOSI05511,3.461272176546949,2.0142594074589737
ANOSI,OG792952,ANOSI05501,1.424,0.5405774690088369
ANOSI,OG792914,ANOSI05550,4.244747899159663,1.9179530348807272
ANOSI,OG1244115,ANOSI05521,1.7654320987654322,0.92436081715234
ANOSI,OG1170587,ANOSI05651,2.539236479321315,1.6435542823302745
ANOSI,OG1226379,ANOSI13958,10.877338877338877,4.581160688195352
ANOSI,OG458150,ANOSI13956,nan,nan
ANOSI,OG975279,ANOSI13957,21.369397217928903,12.227032790406422
ANOSI,OG1174891,ANOSI13945,17.329128440366972,6.766124144414697
ANOSI,OG455346,ANOSI13964,20.57157157157157,8.521693017500523
ANOSI,OG1240929,ANOSI13949,1.1007905138339922,0.30105113544890005
ANOSI,OG822311,ANOSI13972,5.245427477669077,3.7469618116700287
ANOSI,OG420493,ANOSI13963,2.1292134831460676,0.8524960813148387
ANOSI,OG665560,ANOSI13979,6.391207815275311,4.33869910328608
ANOSI,OG420768,ANOSI13955,8.000937646507266,3.920566070664162
ANOSI,OG1181227,ANOSI13961,8.50573936529372,3.421562599872272
ANOSI,OG342477,ANOSI13940,20.818619582664528,43.96848798645633
ANOSI,OG966098,ANOSI13976,2.791437049597287,1.510649917881943
ANOSI,OG419349,ANOSI16375,4.764265129682997,3.459821624063914
ANOSI,OG736122,ANOSI16384,2.873661670235546,1.439386348059654
ANOSI,OG1251119,ANOSI19256,12.279135338345865,6.270687327009066
ANOSI,OG796653,ANOSI16455,3.7847682119205297,2.2313810949423
ANOSI,OG793899,ANOSI18657,5.449915110356536,1.850880805212142
ANOSI,OG899270,ANOSI18211,4.1048593350383635,2.1208384960918
ANOSI,OG456648,ANOSI18213,1.6698240866035183,0.6993492791521901
ANOSI,OG1251552,ANOSI09497,nan,nan
ANOSI,OG1189787,ANOSI09481,2.853801169590643,1.1513489738093352
ANOSI,OG962019,ANOSI09471,1.1318181818181818,0.3382929924789022
ANOSI,OG967514,ANOSI18502,12.76192384769539,6.074704699042874
ANOSI,OG762076,ANOSI09475,nan,nan
ANOSI,OG1198488,ANOSI18498,13.622524052065648,5.372761562179531
ANOSI,OG456691,ANOSI18513,1.6470588235294117,0.47788461203740945
ANOSI,OG1203459,ANOSI13887,4.8547418967587035,2.932498651789368
ANOSI,OG1139996,ANOSI13881,2.8380864765409384,1.6727435665516488
ANOSI,OG1208321,ANOSI11134,2.4407241580689116,2.6526291865523577
ANOSI,OG1240968,ANOSI11112,16.13910969793323,8.42467115702587
ANOSI,OG961322,ANOSI11117,11.544927536231883,6.1365036599567055
ANOSI,OG698997,ANOSI11073,10.475174216027874,5.585516086471077
ANOSI,OG1219581,ANOSI11081,6.06638418079096,4.7573730976515
ANOSI,OG823022,ANOSI10093,7.465693430656934,4.903811089885632
ANOSI,OG1174608,ANOSI10178,4.240816326530612,1.0157772468625434
ANOSI,OG839253,ANOSI18124,1.0,0.0
ANOSI,OG1150674,ANOSI16840,1.0,0.0
ANOSI,OG348620,ANOSI16831,3.3162911611785097,1.6488937855175538
ANOSI,OG674682,ANOSI10188,4.922033898305084,2.523252393820067
ANOSI,OG964673,ANOSI18236,9.383141762452107,6.566397049064048
ANOSI,OG373241,ANOSI13370,5.409638554216867,1.4016869748203564
ANOSI,OG960979,ANOSI13351,6.085836909871245,4.2206742651348454
ANOSI,OG1240325,ANOSI13359,2.5774647887323945,1.5006823435507848
ANOSI,OG1240328,ANOSI13371,2.633637548891786,1.1023574070979987
ANOSI,OG1231901,ANOSI13321,2.4580467675378266,1.2280929997233947
ANOSI,OG1194738,ANOSI13345,98.04896551724138,32.45750031219367
ANOSI,OG1214658,ANOSI13358,17.781779661016948,6.387309203937521
ANOSI,OG344070,ANOSI13377,35.188235294117646,29.194208712962393
ANOSI,OG925865,ANOSI19077,1.747340425531915,1.2061426784200127
ANOSI,OG1202204,ANOSI18328,3.8991228070175437,1.2819253347468427
ANOSI,OG977782,ANOSI18323,2.6171875,1.3926205835918661
ANOSI,OG351572,ANOSI08252,10.956043956043956,3.7432344476316195
ANOSI,OG1218157,ANOSI08193,4.44574780058651,3.1744241560193576
ANOSI,OG926503,ANOSI08194,4.706638115631692,2.2138407438343704
ANOSI,OG817086,ANOSI08325,4.542907180385289,2.462929631844878
ANOSI,OG949490,ANOSI08215,5.047308319738988,2.9464021410940067
