#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,0.905220180810732,0.905220180810732,3104,3429,3429
ANOGA,OG1081004,ANOGA04408,0.8368200836820083,0.8368200836820083,1800,2151,2151
ANOGA,OG1138880,ANOGA05943,0.618208516886931,0.618208516886931,421,681,681
ANOGA,OG1139777,ANOGA04100,0.7853107344632768,0.7853107344632768,278,354,354
ANOGA,OG1139996,ANOGA05695,0.8299473288186606,0.8299473288186606,1103,1329,1329
ANOGA,OG1144131,ANOGA06520,0.8697264719517849,0.8697264719517849,1876,2157,2157
ANOGA,OG1146505,ANOGA04324,0.9596899224806201,0.9596899224806201,2476,2580,2580
ANOGA,OG1146507,ANOGA05711,0.738831615120275,0.738831615120275,2150,2910,2910
ANOGA,OG1150674,ANOGA05653,0.9101123595505618,0.9101123595505618,729,801,801
ANOGA,OG1150857,ANOGA04505,0.872865275142315,0.872865275142315,1380,1581,1581
ANOGA,OG1152239,ANOGA06528,0.9440715883668904,0.9440715883668904,844,894,894
ANOGA,OG1157040,ANOGA04042,0.9961685823754789,0.9961685823754789,780,783,783
ANOGA,OG1162063,ANOGA04462,0.6508916323731139,0.6508916323731139,949,1458,1458
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOGA,OG1168476,ANOGA04432,0.9164696611505122,0.9164696611505122,1163,1269,1269
ANOGA,OG1170587,ANOGA04139,0.9490603363006924,0.9490603363006924,9595,10110,10110
ANOGA,OG1174245,ANOGA04055,0.8729096989966555,0.8729096989966555,1566,1794,1794
ANODA,OG1174608,ANODA04336,1.0,1.0,444,444,444
ANOGA,OG1174891,ANOGA04632,0.9587513935340022,0.9587513935340022,860,897,897
ANOGA,OG1176412,ANOGA04492,0.9185624793933399,0.9185624793933399,2786,3033,3033
ANOGA,OG1179948,ANOGA04501,0.9840425531914894,0.9840425531914894,555,564,564
ANOGA,OG1179969,ANOGA05488,0.9555119398102715,0.9555119398102715,2921,3057,3057
ANOST,OG1181227,ANOST00162,0.9443535188216039,0.9443535188216039,1731,1833,1833
ANOGA,OG1183200,ANOGA05481,0.8373151308304891,0.8373151308304891,736,879,879
ANOGA,OG1189787,ANOGA04698,0.9506802721088435,0.9506802721088435,559,588,588
ANOST,OG1190683,ANOST00325,0.9958123953098827,0.9958123953098827,1189,1194,1194
ANOGA,OG1191966,ANOGA05362,0.9378185524974516,0.9378185524974516,1840,1962,1962
ANOGA,OG1192905,ANOGA05458,0.9852507374631269,0.9852507374631269,1002,1017,1017
ANOGA,OG1194738,ANOGA05637,0.9979338842975206,0.9979338842975206,1449,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9491525423728814,0.9491525423728814,672,708,708
ANOGA,OG1198488,ANOGA05707,0.998371335504886,0.998371335504886,1839,1842,1842
ANOGA,OG1198490,ANOGA05372,0.9611780455153949,0.9611780455153949,1436,1494,1494
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOGA,OG1202789,ANOGA05383,0.9546313799621928,0.9546313799621928,3030,3174,3174
ANOGA,OG1203459,ANOGA05696,0.9329268292682927,0.9329268292682927,918,984,984
ANOGA,OG1204971,ANOGA05312,0.8834189497716894,0.8834189497716894,6191,7008,7008
ANOGA,OG1208321,ANOGA05692,0.9768219832735962,0.9768219832735962,8176,8370,8370
ANOGA,OG1212040,ANOGA05460,0.9259054973340688,0.9259054973340688,5036,5439,5439
ANOGA,OG1214309,ANOGA05405,0.9328358208955224,0.9328358208955224,375,402,402
ANOGA,OG1214658,ANOGA05631,0.9943741209563994,0.9943741209563994,707,711,711
ANOST,OG1215812,ANOST00126,0.9815668202764977,0.9815668202764977,639,651,651
ANOGA,OG1216622,ANOGA05381,0.9933499584372403,0.9933499584372403,1195,1203,1203
ANOGA,OG1218157,ANOGA04267,0.8945981554677207,0.8945981554677207,679,759,759
ANOGA,OG1218158,ANOGA04293,0.9430199430199431,0.9430199430199431,662,702,702
ANOST,OG1218490,ANOST00495,0.9584245076586433,0.9584245076586433,1314,1371,1371
ANOST,OG1219581,ANOST00235,0.8899138991389914,0.8899138991389914,1447,1626,1626
ANODA,OG1221639,ANODA05486,0.5,0.5,189,378,378
ANOGA,OG1221689,ANOGA04113,0.9858247422680413,0.9858247422680413,2295,2328,2328
ANOGA,OG1222683,ANOGA04115,0.9081081081081082,0.9081081081081082,1512,1665,1665
ANOGA,OG1223272,ANOGA04094,0.9882659713168188,0.9882659713168188,2274,2301,2301
ANOGA,OG1224967,ANOGA04095,0.972640982691234,0.972640982691234,1742,1791,1791
ANOGA,OG1225085,ANOGA05304,0.9152426520847573,0.9152426520847573,4017,4389,4389
ANOGA,OG1226379,ANOGA04627,0.9213907785336357,0.9213907785336357,1219,1323,1323
ANOGA,OG1229017,ANOGA05305,0.8989683386695126,0.8989683386695126,2527,2811,2811
ANOGA,OG1230391,ANOGA04302,0.6685499058380414,0.6685499058380414,710,1062,1062
ANOGA,OG1231177,ANOGA04120,0.9507908611599297,0.9507908611599297,1623,1707,1707
ANOGA,OG1231901,ANOGA05639,0.8759124087591241,0.8759124087591241,2160,2466,2466
ANOST,OG1235653,ANOST00565,0.9598915989159892,0.9598915989159892,1771,1845,1845
ANOGA,OG1236745,ANOGA04294,0.9919540229885058,0.9919540229885058,863,870,870
ANOGA,OG1240325,ANOGA05642,0.9507575757575758,0.9507575757575758,753,792,792
ANOST,OG1240328,ANOST00270,0.9684684684684685,0.9684684684684685,860,888,888
ANOGA,OG1240929,ANOGA04635,0.8184438040345822,0.8184438040345822,852,1041,1041
ANOGA,OG1240968,ANOGA05685,0.9781790820165538,0.9781790820165538,1300,1329,1329
ANOST,OG1241986,ANOST00031,0.8706697459584296,0.8706697459584296,1131,1299,1299
ANOGA,OG1242667,ANOGA04473,0.9012345679012346,0.9012345679012346,2190,2430,2430
ANOSI,OG1244115,ANOSI05521,0.9971264367816092,0.9971264367816092,347,348,348
ANOGA,OG1246006,ANOGA05367,0.9764705882352941,0.9764705882352941,996,1020,1020
ANOGA,OG1251119,ANOGA04663,0.9846743295019157,0.9846743295019157,1285,1305,1305
ANOGA,OG1251511,ANOGA04057,1.0,1.0,2316,2316,2316
ANOGA,OG1251552,ANOGA04696,0.8944444444444445,0.8944444444444445,483,540,540
ANOGA,OG341995,ANOGA04081,0.751269621421976,0.751269621421976,6509,8664,8664
ANOGA,OG342477,ANOGA04643,0.9473962463653185,0.9473962463653185,3584,3783,3783
ANOGA,OG344070,ANOGA05629,0.7955846279640229,0.7955846279640229,2919,3669,3669
ANOST,OG348620,ANOST00261,0.9697640117994101,0.9697640117994101,1315,1356,1356
ANOGA,OG351572,ANOGA04255,0.967860422405877,0.967860422405877,1054,1089,1089
ANOGA,OG352732,ANOGA04305,0.9859882005899705,0.9859882005899705,1337,1356,1356
