#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,56.01067702014074,13.60277754559314
ANOST,OG676343,ANOST00003,47.81507449605609,12.32249891846931
ANOST,OG951333,ANOST00004,30.90314769975787,10.064937570607116
ANOST,OG960910,ANOST00006,117.76169906407488,36.942818874195844
ANOST,OG848281,ANOST00012,33.620213433772754,13.111603356509299
ANOST,OG1221639,ANOST00016,15.867816091954023,4.5136827549302625
ANOST,OG964633,ANOST00017,46.892099056603776,15.522033451862994
ANOST,OG718578,ANOST00019,41.388400702987695,12.959028996535643
ANOST,OG961398,ANOST00021,52.96268656716418,17.487672058988345
ANOST,OG411836,ANOST00028,59.14326853851692,27.900116113834866
ANOST,OG1241986,ANOST00031,35.78137028483449,19.51683328550367
ANOST,OG698904,ANOST00032,60.398975344220304,12.932704421376409
ANOST,OG1157040,ANOST00033,29.943805874840358,10.692349794877007
ANOST,OG958126,ANOST00036,24.01951951951952,9.474697317520386
ANOST,OG842298,ANOST00037,39.79476231141474,22.659593241025163
ANOST,OG1174245,ANOST00043,37.64264264264264,15.261806779329667
ANOST,OG456351,ANOST00044,59.97374223291241,54.018369814877865
ANOST,OG1251511,ANOST00045,57.97674418604651,16.897735989226632
ANOST,OG961602,ANOST00046,36.829015544041454,16.7264939613724
ANOST,OG953187,ANOST00048,33.87372708757638,10.351281302413236
ANOST,OG814084,ANOST00057,31.974,12.557202076895951
ANOST,OG699681,ANOST00058,15.861356932153392,9.588661534184123
ANOST,OG946387,ANOST00073,44.63976945244957,15.710759590220293
ANOST,OG946885,ANOST00079,60.96796338672769,25.083820648449915
ANOST,OG1214309,ANOST00081,27.666666666666668,9.316311007778282
ANOST,OG341995,ANOST00098,56.27005844845909,18.470932341062937
ANOST,OG1079985,ANOST00101,52.450980392156865,22.7860738652723
ANOST,OG976835,ANOST00102,67.20818713450292,29.981377118246275
ANOST,OG675570,ANOST00108,31.549342105263158,11.263382858929356
ANOST,OG971355,ANOST00110,50.44423558897243,16.89815499426378
ANOST,OG1223272,ANOST00111,43.1130727196301,15.898011743661705
ANOST,OG1224967,ANOST00112,47.22240802675585,18.072229957885177
ANOST,OG457329,ANOST00113,25.714465408805033,6.235240045491759
ANOST,OG961439,ANOST00114,43.24651924651925,11.012121893109244
ANOST,OG998211,ANOST00115,55.518398268398265,14.204222713299075
ANOST,OG673136,ANOST00116,37.21774193548387,12.535086553396615
ANOST,OG1139777,ANOST00117,17.98587570621469,8.72863483260975
ANOST,OG1221689,ANOST00123,38.26122625215889,14.199220315343487
ANOST,OG1222683,ANOST00125,58.56608187134503,13.598977273820333
ANOST,OG1215812,ANOST00126,26.863287250384026,14.352637621897435
ANOST,OG896170,ANOST00127,51.236781609195404,24.113482254198995
ANOST,OG1231177,ANOST00129,52.76299879081016,14.26674318193699
ANOST,OG961115,ANOST00130,25.467220683287167,11.402871223780792
ANOST,OG911937,ANOST00134,39.65384615384615,11.35997684134361
ANOST,OG924410,ANOST00137,60.63017509409262,15.77622414248274
ANOST,OG792952,ANOST00138,37.71737089201878,14.162700752974612
ANOST,OG792914,ANOST00139,43.2734829592685,16.977150163856084
ANOST,OG1244115,ANOST00140,14.505747126436782,7.080609044552742
ANOST,OG1170587,ANOST00146,56.29797521909943,13.307494566413576
ANOST,OG1226379,ANOST00147,46.74694189602447,11.789671715087284
ANOST,OG458150,ANOST00149,27.366863905325445,11.807776940614547
ANOST,OG975279,ANOST00151,41.76990553306343,14.557265990167414
ANOST,OG1174891,ANOST00152,26.78587962962963,6.727447555733199
ANOST,OG455346,ANOST00156,45.72927689594356,17.324730466027653
ANOST,OG1240929,ANOST00157,35.75633528265107,7.915432887588457
ANOST,OG822311,ANOST00158,45.54524627720504,14.129864444893375
ANOST,OG420493,ANOST00159,33.383720930232556,12.192631044518372
ANOST,OG665560,ANOST00160,51.43526011560694,16.08573936937645
ANOST,OG420768,ANOST00161,55.03203743700504,24.690628249411766
ANOST,OG1181227,ANOST00162,53.26218487394958,19.210018649518307
ANOST,OG342477,ANOST00163,124.10094466936572,264.90794074665365
ANOST,OG966098,ANOST00164,44.07220351664796,17.247424426657698
ANOST,OG419349,ANOST00176,43.411844331641284,18.34567299337444
ANOST,OG736122,ANOST00177,43.995726495726494,10.345422152572558
ANOST,OG1251119,ANOST00180,51.263817243920414,12.65387394192605
ANOST,OG796653,ANOST00189,51.788400254939454,19.05170163454841
ANOST,OG793899,ANOST00192,30.15257048092869,11.877062604548417
ANOST,OG899270,ANOST00194,39.45471464019851,16.54735467543976
ANOST,OG456648,ANOST00195,39.173669467787114,13.816041552560016
ANOST,OG1251552,ANOST00206,28.544513457556935,10.948949197589346
ANOST,OG1189787,ANOST00208,36.023809523809526,10.70600208881091
ANOST,OG962019,ANOST00209,31.286219081272083,11.641354777855527
ANOST,OG967514,ANOST00212,59.92511013215859,16.142818018947732
ANOST,OG762076,ANOST00214,35.036175710594314,12.100835337519745
ANOST,OG1198488,ANOST00216,49.3106960950764,18.367752243871553
ANOST,OG456691,ANOST00218,31.59778305621536,10.13666212693602
ANOST,OG1203459,ANOST00222,20.900101936799185,10.93443577970047
ANOST,OG1139996,ANOST00223,24.435667752442995,8.99320761386217
ANOST,OG1208321,ANOST00225,52.51359416445624,17.607320060360593
ANOST,OG1240968,ANOST00230,41.42212189616253,15.703905032517174
ANOST,OG961322,ANOST00232,17.768856447688563,7.143479384659279
ANOST,OG698997,ANOST00233,68.93717065261451,32.523679512061754
ANOST,OG1219581,ANOST00235,51.41205412054121,19.474901432805485
ANOST,OG823022,ANOST00242,40.208888888888886,13.943725346664351
ANOST,OG1174608,ANOST00246,17.376126126126128,8.701530741504822
ANOST,OG839253,ANOST00256,18.126126126126128,5.356566149037751
ANOST,OG1150674,ANOST00260,22.979616306954437,10.14266657366209
ANOST,OG348620,ANOST00261,53.240412979351035,17.492805629658143
ANOST,OG674682,ANOST00263,37.81975308641975,18.23115241715543
ANOST,OG964673,ANOST00265,29.503401360544217,14.742171518599546
ANOST,OG373241,ANOST00266,44.81681681681682,10.712994246390721
ANOST,OG960979,ANOST00268,72.27833333333334,24.773625704679475
ANOST,OG1240325,ANOST00269,29.34494773519164,8.954430415616407
ANOST,OG1240328,ANOST00270,24.068693693693692,8.02858138242894
ANOST,OG1231901,ANOST00272,47.810596579057155,14.101515418833163
ANOST,OG1194738,ANOST00274,43.08057851239669,16.44168198671826
ANOST,OG1214658,ANOST00276,27.11993243243243,6.462271585865815
ANOST,OG344070,ANOST00277,40.92500765228038,12.625526768958876
ANOST,OG925865,ANOST00286,31.8023088023088,8.586367622874425
ANOST,OG1202204,ANOST00290,43.09623430962343,12.181012720471335
ANOST,OG977782,ANOST00291,39.74845458868283,10.016579989800174
ANOST,OG351572,ANOST00298,41.080145719489984,25.781711991309063
ANOST,OG1218157,ANOST00305,20.0840108401084,7.332852102457956
ANOST,OG926503,ANOST00307,24.825102880658438,8.731256673378207
ANOST,OG817086,ANOST00310,27.62629246676514,9.818323989295543
ANOST,OG949490,ANOST00312,20.862021857923498,10.857564171453335
ANOST,OG451043,ANOST00313,14.651655629139073,9.227183094255723
ANOST,OG451038,ANOST00315,29.587365591397848,10.936788148052205
ANOST,OG784747,ANOST00320,37.91839762611276,16.422848664688427
ANOST,OG978616,ANOST00322,58.27865266841645,14.009019377047146
ANOST,OG1218158,ANOST00323,36.980421686746986,11.417642860804461
ANOST,OG1236745,ANOST00324,32.5775462962963,10.490229382518605
ANOST,OG1190683,ANOST00325,41.06365159128978,10.854418180449162
ANOST,OG853434,ANOST00326,20.932377049180328,5.46463451799029
ANOST,OG962230,ANOST00328,14.428571428571429,8.843499476632385
ANOST,OG1230391,ANOST00331,27.671374764595104,8.894564972908547
ANOST,OG352732,ANOST00335,43.77232142857143,10.085288464912304
ANOST,OG823037,ANOST00337,33.22470238095238,10.566475367743834
ANOST,OG964344,ANOST00343,28.47547974413646,13.563216489576579
ANOST,OG456720,ANOST00347,33.03995006242197,12.969508156450184
ANOST,OG1146505,ANOST00349,51.668618266978925,16.510017030200064
ANOST,OG671266,ANOST00350,62.893008998319,22.88078086669963
ANOST,OG664391,ANOST00352,49.306382978723406,17.112345561176014
ANOST,OG722946,ANOST00353,43.21458863443596,14.248750643131864
ANOST,OG961377,ANOST00356,43.75888568683958,21.079613971209554
ANOST,OG1146507,ANOST00365,47.98968008255934,12.625097320567203
ANOST,OG986274,ANOST00366,45.008397932816536,19.679257742320413
ANOST,OG988784,ANOST00369,47.726960784313725,15.982541289084338
ANOST,OG362633,ANOST00370,30.474036850921273,11.253128920638236
ANOST,OG375937,ANOST00377,24.853383458646615,10.046997697704088
ANOST,OG949414,ANOST00379,23.127226463104325,8.032795164817188
ANOST,OG917347,ANOST00382,51.02907580477674,18.654846777284803
ANOST,OG1081004,ANOST00389,36.02074688796681,15.356908276319931
ANOST,OG960945,ANOST00390,38.9514687100894,13.087833538511235
ANOST,OG968775,ANOST00395,32.126801152737755,16.014530573176092
ANOST,OG708597,ANOST00396,31.935533384497315,14.09265428103601
ANOST,OG1197765,ANOST00410,39.65915915915916,8.424156343741341
ANOST,OG1168476,ANOST00411,43.13460015835313,15.416136315109862
ANOST,OG971123,ANOST00414,60.60199882422105,16.94798823561565
ANOST,OG761976,ANOST00415,43.35760728218465,10.508690935229309
ANOST,OG979200,ANOST00416,39.58011695906433,12.618479996149343
ANOST,OG814870,ANOST00423,30.673671005174846,15.051976798587102
ANOST,OG1225085,ANOST00424,50.261140819964346,15.369555924697881
ANOST,OG1229017,ANOST00425,47.52688927943761,21.024909429286712
ANOST,OG1204971,ANOST00430,46.142979452054796,11.519902463419603
ANOST,OG369576,ANOST00441,31.985294117647058,5.575851492954058
ANOST,OG457572,ANOST00450,8.123873873873874,4.488771510980024
ANOST,OG1191966,ANOST00456,52.15712033631109,11.892273973128125
ANOST,OG456338,ANOST00458,44.12844202898551,14.89410650030043
ANOST,OG1246006,ANOST00459,40.15588235294118,10.56177972162457
ANOST,OG1198490,ANOST00464,43.80522088353413,14.462163145120556
ANOST,OG1168250,ANOST00469,12.359322033898305,9.1544028240943
ANOST,OG1216622,ANOST00470,27.466278101582017,11.586293700654675
ANOST,OG1202789,ANOST00471,37.94143769081321,18.36914960818801
ANOST,OG1223886,ANOST00473,21.25777777777778,6.882521788766056
ANOST,OG790850,ANOST00477,39.67531003382187,17.56856400330936
ANOST,OG978865,ANOST00481,55.480331262939956,17.58902603168427
ANOST,OG1192905,ANOST00488,47.61805555555556,17.77499222503594
ANOST,OG456479,ANOST00489,66.26277777777777,88.16456426639873
ANOST,OG1212040,ANOST00490,56.08460634547591,15.045325501285465
ANOST,OG1218490,ANOST00495,40.17298937784522,17.23237941110641
ANOST,OG961011,ANOST00496,47.91420331651045,11.998972264169026
ANOST,OG964929,ANOST00497,37.42751713231418,14.374615277209601
ANOST,OG877291,ANOST00499,29.4473850031506,10.760213906178585
ANOST,OG961299,ANOST00501,39.77187843280849,11.922594243014968
ANOST,OG719374,ANOST00503,42.4494623655914,14.880018445363776
ANOST,OG1183200,ANOST00504,38.29137529137529,9.643599769976564
ANOST,OG916860,ANOST00509,30.976483762597983,9.84530436782942
ANOST,OG1179969,ANOST00511,32.37692307692308,13.895128486658535
ANOST,OG846448,ANOST00517,34.24831309041836,7.891325837280167
ANOST,OG944937,ANOST00518,36.6,16.50373695056163
ANOST,OG1162063,ANOST00522,38.63166666666667,14.062455827091116
ANOST,OG823032,ANOST00528,48.53454821564161,12.530166425778152
ANOST,OG932017,ANOST00529,44.50561056105611,15.862584457878254
ANOST,OG970502,ANOST00530,27.613896218117855,6.711906775212999
ANOST,OG1242667,ANOST00533,39.76650165016502,14.305913983044261
ANOST,OG961440,ANOST00539,29.30666666666667,11.921703241866679
ANOST,OG963232,ANOST00545,25.454460093896714,6.914232536078136
ANOST,OG1176412,ANOST00547,42.10528086108308,23.625797064776624
ANOST,OG1179948,ANOST00550,7.661971830985915,3.2112764305007757
ANOST,OG454890,ANOST00551,42.170707070707074,19.880403795084412
ANOST,OG828830,ANOST00552,6.84788029925187,3.0077707746856768
ANOST,OG1150857,ANOST00554,30.06152927120669,11.299725165694536
ANOST,OG703365,ANOST00557,38.94550408719346,9.389479989026757
ANOST,OG961013,ANOST00564,45.863483146067416,15.12223280294101
ANOST,OG1235653,ANOST00565,49.22384823848238,14.694403755247297
ANOST,OG457108,ANOST00570,35.43262411347518,7.192938779896116
ANOST,OG932104,ANOST00578,33.26787117046347,11.561225927966287
ANOST,OG661167,ANOST00579,30.36111111111111,10.582968789288842
ANOST,OG931899,ANOST00585,32.731610337972164,10.377701479451323
ANOST,OG1138880,ANOST00591,21.32794117647059,6.397594805132429
ANOST,OG953548,ANOST00599,49.80174627632255,13.016197764469881
ANOST,OG986805,ANOST00600,48.92491582491583,53.835230776921186
ANOST,OG961564,ANOST00601,33.31424148606811,12.127837021621184
ANOST,OG1144131,ANOST00602,48.88950789229341,17.836715585488466
ANOST,OG696447,ANOST00603,43.86021505376344,15.805124660854457
ANOST,OG460076,ANOST00607,40.55567081604426,16.33219754637602
ANOST,OG1152239,ANOST00609,30.034632034632036,14.66158259143196
ANOST,OG968364,ANOST00614,39.82112767336358,19.410706388825407
ANOST,OG362545,ANOST00615,44.69873997709049,12.848922499918265
