#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1139996,ANOST00223,0.8920863309352518,0.8920863309352518,1116,1251,1251
ANOST,OG1162063,ANOST00522,0.667477696674777,0.667477696674777,823,1233,1233
ANOST,OG792952,ANOST00138,0.9624413145539906,0.9624413145539906,1025,1065,1065
ANOST,OG341995,ANOST00098,0.7947696800743396,0.7947696800743396,5987,7533,7533
ANOST,OG1244115,ANOST00140,0.764367816091954,0.764367816091954,266,348,348
ANOST,OG1179969,ANOST00511,0.9875,0.9875,3081,3120,3120
ANOST,OG1240325,ANOST00269,0.8873403019744484,0.8873403019744484,764,861,861
ANOST,OG853434,ANOST00326,0.5636363636363636,0.5636363636363636,279,495,495
ANOST,OG1168250,ANOST00469,0.8567251461988304,0.8567251461988304,293,342,342
ANOST,OG925865,ANOST00286,0.696969696969697,0.696969696969697,483,693,693
ANOST,OG676343,ANOST00003,0.5028175119202427,0.5028175119202427,1160,2307,2307
ANOST,OG978616,ANOST00322,0.7865266841644795,0.7865266841644795,1798,2286,2286
ANOST,OG456720,ANOST00347,0.8089887640449438,0.8089887640449438,648,801,801
ANOST,OG419349,ANOST00176,0.6152284263959391,0.6152284263959391,1818,2955,2955
ANOST,OG351572,ANOST00298,0.9335154826958105,0.9335154826958105,1025,1098,1098
ANOST,OG960945,ANOST00390,0.7905491698595147,0.7905491698595147,1238,1566,1566
ANOST,OG1192905,ANOST00488,0.9990079365079365,0.9990079365079365,1007,1008,1008
ANOST,OG926503,ANOST00307,0.9938271604938271,0.9938271604938271,483,486,486
ANOST,OG342477,ANOST00163,0.839136302294197,0.839136302294197,3109,3705,3705
ANOST,OG456691,ANOST00218,0.40300870942201106,0.40300870942201106,509,1263,1263
ANOST,OG1212040,ANOST00490,0.9155011655011654,0.9155011655011654,4713,5148,5148
ANOST,OG1214309,ANOST00081,0.9874686716791979,0.9874686716791979,394,399,399
ANOST,OG964344,ANOST00343,0.7910447761194029,0.7910447761194029,1113,1407,1407
ANOST,OG362545,ANOST00615,0.2222222222222222,0.2222222222222222,194,873,873
ANOST,OG1208321,ANOST00225,0.9302580999450851,0.9302580999450851,8470,9105,9105
ANOST,OG1168476,ANOST00411,0.8471892319873318,0.8471892319873318,1070,1263,1263
ANOST,OG971123,ANOST00414,0.3186360964138742,0.3186360964138742,542,1701,1701
ANOST,OG1231177,ANOST00129,0.9975845410628019,0.9975845410628019,1652,1656,1656
ANOST,OG1150857,ANOST00554,0.8518518518518519,0.8518518518518519,1426,1674,1674
ANOST,OG1240968,ANOST00230,0.9352896914973664,0.9352896914973664,1243,1329,1329
ANOST,OG946387,ANOST00073,0.7699327569644573,0.7699327569644573,1603,2082,2082
ANOST,OG1246006,ANOST00459,0.9931372549019608,0.9931372549019608,1013,1020,1020
ANOST,OG823032,ANOST00528,0.6044039483675019,0.6044039483675019,796,1317,1317
ANOST,OG1214658,ANOST00276,0.8347578347578347,0.8347578347578347,586,702,702
ANOST,OG978865,ANOST00481,0.9272369714847591,0.9272369714847591,943,1017,1017
ANOST,OG967514,ANOST00212,0.9500734214390602,0.9500734214390602,2588,2724,2724
ANOST,OG953548,ANOST00599,0.9994863893168978,0.9994863893168978,1946,1947,1947
ANOST,OG960979,ANOST00268,0.9991666666666666,0.9991666666666666,1199,1200,1200
ANOST,OG456338,ANOST00458,0.623731884057971,0.623731884057971,3443,5520,5520
ANOST,OG1218158,ANOST00323,0.9985754985754985,0.9985754985754985,701,702,702
ANOST,OG916860,ANOST00509,0.9086908690869087,0.9086908690869087,826,909,909
ANOST,OG698997,ANOST00233,0.7713270142180095,0.7713270142180095,1953,2532,2532
ANOST,OG842298,ANOST00037,0.8657134847210541,0.8657134847210541,3088,3567,3567
ANOST,OG1174245,ANOST00043,0.7693175408911449,0.7693175408911449,1364,1773,1773
ANOST,OG1139777,ANOST00117,0.8785310734463276,0.8785310734463276,311,354,354
ANOST,OG1179948,ANOST00550,0.9485815602836879,0.9485815602836879,535,564,564
ANOST,OG975279,ANOST00151,0.9865047233468286,0.9865047233468286,1462,1482,1482
ANOST,OG762076,ANOST00214,0.9354005167958657,0.9354005167958657,724,774,774
ANOST,OG1251552,ANOST00206,0.9981481481481481,0.9981481481481481,539,540,540
ANOST,OG976835,ANOST00102,0.9649122807017544,0.9649122807017544,1650,1710,1710
ANOST,OG911937,ANOST00134,0.9331243469174504,0.9331243469174504,1786,1914,1914
ANOST,OG964673,ANOST00265,0.9846938775510204,0.9846938775510204,579,588,588
ANOST,OG1224967,ANOST00112,0.9648829431438127,0.9648829431438127,1731,1794,1794
ANOST,OG823037,ANOST00337,0.47023809523809523,0.47023809523809523,632,1344,1344
