Locus,Taxon,Query_Length,Target_Length
DROAN02494,A_aegypti,444,380
DROAN02494,A_albimanus,444,378
DROAN02494,A_arabiensis,444,421
DROAN02494,A_atroparvus,444,241
DROAN02494,A_christyi,444,323
DROAN02494,A_culicifacies_new,444,415
DROAN02494,A_darlingi,444,372
DROAN02494,A_dirus,444,403
DROAN02494,A_epiroticus,444,317
DROAN02494,A_farauti,444,445
DROAN02494,A_funestris,444,418
DROAN02494,A_gambiae,444,380
DROAN02494,A_maculatus,444,261
DROAN02494,A_melas,444,335
DROAN02494,A_merus,444,362
DROAN02494,A_minimus_new,444,367
DROAN02494,A_quadriannulatus_new,444,396
DROAN02494,A_sinensis,444,271
DROAN02494,A_stephensi,444,401
DROAN02494,C_quinquefasciatus_new,444,382
DROAN02494,D_melanogaster,444,244
DROAN02560,A_aegypti,627,458
DROAN02560,A_albimanus,627,299
DROAN02560,A_arabiensis,627,375
DROAN02560,A_atroparvus,627,150
DROAN02560,A_christyi,627,292
DROAN02560,A_culicifacies_new,627,357
DROAN02560,A_darlingi,627,320
DROAN02560,A_dirus,627,382
DROAN02560,A_epiroticus,627,137
DROAN02560,A_farauti,627,279
DROAN02560,A_funestris,627,345
DROAN02560,A_gambiae,627,404
DROAN02560,A_maculatus,627,118
DROAN02560,A_melas,627,121
DROAN02560,A_merus,627,161
DROAN02560,A_minimus_new,627,352
DROAN02560,A_quadriannulatus_new,627,587
DROAN02560,A_sinensis,627,154
DROAN02560,A_stephensi,627,381
DROAN02560,C_quinquefasciatus_new,627,434
DROAN02560,D_melanogaster,627,377
DROAN02600,A_aegypti,928,755
DROAN02600,A_albimanus,928,730
DROAN02600,A_arabiensis,928,851
DROAN02600,A_atroparvus,928,116
DROAN02600,A_christyi,928,467
DROAN02600,A_culicifacies_new,928,686
DROAN02600,A_darlingi,928,845
DROAN02600,A_dirus,928,873
DROAN02600,A_epiroticus,928,419
DROAN02600,A_farauti,928,849
DROAN02600,A_funestris,928,732
DROAN02600,A_gambiae,928,724
DROAN02600,A_maculatus,928,361
DROAN02600,A_melas,928,538
DROAN02600,A_merus,928,563
DROAN02600,A_minimus_new,928,672
DROAN02600,A_quadriannulatus_new,928,709
DROAN02600,A_sinensis,928,316
DROAN02600,A_stephensi,928,694
DROAN02600,C_quinquefasciatus_new,928,883
DROAN02600,D_melanogaster,928,832
DROAN02604,D_melanogaster,605,312
DROAN02616,A_aegypti,638,76
DROAN02616,A_albimanus,638,84
DROAN02616,A_arabiensis,638,90
DROAN02616,A_christyi,638,56
DROAN02616,A_culicifacies_new,638,58
DROAN02616,A_darlingi,638,85
DROAN02616,A_dirus,638,83
DROAN02616,A_farauti,638,84
DROAN02616,A_funestris,638,83
DROAN02616,A_gambiae,638,44
DROAN02616,A_maculatus,638,38
DROAN02616,A_merus,638,90
DROAN02616,A_minimus_new,638,86
DROAN02616,A_quadriannulatus_new,638,79
DROAN02616,A_sinensis,638,42
DROAN02616,A_stephensi,638,88
DROAN02616,C_quinquefasciatus_new,638,58
DROAN02616,D_melanogaster,638,144
DROAN02742,A_albimanus,351,268
DROAN02742,A_arabiensis,351,186
DROAN02742,A_darlingi,351,132
DROAN02742,A_dirus,351,180
DROAN02742,A_farauti,351,113
DROAN02742,A_funestris,351,64
DROAN02742,A_gambiae,351,95
DROAN02742,A_stephensi,351,178
DROAN02742,C_quinquefasciatus_new,351,264
DROAN02742,D_melanogaster,351,142
DROAN02745,A_aegypti,895,772
DROAN02745,A_albimanus,895,725
DROAN02745,A_arabiensis,895,746
DROAN02745,A_christyi,895,117
DROAN02745,A_culicifacies_new,895,313
DROAN02745,A_darlingi,895,539
DROAN02745,A_dirus,895,767
DROAN02745,A_epiroticus,895,137
DROAN02745,A_farauti,895,179
DROAN02745,A_funestris,895,711
DROAN02745,A_gambiae,895,421
DROAN02745,A_maculatus,895,201
DROAN02745,A_melas,895,152
DROAN02745,A_merus,895,168
DROAN02745,A_minimus_new,895,400
DROAN02745,A_quadriannulatus_new,895,368
DROAN02745,A_sinensis,895,180
DROAN02745,A_stephensi,895,832
DROAN02745,C_quinquefasciatus_new,895,899
DROAN02745,D_melanogaster,895,699
DROAN02765,A_aegypti,1341,227
DROAN02765,A_albimanus,1341,165
DROAN02765,A_arabiensis,1341,189
DROAN02765,A_dirus,1341,288
DROAN02765,A_farauti,1341,278
DROAN02765,A_funestris,1341,222
DROAN02765,A_gambiae,1341,153
DROAN02765,C_quinquefasciatus_new,1341,515
DROAN02765,D_melanogaster,1341,747
DROAN02877,A_aegypti,672,506
DROAN02877,A_albimanus,672,515
DROAN02877,A_arabiensis,672,664
DROAN02877,A_atroparvus,672,387
DROAN02877,A_christyi,672,416
DROAN02877,A_culicifacies_new,672,519
DROAN02877,A_darlingi,672,529
DROAN02877,A_dirus,672,477
DROAN02877,A_epiroticus,672,363
DROAN02877,A_farauti,672,139
DROAN02877,A_funestris,672,507
DROAN02877,A_gambiae,672,496
DROAN02877,A_maculatus,672,477
DROAN02877,A_melas,672,385
DROAN02877,A_merus,672,444
DROAN02877,A_minimus_new,672,520
DROAN02877,A_quadriannulatus_new,672,513
DROAN02877,A_sinensis,672,401
DROAN02877,A_stephensi,672,656
DROAN02877,C_quinquefasciatus_new,672,519
DROAN02877,D_melanogaster,672,475
DROAN02878,A_aegypti,478,167
DROAN02878,A_albimanus,478,194
DROAN02878,A_arabiensis,478,179
DROAN02878,A_christyi,478,65
DROAN02878,A_culicifacies_new,478,262
DROAN02878,A_darlingi,478,161
DROAN02878,A_dirus,478,175
DROAN02878,A_farauti,478,104
DROAN02878,A_funestris,478,222
DROAN02878,A_gambiae,478,116
DROAN02878,A_melas,478,100
DROAN02878,A_merus,478,117
DROAN02878,A_minimus_new,478,246
DROAN02878,A_quadriannulatus_new,478,153
DROAN02878,A_sinensis,478,67
DROAN02878,A_stephensi,478,226
DROAN02878,C_quinquefasciatus_new,478,328
DROAN02878,D_melanogaster,478,418
DROAN03008,A_aegypti,389,278
DROAN03008,A_albimanus,389,243
DROAN03008,A_arabiensis,389,316
DROAN03008,A_christyi,389,171
DROAN03008,A_culicifacies_new,389,344
DROAN03008,A_darlingi,389,274
DROAN03008,A_dirus,389,308
DROAN03008,A_epiroticus,389,160
DROAN03008,A_farauti,389,354
DROAN03008,A_funestris,389,340
