#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1223886,ANOST00473,0.3597560975609756,0.3597560975609756,177,492,492
ANOST,OG344070,ANOST00277,0.5078053259871441,0.5078053259871441,1659,3267,3267
ANOST,OG1168476,ANOST00411,0.9192399049881235,0.9192399049881235,1161,1263,1263
ANOST,OG1216622,ANOST00470,0.9369582348305753,0.9369582348305753,1189,1269,1269
ANOST,OG1179948,ANOST00550,0.9290780141843972,0.9290780141843972,524,564,564
ANOST,OG696447,ANOST00603,0.9086021505376344,0.9086021505376344,845,930,930
ANOST,OG1144131,ANOST00602,0.8941504178272981,0.8941504178272981,1926,2154,2154
ANOST,OG961440,ANOST00539,0.9249122807017544,0.9249122807017544,1318,1425,1425
ANOST,OG964929,ANOST00497,0.8383383383383384,0.8383383383383384,1675,1998,1998
ANOST,OG970502,ANOST00530,0.9771328056288479,0.9771328056288479,1111,1137,1137
ANOST,OG1198490,ANOST00464,0.9337349397590361,0.9337349397590361,1395,1494,1494
ANOST,OG960910,ANOST00006,0.9992800575953924,0.9992800575953924,1388,1389,1389
ANOST,OG676343,ANOST00003,0.6614651061985263,0.6614651061985263,1526,2307,2307
ANOST,OG961564,ANOST00601,0.8869969040247678,0.8869969040247678,1719,1938,1938
ANOST,OG1223272,ANOST00111,0.9058427910886927,0.9058427910886927,2155,2379,2379
ANOST,OG1197765,ANOST00410,0.8884057971014493,0.8884057971014493,613,690,690
ANOST,OG411836,ANOST00028,0.9330453563714903,0.9330453563714903,1296,1389,1389
ANOST,OG1146505,ANOST00349,0.7486338797814208,0.7486338797814208,1918,2562,2562
ANOST,OG456479,ANOST00489,0.8461111111111111,0.8461111111111111,1523,1800,1800
ANOST,OG1174608,ANOST00246,0.8198198198198198,0.8198198198198198,364,444,444
ANOST,OG978865,ANOST00481,0.9360865290068829,0.9360865290068829,952,1017,1017
ANOST,OG1251119,ANOST00180,0.8520971302428256,0.8520971302428256,1158,1359,1359
ANOST,OG671266,ANOST00350,0.9967368733313556,0.9967368733313556,10080,10113,10113
ANOST,OG1138880,ANOST00591,0.540381791483113,0.540381791483113,368,681,681
ANOST,OG1081004,ANOST00389,0.7192982456140351,0.7192982456140351,1394,1938,1938
ANOST,OG961322,ANOST00232,0.5425790754257908,0.5425790754257908,223,411,411
ANOST,OG456720,ANOST00347,0.7940074906367042,0.7940074906367042,636,801,801
ANOST,OG946387,ANOST00073,0.7785782901056676,0.7785782901056676,1621,2082,2082
ANOST,OG1212040,ANOST00490,0.898989898989899,0.898989898989899,4628,5148,5148
ANOST,OG1221689,ANOST00123,0.9995682210708118,0.9995682210708118,2315,2316,2316
ANOST,OG708597,ANOST00396,0.5605192821687667,0.5605192821687667,1468,2619,2619
ANOST,OG699681,ANOST00058,0.7640117994100295,0.7640117994100295,259,339,339
ANOST,OG373241,ANOST00266,0.972972972972973,0.972972972972973,324,333,333
ANOST,OG1242667,ANOST00533,0.8972772277227723,0.8972772277227723,2175,2424,2424
ANOST,OG1150857,ANOST00554,0.921146953405018,0.921146953405018,1542,1674,1674
ANOST,OG1251511,ANOST00045,0.9629629629629629,0.9629629629629629,2236,2322,2322
ANOST,OG352732,ANOST00335,0.9107142857142857,0.9107142857142857,1224,1344,1344
ANOST,OG456338,ANOST00458,0.6076086956521739,0.6076086956521739,3354,5520,5520
ANOST,OG1192905,ANOST00488,0.9246031746031746,0.9246031746031746,932,1008,1008
ANOST,OG971355,ANOST00110,0.9993734335839599,0.9993734335839599,1595,1596,1596
ANOST,OG455346,ANOST00156,0.7310405643738977,0.7310405643738977,829,1134,1134
ANOST,OG451043,ANOST00313,0.7314814814814815,0.7314814814814815,553,756,756
ANOST,OG792914,ANOST00139,0.8171238570241064,0.8171238570241064,983,1203,1203
ANOST,OG925865,ANOST00286,0.937950937950938,0.937950937950938,650,693,693
ANOST,OG961377,ANOST00356,0.9980787704130644,0.9980787704130644,1039,1041,1041
ANOST,OG1236745,ANOST00324,0.9758620689655172,0.9758620689655172,849,870,870
ANOST,OG698904,ANOST00032,0.9372398334934358,0.9372398334934358,2927,3123,3123
ANOST,OG1198488,ANOST00216,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANOST,OG949414,ANOST00379,0.7251908396946565,0.7251908396946565,570,786,786
ANOST,OG342477,ANOST00163,0.8213225371120108,0.8213225371120108,3043,3705,3705
ANOST,OG823032,ANOST00528,0.7934700075930144,0.7934700075930144,1045,1317,1317
ANOST,OG675570,ANOST00108,0.8092105263157895,0.8092105263157895,738,912,912
ANOST,OG1181227,ANOST00162,0.9689034369885434,0.9689034369885434,1776,1833,1833
ANOST,OG814084,ANOST00057,1.0,1.0,1053,1053,1053
ANOST,OG1240968,ANOST00230,0.871331828442438,0.871331828442438,1158,1329,1329
ANOST,OG839253,ANOST00256,0.9159159159159159,0.9159159159159159,305,333,333
ANOST,OG848281,ANOST00012,0.7457627118644068,0.7457627118644068,1188,1593,1593
ANOST,OG822311,ANOST00158,0.929093567251462,0.929093567251462,2542,2736,2736
ANOST,OG1221639,ANOST00016,0.9047619047619048,0.9047619047619048,342,378,378
ANOST,OG853434,ANOST00326,0.2222222222222222,0.2222222222222222,110,495,495
ANOST,OG978616,ANOST00322,0.673665791776028,0.673665791776028,1540,2286,2286
ANOST,OG718578,ANOST00019,0.8289396602226128,0.8289396602226128,1415,1707,1707
ANOST,OG1231901,ANOST00272,0.42511472674176054,0.42511472674176054,1019,2397,2397
ANOST,OG932017,ANOST00529,0.8356435643564356,0.8356435643564356,1266,1515,1515
ANOST,OG673136,ANOST00116,0.9146919431279621,0.9146919431279621,1158,1266,1266
ANOST,OG949490,ANOST00312,1.0,1.0,732,732,732
ANOST,OG931899,ANOST00585,0.6136514247846255,0.6136514247846255,926,1509,1509
ANOST,OG962019,ANOST00209,0.24028268551236748,0.24028268551236748,204,849,849
ANOST,OG842298,ANOST00037,0.8424446313428652,0.8424446313428652,3005,3567,3567
ANOST,OG877291,ANOST00499,0.9577819785759294,0.9577819785759294,1520,1587,1587
ANOST,OG814870,ANOST00423,0.7414401965300169,0.7414401965300169,4829,6513,6513
ANOST,OG1146507,ANOST00365,0.6632266941864465,0.6632266941864465,1928,2907,2907
ANOST,OG932104,ANOST00578,0.7419354838709677,0.7419354838709677,966,1302,1302
ANOST,OG964633,ANOST00017,0.991812865497076,0.991812865497076,1696,1710,1710
ANOST,OG451038,ANOST00315,0.956989247311828,0.956989247311828,712,744,744
ANOST,OG961011,ANOST00496,0.8132765353212638,0.8132765353212638,2291,2817,2817
ANOST,OG456351,ANOST00044,0.6095409901783925,0.6095409901783925,3041,4989,4989
ANOST,OG953187,ANOST00048,0.8425925925925926,0.8425925925925926,455,540,540
ANOST,OG420493,ANOST00159,0.9935400516795866,0.9935400516795866,769,774,774
ANOST,OG1241986,ANOST00031,0.8976135488837568,0.8976135488837568,1166,1299,1299
ANOST,OG998211,ANOST00115,0.7129329004329005,0.7129329004329005,2635,3696,3696
ANOST,OG665560,ANOST00160,0.8414322250639387,0.8414322250639387,2961,3519,3519
ANOST,OG988784,ANOST00369,0.7834967320261438,0.7834967320261438,4795,6120,6120
ANOST,OG420768,ANOST00161,0.6673866090712743,0.6673866090712743,1854,2778,2778
ANOST,OG457108,ANOST00570,0.8368794326241135,0.8368794326241135,472,564,564
ANOST,OG348620,ANOST00261,0.915929203539823,0.915929203539823,1242,1356,1356
ANOST,OG1231177,ANOST00129,0.9885265700483091,0.9885265700483091,1637,1656,1656
ANOST,OG1230391,ANOST00331,0.743879472693032,0.743879472693032,790,1062,1062
