#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1170587,ANOSI05651,0.3764764764764765,0.3764764764764765,3761,9990,9990
ANOSI,OG1236745,ANOSI08307,0.4603729603729604,0.4603729603729604,395,858,858
ANOSI,OG1244115,ANOSI05521,0.646551724137931,0.646551724137931,225,348,348
ANOSI,OG451043,ANOSI08181,0.8955823293172691,0.8955823293172691,669,747,747
ANOSI,OG792952,ANOSI05501,0.34925093632958804,0.34925093632958804,373,1068,1068
ANOSI,OG814870,ANOSI12461,0.19031007751937984,0.19031007751937984,982,5160,5160
ANOSI,OG456338,ANOSI18154,0.42780748663101603,0.42780748663101603,2160,5049,5049
ANOSI,OG718578,ANOSI13311,0.46108140225787286,0.46108140225787286,776,1683,1683
ANOSI,OG348620,ANOSI16831,0.8495575221238938,0.8495575221238938,1152,1356,1356
ANOSI,OG1218490,ANOSI09061,0.7717782577393808,0.7717782577393808,1072,1389,1389
ANOSI,OG665560,ANOSI13979,0.6784420289855072,0.6784420289855072,2247,3312,3312
ANOSI,OG848281,ANOSI16815,0.8707107843137255,0.8707107843137255,1421,1632,1632
ANOSI,OG451038,ANOSI08326,0.907258064516129,0.907258064516129,675,744,744
ANOSI,OG1079985,ANOSI16316,0.4850388988629563,0.4850388988629563,1621,3342,3342
ANOSI,OG932104,ANOSI16749,0.6922069417157826,0.6922069417157826,1057,1527,1527
ANOSI,OG1225085,ANOSI12439,0.27547256800368836,0.27547256800368836,1195,4338,4338
ANOSI,OG1202789,ANOSI15781,0.7550306211723534,0.7550306211723534,2589,3429,3429
ANOSI,OG961377,ANOSI08182,0.8703170028818443,0.8703170028818443,906,1041,1041
ANOSI,OG842298,ANOSI13293,0.8443968593861527,0.8443968593861527,3549,4203,4203
ANOSI,OG899270,ANOSI18211,0.7961826857532379,0.7961826857532379,1168,1467,1467
ANOSI,OG1218158,ANOSI08297,0.6495726495726496,0.6495726495726496,456,702,702
ANOSI,OG351572,ANOSI08252,0.6816901408450704,0.6816901408450704,726,1065,1065
ANOSI,OG961115,ANOSI05647,0.7092592592592593,0.7092592592592593,766,1080,1080
ANOSI,OG1176412,ANOSI15222,0.8444680098974903,0.8444680098974903,2389,2829,2829
ANOSI,OG1242667,ANOSI15210,0.7315810434090004,0.7315810434090004,1837,2511,2511
ANOSI,OG455346,ANOSI13964,0.90063233965673,0.90063233965673,997,1107,1107
ANOSI,OG411836,ANOSI13282,0.8562691131498471,0.8562691131498471,1120,1308,1308
ANOSI,OG454890,ANOSI16889,0.8658008658008658,0.8658008658008658,800,924,924
ANOSI,OG1150857,ANOSI15844,0.8800738007380073,0.8800738007380073,1431,1626,1626
ANOSI,OG696447,ANOSI18946,0.39713971397139713,0.39713971397139713,361,909,909
ANOSI,OG344070,ANOSI13377,0.5051822133065864,0.5051822133065864,1511,2991,2991
ANOSI,OG1221689,ANOSI12385,0.9123488773747841,0.9123488773747841,2113,2316,2316
ANOSI,OG673136,ANOSI13684,0.313915857605178,0.313915857605178,388,1236,1236
ANOSI,OG988784,ANOSI08226,0.5054945054945055,0.5054945054945055,3036,6006,6006
ANOSI,OG961398,ANOSI02900,0.48973143759873616,0.48973143759873616,620,1266,1266
ANOSI,OG917347,ANOSI11939,0.9612159329140462,0.9612159329140462,917,954,954
ANOSI,OG703365,ANOSI15845,0.18844444444444444,0.18844444444444444,212,1125,1125
ANOSI,OG1235653,ANOSI18112,0.9809989142236699,0.9809989142236699,1807,1842,1842
ANOSI,OG968364,ANOSI14862,0.8261997405966277,0.8261997405966277,1911,2313,2313
ANOSI,OG699681,ANOSI08225,0.9970501474926253,0.9970501474926253,338,339,339
ANOSI,OG1198488,ANOSI18498,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANOSI,OG1230391,ANOSI08180,0.3626062322946176,0.3626062322946176,384,1059,1059
ANOSI,OG949414,ANOSI16805,0.7456896551724138,0.7456896551724138,519,696,696
ANOSI,OG373241,ANOSI13370,0.996996996996997,0.996996996996997,332,333,333
ANOSI,OG1208321,ANOSI11134,0.6063639613872006,0.6063639613872006,5088,8391,8391
ANOSI,OG1246006,ANOSI08120,0.742603550295858,0.742603550295858,753,1014,1014
ANOSI,OG971355,ANOSI13700,0.9812734082397003,0.9812734082397003,1572,1602,1602
ANOSI,OG960945,ANOSI11923,0.6213282247765006,0.6213282247765006,973,1566,1566
ANOSI,OG708597,ANOSI11937,0.3243132431324313,0.3243132431324313,791,2439,2439
ANOSI,OG457108,ANOSI16884,0.552536231884058,0.552536231884058,305,552,552
ANOSI,OG1226379,ANOSI13958,0.722473604826546,0.722473604826546,958,1326,1326
ANOSI,OG861720,ANOSI11902,0.39755590223608944,0.39755590223608944,1529,3846,3846
ANOSI,OG979200,ANOSI15839,0.40636042402826855,0.40636042402826855,690,1698,1698
ANOSI,OG961440,ANOSI15201,0.9360056258790436,0.9360056258790436,1331,1422,1422
ANOSI,OG975279,ANOSI13957,0.8021223470661673,0.8021223470661673,1285,1602,1602
ANOSI,OG961013,ANOSI18108,0.9781061850027367,0.9781061850027367,1787,1827,1827
ANOSI,OG946885,ANOSI17776,0.9732415902140673,0.9732415902140673,1273,1308,1308
ANOSI,OG1194738,ANOSI13345,0.9986225895316805,0.9986225895316805,1450,1452,1452
ANOSI,OG846448,ANOSI18065,0.6317991631799164,0.6317991631799164,453,717,717
ANOSI,OG1181227,ANOSI13961,0.924812030075188,0.924812030075188,1476,1596,1596
ANOSI,OG946387,ANOSI17759,0.8214638971315529,0.8214638971315529,1661,2022,2022
ANOSI,OG419349,ANOSI16375,0.6185827910339841,0.6185827910339841,1711,2766,2766
ANOSI,OG961322,ANOSI11117,0.8394160583941606,0.8394160583941606,345,411,411
