#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1079985,ANOST00101,0.9991220368744512,0.9991220368744512,3414,3417,3417
ANOST,OG1081004,ANOST00389,0.9948400412796697,0.9948400412796697,1928,1938,1938
ANOST,OG1138880,ANOST00591,0.9985315712187959,0.9985315712187959,680,681,681
ANOGA,OG1139777,ANOGA04100,1.0,1.0,354,354,354
ANOST,OG1139996,ANOST00223,0.9816147082334132,0.9816147082334132,1228,1251,1251
ANOST,OG1144131,ANOST00602,1.0,1.0,2154,2154,2154
ANOST,OG1146505,ANOST00349,1.0,1.0,2562,2562,2562
ANOST,OG1146507,ANOST00365,1.0,1.0,2907,2907,2907
ANOST,OG1150674,ANOST00260,1.0,1.0,834,834,834
ANOST,OG1150857,ANOST00554,1.0,1.0,1674,1674,1674
ANOST,OG1152239,ANOST00609,1.0,1.0,924,924,924
ANOST,OG1157040,ANOST00033,1.0,1.0,783,783,783
ANOST,OG1162063,ANOST00522,0.9732360097323601,0.9732360097323601,1200,1233,1233
ANOST,OG1168250,ANOST00469,0.8596491228070176,0.8596491228070176,294,342,342
ANOST,OG1168476,ANOST00411,1.0,1.0,1263,1263,1263
ANOST,OG1170587,ANOST00146,0.9975881820922521,0.9975881820922521,9927,9951,9951
ANOST,OG1174245,ANOST00043,0.9390862944162437,0.9390862944162437,1665,1773,1773
ANODA,OG1174608,ANODA04336,1.0,1.0,444,444,444
ANOST,OG1174891,ANOST00152,1.0,1.0,864,864,864
ANOST,OG1176412,ANOST00547,1.0,1.0,2973,2973,2973
ANOSI,OG1179948,ANOSI16890,0.8823529411764706,0.8823529411764706,495,561,561
ANOST,OG1179969,ANOST00511,1.0,1.0,3120,3120,3120
ANOST,OG1181227,ANOST00162,0.9738134206219312,0.9738134206219312,1785,1833,1833
ANOST,OG1183200,ANOST00504,1.0,1.0,858,858,858
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOST,OG1190683,ANOST00325,1.0,1.0,1194,1194,1194
ANOST,OG1191966,ANOST00456,0.9774011299435028,0.9774011299435028,1903,1947,1947
ANOST,OG1192905,ANOST00488,1.0,1.0,1008,1008,1008
ANOST,OG1194738,ANOST00274,1.0,1.0,1452,1452,1452
ANOST,OG1197765,ANOST00410,0.9652173913043478,0.9652173913043478,666,690,690
ANODA,OG1198488,ANODA06785,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANODA,OG1198490,ANODA04841,1.0,1.0,1494,1494,1494
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOST,OG1202789,ANOST00471,1.0,1.0,3603,3603,3603
ANOST,OG1203459,ANOST00222,1.0,1.0,981,981,981
ANOST,OG1204971,ANOST00430,1.0,1.0,7008,7008,7008
ANOST,OG1208321,ANOST00225,0.9937397034596376,0.9937397034596376,9048,9105,9105
ANOST,OG1212040,ANOST00490,0.9918414918414918,0.9918414918414918,5106,5148,5148
ANOST,OG1214309,ANOST00081,1.0,1.0,399,399,399
ANOSI,OG1214658,ANOSI13358,0.8713768115942029,0.8713768115942029,481,552,552
ANOGA,OG1215812,ANOGA04116,1.0,1.0,651,651,651
ANOGA,OG1216622,ANOGA05381,0.9800498753117207,0.9800498753117207,1179,1203,1203
ANOST,OG1218157,ANOST00305,0.9723320158102767,0.9723320158102767,738,759,759
ANOST,OG1218158,ANOST00323,0.9458689458689459,0.9458689458689459,664,702,702
ANOST,OG1218490,ANOST00495,0.9613420860685631,0.9613420860685631,1318,1371,1371
ANOST,OG1219581,ANOST00235,1.0,1.0,1626,1626,1626
ANOGA,OG1221639,ANOGA05250,0.9206349206349206,0.9206349206349206,348,378,378
ANOST,OG1221689,ANOST00123,1.0,1.0,2316,2316,2316
ANOST,OG1222683,ANOST00125,1.0,1.0,1710,1710,1710
ANOST,OG1223272,ANOST00111,1.0,1.0,2379,2379,2379
ANOST,OG1223886,ANOST00473,0.9146341463414634,0.9146341463414634,450,492,492
ANOST,OG1224967,ANOST00112,1.0,1.0,1794,1794,1794
ANOST,OG1225085,ANOST00424,1.0,1.0,4488,4488,4488
ANOST,OG1226379,ANOST00147,1.0,1.0,1308,1308,1308
ANOST,OG1229017,ANOST00425,0.9857934857934858,0.9857934857934858,2845,2886,2886
ANOST,OG1230391,ANOST00331,1.0,1.0,1062,1062,1062
ANOST,OG1231177,ANOST00129,0.998792270531401,0.998792270531401,1654,1656,1656
ANOST,OG1231901,ANOST00272,1.0,1.0,2397,2397,2397
ANOST,OG1235653,ANOST00565,1.0,1.0,1845,1845,1845
ANOST,OG1236745,ANOST00324,0.993103448275862,0.993103448275862,864,870,870
ANOST,OG1240325,ANOST00269,1.0,1.0,861,861,861
ANOST,OG1240328,ANOST00270,1.0,1.0,888,888,888
ANOST,OG1240929,ANOST00157,1.0,1.0,1026,1026,1026
ANOST,OG1240968,ANOST00230,1.0,1.0,1329,1329,1329
ANOST,OG1241986,ANOST00031,1.0,1.0,1299,1299,1299
ANOST,OG1242667,ANOST00533,1.0,1.0,2424,2424,2424
ANOST,OG1244115,ANOST00140,1.0,1.0,348,348,348
ANOST,OG1246006,ANOST00459,1.0,1.0,1020,1020,1020
ANOST,OG1251119,ANOST00180,0.9985283296541575,0.9985283296541575,1357,1359,1359
ANOST,OG1251511,ANOST00045,1.0,1.0,2322,2322,2322
ANOSI,OG1251552,ANOSI09497,0.9464285714285714,0.9464285714285714,477,504,504
ANOST,OG341995,ANOST00098,0.9993362538165406,0.9993362538165406,7528,7533,7533
ANOST,OG342477,ANOST00163,1.0,1.0,3705,3705,3705
ANOST,OG344070,ANOST00277,0.9987756351392715,0.9987756351392715,3263,3267,3267
ANOST,OG348620,ANOST00261,1.0,1.0,1356,1356,1356
ANOST,OG351572,ANOST00298,1.0,1.0,1098,1098,1098
ANOST,OG352732,ANOST00335,1.0,1.0,1344,1344,1344
ANOST,OG362545,ANOST00615,1.0,1.0,873,873,873
ANOST,OG362633,ANOST00370,1.0,1.0,1194,1194,1194
ANOST,OG369576,ANOST00441,0.8766114180478821,0.8766114180478821,476,543,543
ANODA,OG373241,ANODA00581,1.0,1.0,333,333,333
ANOST,OG375937,ANOST00377,1.0,1.0,798,798,798
ANOST,OG411836,ANOST00028,1.0,1.0,1389,1389,1389
ANOST,OG419349,ANOST00176,1.0,1.0,2955,2955,2955
ANOST,OG420493,ANOST00159,1.0,1.0,774,774,774
ANOST,OG420768,ANOST00161,1.0,1.0,2778,2778,2778
ANOST,OG451038,ANOST00315,1.0,1.0,744,744,744
ANOST,OG451043,ANOST00313,0.9973544973544973,0.9973544973544973,754,756,756
ANOST,OG454890,ANOST00551,1.0,1.0,990,990,990
ANOST,OG455346,ANOST00156,1.0,1.0,1134,1134,1134
ANOST,OG456338,ANOST00458,1.0,1.0,5520,5520,5520
ANOST,OG456351,ANOST00044,1.0,1.0,4989,4989,4989
ANOST,OG456479,ANOST00489,1.0,1.0,1800,1800,1800
ANOST,OG456648,ANOST00195,1.0,1.0,1428,1428,1428
ANOST,OG456691,ANOST00218,0.9984164687252574,0.9984164687252574,1261,1263,1263
ANOST,OG456720,ANOST00347,1.0,1.0,801,801,801
ANOST,OG457108,ANOST00570,1.0,1.0,564,564,564
ANOST,OG457329,ANOST00113,1.0,1.0,795,795,795
ANOST,OG457572,ANOST00450,1.0,1.0,444,444,444
ANOST,OG458150,ANOST00149,1.0,1.0,507,507,507
ANOST,OG460076,ANOST00607,1.0,1.0,2892,2892,2892
ANOST,OG661167,ANOST00579,1.0,1.0,864,864,864
ANOST,OG664391,ANOST00352,1.0,1.0,1410,1410,1410
ANOST,OG665560,ANOST00160,0.9832338732594487,0.9832338732594487,3460,3519,3519
ANOST,OG671266,ANOST00350,1.0,1.0,10113,10113,10113
ANOST,OG673136,ANOST00116,0.9794628751974723,0.9794628751974723,1240,1266,1266
ANOST,OG674682,ANOST00263,0.9926470588235294,0.9926470588235294,810,816,816
ANOST,OG675570,ANOST00108,1.0,1.0,912,912,912
