#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,13.777333333333333,6.2216626573788325
ANOSI,OG676343,ANOSI11914,nan,nan
ANOSI,OG951333,ANOSI11872,nan,nan
ANOSI,OG960910,ANOSI11898,58.69939117199391,18.130221066370858
ANOSI,OG848281,ANOSI16815,3.3875379939209727,1.4927269529807674
ANOSI,OG1221639,ANOSI13259,5.9335793357933575,1.7297104550952969
ANOSI,OG964633,ANOSI13303,30.496173469387756,12.27776884481228
ANOSI,OG718578,ANOSI13311,11.592797783933518,4.24105422340574
ANOSI,OG961398,ANOSI02900,4.887043189368771,2.8267583940033205
ANOSI,OG411836,ANOSI13282,12.616091954022988,7.740457581936055
ANOSI,OG1241986,ANOSI13275,7.350746268656716,4.048384229043566
ANOSI,OG698904,ANOSI13273,28.603648424543948,11.32123087887148
ANOSI,OG1157040,ANOSI13306,16.201787994891443,9.038877114170022
ANOSI,OG958126,ANOSI13277,nan,nan
ANOSI,OG842298,ANOSI13293,11.538250616945435,7.858224364763903
ANOSI,OG1174245,ANOSI10141,14.789142407553108,9.378041973412884
ANOSI,OG456351,ANOSI10182,3.5631868131868134,2.292015146975539
ANOSI,OG1251511,ANOSI10202,31.14240931482311,10.05013660529008
ANOSI,OG961602,ANOSI10095,12.46881287726358,5.537101239821735
ANOSI,OG953187,ANOSI10125,24.911392405063292,7.27000056312174
ANOSI,OG814084,ANOSI08197,9.504970178926442,3.4233258956718546
ANOSI,OG699681,ANOSI08225,1.912037037037037,0.2832410282952301
ANOSI,OG946387,ANOSI17759,13.551566579634464,7.589024567787073
ANOSI,OG946885,ANOSI17776,14.852439024390243,6.423959071220878
ANOSI,OG1214309,ANOSI17769,10.68421052631579,2.827545552314854
ANOSI,OG341995,ANOSI16311,4.251133786848072,2.6869707180573164
ANOSI,OG1079985,ANOSI16316,15.594224180127263,10.75847539737078
ANOSI,OG976835,ANOSI16315,22.480319803198032,14.318935034168291
ANOSI,OG675570,ANOSI13707,nan,nan
ANOSI,OG971355,ANOSI13700,32.134169278996865,12.215599456347924
ANOSI,OG1223272,ANOSI13699,94.49301675977654,43.893709941897214
ANOSI,OG1224967,ANOSI13721,27.2027027027027,10.843266132834609
ANOSI,OG457329,ANOSI13708,2.356164383561644,0.6898453869596807
ANOSI,OG961439,ANOSI13690,1.1842105263157894,0.3876557858593746
ANOSI,OG998211,ANOSI13712,13.717933130699087,7.661815516223752
ANOSI,OG673136,ANOSI13684,3.073170731707317,1.165453734670656
ANOSI,OG1139777,ANOSI13705,1.1647058823529413,0.3709148887161046
ANOSI,OG1221689,ANOSI12385,18.044415127528584,10.265827261087832
ANOSI,OG1222683,ANOSI12376,24.600158353127473,9.667680072265263
ANOSI,OG1215812,ANOSI12428,12.578864353312303,2.5019099273233425
ANOSI,OG896170,ANOSI12371,32.72326589595376,12.178673759331751
ANOSI,OG1231177,ANOSI05477,25.440158259149356,11.385829844197886
ANOSI,OG961115,ANOSI05647,14.286654135338345,6.465173509229105
ANOSI,OG911937,ANOSI05566,15.862800565770863,10.879089349972983
ANOSI,OG924410,ANOSI05511,18.71866897147796,11.246508216399985
ANOSI,OG792952,ANOSI05501,20.61522198731501,13.234186814376818
ANOSI,OG792914,ANOSI05550,7.801694915254237,4.373610831285
ANOSI,OG1244115,ANOSI05521,5.3594202898550725,1.6969126988193612
