#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
DROBS,OG937514,DROBS00558,0.23565400843881856,0.23565400843881856,1117,4740,4740
DROBS,OG1131548,DROBS00323,0.25196850393700787,0.25196850393700787,480,1905,1905
DROBS,OG827561,DROBS01342,0.2878338278931751,0.2878338278931751,291,1011,1011
DROBS,OG1188396,DROBS01109,0.47147147147147145,0.47147147147147145,628,1332,1332
DROBS,OG855252,DROBS00989,0.2968617472434266,0.2968617472434266,350,1179,1179
DROBS,OG719775,DROBS00738,0.19913419913419914,0.19913419913419914,1242,6237,6237
DROBS,OG1212144,DROBS00267,0.1794871794871795,0.1794871794871795,238,1326,1326
DROBS,OG1179942,DROBS00962,0.15561015561015562,0.15561015561015562,190,1221,1221
DROBS,OG1191920,DROBS00765,0.43222222222222223,0.43222222222222223,778,1800,1800
DROBS,OG673902,DROBS00595,0.1329243353783231,0.1329243353783231,195,1467,1467
DROBS,OG872973,DROBS00810,0.21222879684418147,0.21222879684418147,1076,5070,5070
DROBS,OG1154975,DROBS00343,0.39840925524222703,0.39840925524222703,551,1383,1383
DROBS,OG1199862,DROBS00979,0.13861018208844295,0.13861018208844295,373,2691,2691
DROBS,OG963616,DROBS01177,0.1782560706401766,0.1782560706401766,323,1812,1812
DROBS,OG1243170,DROBS01099,0.12857142857142856,0.12857142857142856,81,630,630
DROBS,OG1207896,DROBS01158,0.2015748031496063,0.2015748031496063,384,1905,1905
DROBS,OG451734,DROBS00481,0.3397129186602871,0.3397129186602871,213,627,627
DROBS,OG1219815,DROBS00746,0.11848341232227488,0.11848341232227488,75,633,633
DROBS,OG1233783,DROBS00496,0.10854503464203233,0.10854503464203233,141,1299,1299
DROBS,OG411545,DROBS00707,0.17885406774295662,0.17885406774295662,565,3159,3159
DROBS,OG1243459,DROBS00635,0.11363636363636363,0.11363636363636363,75,660,660
DROBS,OG674725,DROBS01318,0.27386541471048514,0.27386541471048514,525,1917,1917
DROBS,OG966040,DROBS00406,0.13333333333333333,0.13333333333333333,194,1455,1455
DROBS,OG1235292,DROBS00718,0.4329004329004329,0.4329004329004329,700,1617,1617
DROBS,OG674819,DROBS00419,0.17197452229299362,0.17197452229299362,243,1413,1413
DROBS,OG946142,DROBS01566,0.20479655079493397,0.20479655079493397,760,3711,3711
DROBS,OG1142454,DROBS00915,0.197869101978691,0.197869101978691,130,657,657
DROBS,OG961081,DROBS00767,0.22247532270311313,0.22247532270311313,293,1317,1317
DROBS,OG1238393,DROBS01426,0.0931899641577061,0.0931899641577061,52,558,558
DROBS,OG1242287,DROBS00023,0.08631459398069279,0.08631459398069279,152,1761,1761
DROBS,OG964610,DROBS01070,0.28063241106719367,0.28063241106719367,213,759,759
DROBS,OG929556,DROBS00249,0.15151515151515152,0.15151515151515152,315,2079,2079
DROBS,OG974874,DROBS00293,0.17839851024208567,0.17839851024208567,479,2685,2685
DROBS,OG970648,DROBS00375,0.17082590612002377,0.17082590612002377,575,3366,3366
DROBS,OG962927,DROBS00536,0.1928802588996764,0.1928802588996764,298,1545,1545
DROBS,OG718044,DROBS00991,0.43169398907103823,0.43169398907103823,158,366,366
DROBS,OG696848,DROBS01171,0.15569938870909744,0.15569938870909744,433,2781,2781
DROBS,OG1162451,DROBS00671,0.3468118195956454,0.3468118195956454,669,1929,1929
DROBS,OG1176151,DROBS01424,0.08287292817679558,0.08287292817679558,90,1086,1086
DROBS,OG420138,DROBS00523,0.18378995433789955,0.18378995433789955,322,1752,1752
DROBS,OG671293,DROBS00443,0.14555765595463138,0.14555765595463138,462,3174,3174
DROBS,OG988194,DROBS00348,0.3422131147540984,0.3422131147540984,501,1464,1464
DROBS,OG891114,DROBS00768,0.07666666666666666,0.07666666666666666,23,300,300
DROBS,OG452824,DROBS00520,0.24858757062146894,0.24858757062146894,176,708,708
DROBS,OG965832,DROBS00195,0.04982817869415808,0.04982817869415808,58,1164,1164
DROBS,OG342926,DROBS00835,0.2019400352733686,0.2019400352733686,458,2268,2268
DROBS,OG1215812,DROBS01074,0.1674347158218126,0.1674347158218126,109,651,651
DROBS,OG452788,DROBS01565,0.18994181213632585,0.18994181213632585,457,2406,2406
DROBS,OG967489,DROBS00779,0.21159420289855072,0.21159420289855072,438,2070,2070
DROBS,OG1181998,DROBS00489,0.16120906801007556,0.16120906801007556,192,1191,1191
DROBS,OG979238,DROBS00237,0.28442728442728443,0.28442728442728443,884,3108,3108
DROBS,OG847251,DROBS00596,0.11316526610644258,0.11316526610644258,202,1785,1785
DROBS,OG417265,DROBS00257,0.20164609053497942,0.20164609053497942,294,1458,1458
DROBS,OG453551,DROBS00046,0.11419753086419752,0.11419753086419752,37,324,324
DROBS,OG988710,DROBS00405,0.21584699453551912,0.21584699453551912,237,1098,1098
DROBS,OG1169327,DROBS00437,0.18230852211434737,0.18230852211434737,676,3708,3708
DROBS,OG1211611,DROBS00314,0.27637130801687765,0.27637130801687765,524,1896,1896
DROBS,OG930341,DROBS00727,0.23634336677814938,0.23634336677814938,212,897,897
DROBS,OG1209905,DROBS01057,0.2106847253574116,0.2106847253574116,280,1329,1329
DROBS,OG1148754,DROBS01095,0.28269794721407626,0.28269794721407626,1446,5115,5115
DROBS,OG839334,DROBS01329,0.14988814317673377,0.14988814317673377,67,447,447
DROBS,OG827812,DROBS00161,0.3894736842105263,0.3894736842105263,111,285,285
DROBS,OG1195124,DROBS00723,0.16439909297052155,0.16439909297052155,290,1764,1764
DROBS,OG1156491,DROBS01489,0.11196911196911197,0.11196911196911197,174,1554,1554
DROBS,OG1174972,DROBS00899,0.15225424981522542,0.15225424981522542,206,1353,1353
DROBS,OG1183596,DROBS00260,0.14481576692373607,0.14481576692373607,169,1167,1167
DROBS,OG453214,DROBS01456,0.13357400722021662,0.13357400722021662,111,831,831
DROBS,OG966433,DROBS01226,0.14977692797960485,0.14977692797960485,235,1569,1569
DROBS,OG871597,DROBS01563,0.33907146583202924,0.33907146583202924,650,1917,1917
DROBS,OG960946,DROBS01023,0.7011494252873564,0.7011494252873564,610,870,870
DROBS,OG344460,DROBS00549,0.2690700104493208,0.2690700104493208,515,1914,1914
DROBS,OG451748,DROBS01164,0.10833333333333334,0.10833333333333334,39,360,360
DROBS,OG1235445,DROBS00514,0.20493827160493827,0.20493827160493827,166,810,810
DROBS,OG350766,DROBS00069,0.2346109175377468,0.2346109175377468,202,861,861
DROBS,OG1232525,DROBS01425,0.17654808959156784,0.17654808959156784,134,759,759
DROBS,OG961243,DROBS00647,0.28584729981378026,0.28584729981378026,614,2148,2148
DROBS,OG752174,DROBS01506,0.17030812324929973,0.17030812324929973,608,3570,3570
DROBS,OG975162,DROBS00041,0.2423343224530168,0.2423343224530168,980,4044,4044
DROBS,OG1243136,DROBS00265,0.1976608187134503,0.1976608187134503,169,855,855
DROBS,OG453372,DROBS00145,0.05183845690174804,0.05183845690174804,86,1659,1659
DROBS,OG453405,DROBS01047,0.08292682926829269,0.08292682926829269,51,615,615
DROBS,OG843360,DROBS00074,0.04035874439461883,0.04035874439461883,27,669,669
DROBS,OG1193906,DROBS01500,0.1961709939680042,0.1961709939680042,748,3813,3813
DROBS,OG843089,DROBS01147,0.17728395061728394,0.17728395061728394,359,2025,2025
DROBS,OG917398,DROBS00138,0.056856187290969896,0.056856187290969896,51,897,897
DROBS,OG834210,DROBS00799,0.20300751879699247,0.20300751879699247,243,1197,1197
DROBS,OG1209124,DROBS01550,0.13942307692307693,0.13942307692307693,87,624,624
DROBS,OG346914,DROBS00022,0.45584725536992843,0.45584725536992843,573,1257,1257
DROBS,OG920347,DROBS00598,0.24862199013635045,0.24862199013635045,857,3447,3447
DROBS,OG910957,DROBS00891,0.23894330661917482,0.23894330661917482,805,3369,3369
DROBS,OG343079,DROBS01234,0.22982749026154703,0.22982749026154703,826,3594,3594
DROBS,OG351499,DROBS00220,0.24702380952380953,0.24702380952380953,249,1008,1008
DROBS,OG1230381,DROBS00341,0.2752752752752753,0.2752752752752753,550,1998,1998
DROBS,OG953904,DROBS01089,0.28991060025542786,0.28991060025542786,681,2349,2349
DROBS,OG1249425,DROBS01194,0.17180616740088106,0.17180616740088106,234,1362,1362
DROBS,OG1194257,DROBS00662,0.10073260073260074,0.10073260073260074,55,546,546
DROBS,OG451464,DROBS01179,0.2281639928698752,0.2281639928698752,128,561,561
DROBS,OG729022,DROBS01460,0.18553459119496854,0.18553459119496854,177,954,954
DROBS,OG1237357,DROBS00542,0.24060150375939848,0.24060150375939848,288,1197,1197
DROBS,OG728773,DROBS01066,0.17936507936507937,0.17936507936507937,226,1260,1260
DROBS,OG677941,DROBS01218,0.1412037037037037,0.1412037037037037,305,2160,2160
DROBS,OG871459,DROBS00954,0.26557239057239057,0.26557239057239057,631,2376,2376
DROBS,OG938418,DROBS00030,0.20885200553250347,0.20885200553250347,453,2169,2169
DROBS,OG762505,DROBS01123,0.27053140096618356,0.27053140096618356,168,621,621
