#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,3.1130604288499026,1.9503798276186828
ANODA,OG676343,ANODA08502,nan,nan
ANODA,OG951333,ANODA08505,10.509186351706036,4.861660455296716
ANODA,OG960910,ANODA08504,20.5432612312812,17.530820267400436
ANODA,OG848281,ANODA03007,9.661350844277674,7.493633799336563
ANODA,OG1221639,ANODA05486,6.411458333333333,3.0876895957868817
ANODA,OG964633,ANODA05487,22.822700296735906,12.456173179398363
ANODA,OG718578,ANODA00549,2.0528846153846154,1.2017980704224007
ANODA,OG961398,ANODA01312,7.6109422492401215,4.6465336977105505
ANODA,OG411836,ANODA03579,7.515328467153284,5.280882619645535
ANODA,OG1241986,ANODA03573,11.692963752665245,7.25616960934204
ANODA,OG698904,ANODA03572,17.35902327355971,9.600790837235017
ANODA,OG1157040,ANODA03571,10.659192825112108,5.6107274952183115
ANODA,OG958126,ANODA01492,6.068181818181818,2.9211692911483595
ANODA,OG842298,ANODA01152,13.688902743142144,10.584117473190748
ANODA,OG1174245,ANODA09078,5.6202860858257475,5.329594916386356
ANODA,OG456351,ANODA09077,12.752286585365853,31.966785510418283
ANODA,OG1251511,ANODA09076,18.70969182670835,9.105341027841888
ANODA,OG961602,ANODA09075,21.528260869565216,12.141613012307827
ANODA,OG953187,ANODA09070,7.261306532663316,4.894572966472988
ANODA,OG814084,ANODA09331,9.759237187127534,6.532158088029412
ANODA,OG699681,ANODA09332,25.037037037037038,6.763773226379453
ANODA,OG946387,ANODA07723,9.506981740064447,6.904341371414695
ANODA,OG946885,ANODA07717,2.3983050847457625,1.5176354853011746
ANODA,OG1214309,ANODA07715,nan,nan
ANODA,OG341995,ANODA06295,5.066081330868761,5.050463932940461
ANODA,OG1079985,ANODA06296,9.924665856622115,8.11441042097858
ANODA,OG976835,ANODA06297,24.281573498964804,17.323797305430947
ANODA,OG675570,ANODA03502,1.7945205479452055,0.4040515398288391
ANODA,OG971355,ANODA03504,15.203402366863905,10.136314422940147
ANODA,OG1223272,ANODA01666,12.998325892857142,8.071769138100633
ANODA,OG1224967,ANODA01667,8.707865168539326,6.201328886766565
ANODA,OG457329,ANODA01668,1.9798657718120805,0.14045939286212317
ANODA,OG961439,ANODA01669,6.155763239875389,3.2822622688117895
ANODA,OG998211,ANODA01670,3.8689839572192515,2.60531142682764
ANODA,OG673136,ANODA03220,3.5214899713467047,2.360788092160865
ANODA,OG1139777,ANODA01246,nan,nan
ANODA,OG1221689,ANODA08570,13.603674540682414,8.54058626760123
ANODA,OG1222683,ANODA08571,19.805004314063847,10.288166006210048
ANODA,OG1215812,ANODA08572,7.424914675767918,3.8974035825857887
ANODA,OG896170,ANODA03515,19.94092219020173,9.877169101851406
ANODA,OG1231177,ANODA03650,15.42837176799441,8.242498997986564
ANODA,OG961115,ANODA03651,11.518857142857144,7.648898247993841
ANODA,OG911937,ANODA03653,18.450854700854702,9.294087549192257
ANODA,OG924410,ANODA03655,14.451360650609947,11.779510245098438
ANODA,OG792952,ANODA03657,19.933035714285715,8.733145894407707
ANODA,OG792914,ANODA03658,2.465625,1.1258633839747165
ANODA,OG1244115,ANODA03659,8.533132530120483,6.087869516300099
ANODA,OG1170587,ANODA03456,13.083522727272728,8.37610990471395
ANODA,OG1226379,ANODA02643,6.342383107088989,5.948659054530268
ANODA,OG458150,ANODA02645,2.0,0.0
ANODA,OG975279,ANODA02647,8.507246376811594,5.455605840845472
ANODA,OG1174891,ANODA02648,7.910485933503836,3.3231217442398924
ANODA,OG455346,ANODA06172,17.931794333683104,8.400055378302028
ANODA,OG1240929,ANODA06171,2.0,0.0
ANODA,OG822311,ANODA06170,18.12191103789127,11.812486430340975
ANODA,OG420493,ANODA06168,1.7176470588235293,0.4501441522284468
ANODA,OG665560,ANODA06166,13.922105263157894,8.045761821429048
ANODA,OG420768,ANODA06165,9.470854922279793,7.896951618502093
ANODA,OG1181227,ANODA06163,7.225098039215687,3.9558739509593206
ANODA,OG342477,ANODA06162,110.3972602739726,433.37464107620747
ANODA,OG966098,ANODA06161,8.788211788211788,7.099767193711073
ANODA,OG419349,ANODA03242,4.014563106796117,4.479975029554852
ANODA,OG736122,ANODA03241,nan,nan
ANODA,OG1251119,ANODA03237,23.062205466541,8.926862448559552
ANODA,OG796653,ANODA01604,20.39079029247044,12.082391485346875
ANODA,OG793899,ANODA01385,12.034261241970022,6.198268014649853
ANODA,OG899270,ANODA01952,14.809590973201692,8.518071288659032
ANODA,OG456648,ANODA01951,5.976109215017065,2.851759988575595
ANODA,OG1251552,ANODA07755,1.2,0.4
ANODA,OG1189787,ANODA07757,10.0,6.7095180334964155
ANODA,OG962019,ANODA07758,1.9137055837563453,0.772408044643989
ANODA,OG967514,ANODA06786,13.446544595392794,8.481884113411304
ANODA,OG762076,ANODA10391,13.126315789473685,17.01624122343008
ANODA,OG1198488,ANODA06785,21.628749292586303,11.812591948563105
ANODA,OG456691,ANODA06792,nan,nan
ANODA,OG1203459,ANODA03477,3.1016949152542375,2.4010584901299246
ANODA,OG1139996,ANODA03476,1.8082191780821917,0.39370158529314836
ANODA,OG1208321,ANODA05883,14.799089157470661,13.161144392252465
ANODA,OG1240968,ANODA05983,12.698838248436104,7.195067599173635
ANODA,OG961322,ANODA05981,13.06640625,4.941798403411549
ANODA,OG698997,ANODA05980,18.302447552447553,12.502681057938199
ANODA,OG1219581,ANODA05977,5.244813278008299,4.155961581436926
ANODA,OG823022,ANODA00759,5.979674796747967,2.7026773641878257
ANODA,OG1174608,ANODA04336,15.845102505694761,4.8951342515083125
ANODA,OG839253,ANODA06918,6.0054945054945055,1.882531767159698
