#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,7.150655021834061,5.563763924112957
ANOST,OG676343,ANOST00003,3.5125284738041,1.803363785172631
ANOST,OG951333,ANOST00004,4.77970297029703,2.407390417993027
ANOST,OG960910,ANOST00006,23.15701219512195,7.432196330327543
ANOST,OG848281,ANOST00012,6.805116629044394,4.076813736052567
ANOST,OG1221639,ANOST00016,4.108504398826979,1.57787612666363
ANOST,OG964633,ANOST00017,12.752075919335706,5.808855662939148
ANOST,OG718578,ANOST00019,5.497910863509749,3.9202525475564625
ANOST,OG961398,ANOST00021,12.504587155963304,4.645365449456157
ANOST,OG411836,ANOST00028,14.891203703703704,4.6214458918550925
ANOST,OG1241986,ANOST00031,6.372274143302181,3.6759355686556527
ANOST,OG698904,ANOST00032,20.559655172413795,8.933908278154261
ANOST,OG1157040,ANOST00033,5.450628366247756,1.5898535325828265
ANOST,OG958126,ANOST00036,3.0846286701208983,0.7828617569583427
ANOST,OG842298,ANOST00037,8.722670106417285,6.597946000035687
ANOST,OG1174245,ANOST00043,8.17361111111111,4.395120180873441
ANOST,OG456351,ANOST00044,7.345135785493297,7.53494172118254
ANOST,OG1251511,ANOST00045,19.312611806797854,7.005507811007933
ANOST,OG961602,ANOST00046,9.443775100401606,2.0303548381249223
ANOST,OG953187,ANOST00048,6.924643584521385,2.5087268509510703
ANOST,OG814084,ANOST00057,6.171038824763904,3.91020950528201
ANOST,OG699681,ANOST00058,2.2175925925925926,0.6964631153594865
ANOST,OG946387,ANOST00073,9.592242665340626,4.016230063283593
ANOST,OG946885,ANOST00079,15.981057616416733,9.582917968854023
ANOST,OG1214309,ANOST00081,4.5501432664756445,2.1185309372086705
ANOST,OG341995,ANOST00098,11.069591800035965,8.216720029119484
ANOST,OG1079985,ANOST00101,9.590969017798287,7.075014588502088
ANOST,OG976835,ANOST00102,14.16842105263158,6.408031087565503
ANOST,OG675570,ANOST00108,nan,nan
ANOST,OG971355,ANOST00110,17.09547738693467,7.985362214497527
ANOST,OG1223272,ANOST00111,14.97565543071161,7.206255543098167
ANOST,OG1224967,ANOST00112,12.833333333333334,5.192995811649976
ANOST,OG457329,ANOST00113,1.480597014925373,0.49962338232932396
ANOST,OG961439,ANOST00114,9.65792759051186,2.897386174027981
ANOST,OG998211,ANOST00115,11.7371385655276,6.217789608971219
ANOST,OG673136,ANOST00116,9.095191364082433,5.849919388965418
ANOST,OG1139777,ANOST00117,1.1818181818181819,0.3856946079199351
ANOST,OG1221689,ANOST00123,12.9926597582038,6.544153055391317
ANOST,OG1222683,ANOST00125,13.959715639810426,5.311091965446164
ANOST,OG1215812,ANOST00126,7.514592933947773,4.8292839704103665
ANOST,OG896170,ANOST00127,15.81323877068558,6.773827720914811
ANOST,OG1231177,ANOST00129,16.353083434099155,5.473349705424961
ANOST,OG961115,ANOST00130,9.707407407407407,4.725770634857183
ANOST,OG911937,ANOST00134,10.457598178713717,5.6225464421561435
ANOST,OG924410,ANOST00137,13.054286236519832,7.538760827972791
ANOST,OG792952,ANOST00138,13.49154135338346,5.255852794901448
ANOST,OG792914,ANOST00139,10.474471830985916,6.989507962083126
ANOST,OG1244115,ANOST00140,5.112781954887218,2.056181347646947
ANOST,OG1170587,ANOST00146,24.658578856152513,8.88195590200997
ANOST,OG1226379,ANOST00147,4.738647830474268,2.404861748281586
ANOST,OG458150,ANOST00149,nan,nan
ANOST,OG975279,ANOST00151,9.979224376731302,3.224020039575291
ANOST,OG1174891,ANOST00152,5.547453703703703,2.6623346753897374
ANOST,OG455346,ANOST00156,13.67636684303351,7.991741031780354
ANOST,OG1240929,ANOST00157,5.262749445676275,2.9580826889099536
ANOST,OG822311,ANOST00158,13.386158081006686,5.971711816806402
ANOST,OG420493,ANOST00159,4.936482084690554,2.4107937254122054
ANOST,OG665560,ANOST00160,7.0073286918285085,4.790665676128282
ANOST,OG420768,ANOST00161,13.102005975245412,6.719316869605106
ANOST,OG1181227,ANOST00162,11.73913043478261,4.666557952437213
ANOST,OG342477,ANOST00163,24.577139287945034,47.516187604945685
ANOST,OG966098,ANOST00164,14.54799370574351,7.610028084446589
ANOST,OG419349,ANOST00176,12.128600823045268,7.433790392934809
ANOST,OG736122,ANOST00177,9.37029702970297,5.116804861530414
ANOST,OG1251119,ANOST00180,11.803459119496855,4.385767502724173
ANOST,OG796653,ANOST00189,18.349489795918366,5.924938624059786
ANOST,OG793899,ANOST00192,7.890295358649789,2.1633187499832496
ANOST,OG899270,ANOST00194,7.663129973474801,2.8232100610007254
ANOST,OG456648,ANOST00195,4.852593266606005,3.0706156903947504
ANOST,OG1251552,ANOST00206,8.578838174273859,2.561891218800276
ANOST,OG1189787,ANOST00208,6.969387755102041,2.5639603784838596
ANOST,OG962019,ANOST00209,1.1637931034482758,0.37008772299423587
ANOST,OG967514,ANOST00212,20.08929247067726,8.279659008793745
ANOST,OG762076,ANOST00214,4.453125,2.217643258791614
ANOST,OG1198488,ANOST00216,14.770797962648556,5.329875072986805
ANOST,OG456691,ANOST00218,1.9242979242979243,0.9817047240435215
ANOST,OG1203459,ANOST00222,3.6936067551266585,2.210343083097415
ANOST,OG1139996,ANOST00223,2.8376811594202898,1.8972979603938325
ANOST,OG1208321,ANOST00225,13.662020082693443,6.909387704226954
ANOST,OG1240968,ANOST00230,11.351510067114093,4.473984951232892
ANOST,OG961322,ANOST00232,3.2180851063829787,1.7244464277322753
ANOST,OG698997,ANOST00233,10.928671328671328,7.0569474014081255
ANOST,OG1219581,ANOST00235,5.222762645914397,2.8332357919192774
ANOST,OG823022,ANOST00242,4.3466204506065855,1.8330094345942163
ANOST,OG1174608,ANOST00246,2.1342857142857143,1.3316891222681615
ANOST,OG839253,ANOST00256,4.453453453453453,3.174848854801819
ANOST,OG1150674,ANOST00260,2.1175115207373274,1.0744271997073416
ANOST,OG348620,ANOST00261,13.463396226415094,4.574372807156593
ANOST,OG674682,ANOST00263,5.006265664160401,3.257335787215633
ANOST,OG964673,ANOST00265,7.214285714285714,3.3322277077952878
ANOST,OG373241,ANOST00266,5.60960960960961,1.5179103397590041
ANOST,OG960979,ANOST00268,13.601542416452443,7.951638162245705
ANOST,OG1240325,ANOST00269,2.269620253164557,1.1404922799398807
ANOST,OG1240328,ANOST00270,4.616564417177914,2.6660041974497624
ANOST,OG1231901,ANOST00272,6.316489361702128,4.051443716264245
ANOST,OG1194738,ANOST00274,18.320560058953575,6.814066921708819
ANOST,OG1214658,ANOST00276,1.9383116883116882,0.533999617192826
ANOST,OG344070,ANOST00277,4.779505300353357,2.6256691092316484
ANOST,OG925865,ANOST00286,8.770577933450088,4.8589465949681925
ANOST,OG1202204,ANOST00290,14.755927475592747,8.38261195186828
ANOST,OG977782,ANOST00291,4.149525316455696,2.2084310032678225
ANOST,OG351572,ANOST00298,11.855579868708972,5.82465676364705
ANOST,OG1218157,ANOST00305,7.602981029810298,3.121017449654735
ANOST,OG926503,ANOST00307,7.170781893004115,2.7994800747736805
ANOST,OG817086,ANOST00310,11.46444780635401,5.485286952867095
ANOST,OG949490,ANOST00312,3.1832167832167833,1.8650253945283977
ANOST,OG451043,ANOST00313,4.064864864864865,1.4354990122500701
ANOST,OG451038,ANOST00315,12.383448275862069,5.861081620705003
ANOST,OG784747,ANOST00320,6.317507418397626,2.341109013512552
ANOST,OG978616,ANOST00322,14.096686583378599,8.406135397661833
ANOST,OG1218158,ANOST00323,10.170180722891565,3.0620514371061462
ANOST,OG1236745,ANOST00324,6.118466898954704,2.4097933117249224
ANOST,OG1190683,ANOST00325,11.451640033641716,4.754571020202739
ANOST,OG853434,ANOST00326,3.318681318681319,1.3818217063400569
ANOST,OG962230,ANOST00328,3.1818181818181817,1.741817382705014
ANOST,OG1230391,ANOST00331,3.368015414258189,1.257508513151589
ANOST,OG352732,ANOST00335,12.05807478122514,7.256564281518789
ANOST,OG823037,ANOST00337,3.815968841285297,2.077893592767818
ANOST,OG964344,ANOST00343,8.763029315960912,5.750941116223292
ANOST,OG456720,ANOST00347,3.382978723404255,1.7170046185966756
ANOST,OG1146505,ANOST00349,11.901988636363637,6.835066933448373
ANOST,OG671266,ANOST00350,18.95125086522298,8.26176705586946
ANOST,OG664391,ANOST00352,8.822804314329739,4.083983994056563
ANOST,OG722946,ANOST00353,7.4991289198606275,3.846238844402156
ANOST,OG961377,ANOST00356,8.113588110403397,4.183788101610697
ANOST,OG1146507,ANOST00365,8.31407942238267,6.075614122738649
ANOST,OG986274,ANOST00366,11.673985362608118,6.402254095507699
ANOST,OG988784,ANOST00369,9.896949711459191,7.422760762709682
ANOST,OG362633,ANOST00370,1.0,0.0
ANOST,OG375937,ANOST00377,nan,nan
ANOST,OG949414,ANOST00379,6.8930232558139535,4.331535453745712
ANOST,OG917347,ANOST00382,7.239289446185998,3.247730936350053
ANOST,OG1081004,ANOST00389,6.5558121632024635,3.2459726474742125
ANOST,OG960945,ANOST00390,7.793587174348698,5.932667081674689
ANOST,OG968775,ANOST00395,8.72629420809841,4.014826513810296
ANOST,OG708597,ANOST00396,4.026709401709402,1.8862786887469756
ANOST,OG1197765,ANOST00410,7.7698170731707314,3.8239143162792093
ANOST,OG1168476,ANOST00411,13.649272882805818,8.002469779259677
ANOST,OG971123,ANOST00414,14.95949074074074,9.239958399372613
ANOST,OG761976,ANOST00415,7.848249027237354,3.460213951720606
ANOST,OG979200,ANOST00416,1.2697160883280758,0.44381225763274884
ANOST,OG814870,ANOST00423,6.676758267349791,6.00437157300784
ANOST,OG1225085,ANOST00424,13.90964590964591,10.040048851928018
ANOST,OG1229017,ANOST00425,14.896053145760062,9.124563512592745
ANOST,OG1204971,ANOST00430,5.5135922330097085,3.019758511006144
ANOST,OG369576,ANOST00441,8.194915254237289,2.350652540402242
ANOST,OG457572,ANOST00450,2.2847682119205297,1.081925457052683
ANOST,OG1191966,ANOST00456,10.820809248554914,4.207935847361612
ANOST,OG456338,ANOST00458,8.124494949494949,5.484680777380984
ANOST,OG1246006,ANOST00459,8.086870681145113,2.816948314852103
ANOST,OG1198490,ANOST00464,13.218324982104509,6.83596592457988
ANOST,OG1168250,ANOST00469,2.535593220338983,0.9045577085458005
ANOST,OG1216622,ANOST00470,7.187262357414449,3.238038725321532
ANOST,OG1202789,ANOST00471,9.396146899458158,5.393059476014905
ANOST,OG1223886,ANOST00473,1.4836601307189543,0.499732937349419
ANOST,OG790850,ANOST00477,4.218707015130674,2.715847218385022
ANOST,OG978865,ANOST00481,3.8129713423831073,2.3291737692028347
ANOST,OG1192905,ANOST00488,6.022435897435898,3.6071108615148466
ANOST,OG456479,ANOST00489,7.289890377588307,4.766280017071764
ANOST,OG1212040,ANOST00490,11.32248263888889,5.488442536402566
ANOST,OG1218490,ANOST00495,5.3016042780748664,2.2546322117474236
ANOST,OG961011,ANOST00496,10.02224123182207,5.832963005490042
ANOST,OG964929,ANOST00497,8.807288790723357,4.532704873094244
ANOST,OG877291,ANOST00499,4.9075723830734965,3.2020539948544533
