#species,og,gene_id,coverage,std
ANODA,OG1139777,ANODA01246,2.949044585987261,0.746935807096512
ANOSI,OG1139996,ANOSI13881,2.6044776119402986,1.1908773682521607
ANOSI,OG1146505,ANOSI08230,2.893467336683417,1.9456710195379359
ANOST,OG1157040,ANOST00033,3.9705014749262535,1.956537347353928
ANODA,OG1168250,ANODA06913,1.662162162162162,0.472972972972973
ANOSI,OG1168476,ANOSI15819,2.292504570383912,1.0553245069070287
ANOST,OG1170587,ANOST00146,4.5146166574738,4.55982254148177
ANOGA,OG1174245,ANOGA04055,1.0493827160493827,0.2166657873430154
ANOSI,OG1174608,ANOSI10178,1.5416666666666667,0.4982608642958916
ANOGA,OG1174891,ANOGA04632,1.6194690265486726,0.5319067510508837
ANOSI,OG1181227,ANOSI13961,4.3117408906882595,2.112806479617042
ANOST,OG1189787,ANOST00208,5.677007299270073,2.580750715474312
ANOGA,OG1190683,ANOGA04295,5.730093071354705,3.0508537621455236
ANOGA,OG1191966,ANOGA05362,9.960644007155635,5.146245396815146
ANOSI,OG1192905,ANOSI13732,2.1822503961965136,0.8776510254108724
ANOSI,OG1194738,ANOSI13345,7.518819188191882,2.9979414967990285
ANOGA,OG1197765,ANOGA04431,2.1745454545454543,0.9678877060745465
ANOSI,OG1198488,ANOSI18498,10.696661007357102,5.504816551269067
ANOGA,OG1198490,ANOGA05372,9.668817204301074,3.2792377762384093
ANOST,OG1202204,ANOST00290,2.147482014388489,0.6650397224304204
ANODA,OG1202789,ANODA06915,7.086206896551724,5.031372569367674
ANOGA,OG1208321,ANOGA05692,6.088768115942029,4.679644233883164
ANOGA,OG1212040,ANOGA05460,4.481543624161074,2.5597546612808975
ANOSI,OG1214309,ANOSI17769,1.0,0.0
ANODA,OG1215812,ANODA08572,3.1503759398496243,1.1503267963359272
ANOSI,OG1218157,ANOSI08193,2.5905923344947737,1.2045132885860017
ANOSI,OG1218158,ANOSI08297,4.009049773755656,1.5621588985664152
ANODA,OG1218490,ANODA07244,2.8072805139186294,1.684197396364238
ANOGA,OG1221639,ANOGA05250,1.0,0.0
ANOGA,OG1221689,ANOGA04113,3.544198895027624,2.085859268651067
ANOGA,OG1222683,ANOGA04115,8.933166248955722,3.7931756533419962
ANOGA,OG1223272,ANOGA04094,5.5633074935400515,2.791829610613507
ANODA,OG1224967,ANODA01667,3.7877551020408164,2.3943498672841788
ANODA,OG1226379,ANODA02643,1.690978886756238,0.7949548216472312
ANOGA,OG1229017,ANOGA05305,2.4724061810154527,1.5447018881704013
ANOGA,OG1231177,ANOGA04120,4.276485788113695,2.4314455992257784
ANOSI,OG1235653,ANOSI18112,2.790059347181009,1.2918331680845527
ANOST,OG1236745,ANOST00324,2.1712707182320443,0.7271020497839602
ANOSI,OG1240325,ANOSI13359,1.7615062761506277,0.8664018261970581
ANOGA,OG1240968,ANOGA05685,3.921875,2.7490795097708007
