Locus,Taxon,Query_Length,Target_Length
ANODA00223_OMA375937_W5JVT1_Anopheles_darlingi,2_A_albimanus,268,267
ANODA00223_OMA375937_W5JVT1_Anopheles_darlingi,7_A_darlingi,268,262
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,11_funestris,482,476
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,12_A_gambiae,482,476
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,13_A_maculatus,482,350
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,14_A_melas,482,461
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,15_A_merus,482,397
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,16_A_minimus,482,457
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,17_A_quad_combined,482,476
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,18_A_sinensis,482,239
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,19_A_stephensi,482,482
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,1_A_aegypti,482,412
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,20_D_melanogaster,482,486
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,21_C_quinquefasciatus,482,386
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,2_A_albimanus,482,487
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,3_A_arabiensis,482,476
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,4_A_atroparvus,482,365
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,5_A_christyi,482,443
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,7_A_darlingi,482,486
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,8_A_dirus,482,470
ANODA00293_OMA961440_W5JNF3_Anopheles_darlingi,9_A_epiroctus,482,444
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,11_funestris,569,571
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,12_A_gambiae,569,470
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,13_A_maculatus,569,77
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,14_A_melas,569,263
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,15_A_merus,569,136
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,16_A_minimus,569,448
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,17_A_quad_combined,569,134
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,19_A_stephensi,569,567
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,1_A_aegypti,569,380
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,21_C_quinquefasciatus,569,394
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,2_A_albimanus,569,569
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,3_A_arabiensis,569,567
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,5_A_christyi,569,499
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,7_A_darlingi,569,569
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,8_A_dirus,569,571
ANODA00549_OMA718578_W5JM00_Anopheles_darlingi,9_A_epiroctus,569,303
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,11_funestris,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,12_A_gambiae,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,13_A_maculatus,111,110
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,14_A_melas,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,15_A_merus,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,16_A_minimus,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,17_A_quad_combined,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,18_A_sinensis,111,110
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,19_A_stephensi,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,1_A_aegypti,111,110
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,21_C_quinquefasciatus,111,110
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,2_A_albimanus,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,3_A_arabiensis,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,4_A_atroparvus,111,110
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,5_A_christyi,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,7_A_darlingi,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,8_A_dirus,111,111
ANODA00581_OMA373241_W5JIK4_Anopheles_darlingi,9_A_epiroctus,111,111
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,10_A_farauti,400,390
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,11_funestris,400,400
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,12_A_gambiae,400,402
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,13_A_maculatus,400,382
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,14_A_melas,400,402
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,15_A_merus,400,400
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,16_A_minimus,400,400
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,17_A_quad_combined,400,400
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,18_A_sinensis,400,399
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,19_A_stephensi,400,389
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,1_A_aegypti,400,400
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,20_D_melanogaster,400,389
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,21_C_quinquefasciatus,400,399
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,2_A_albimanus,400,393
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,3_A_arabiensis,400,399
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,4_A_atroparvus,400,390
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,5_A_christyi,400,393
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,6_A_culici,400,392
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,7_A_darlingi,400,396
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,8_A_dirus,400,400
ANODA00582_OMA960979_W5JLN7_Anopheles_darlingi,9_A_epiroctus,400,403
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,11_funestris,438,437
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,12_A_gambiae,438,402
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,13_A_maculatus,438,315
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,14_A_melas,438,402
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,15_A_merus,438,302
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,16_A_minimus,438,395
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,17_A_quad_combined,438,402
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,18_A_sinensis,438,295
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,19_A_stephensi,438,440
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,1_A_aegypti,438,301
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,21_C_quinquefasciatus,438,367
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,2_A_albimanus,438,438
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,3_A_arabiensis,438,444
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,4_A_atroparvus,438,179
