#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG456479,ANODA10251,0.7042093287827076,0.7042093287827076,1238,1758,1758
ANODA,OG911937,ANODA03653,0.9049945711183496,0.9049945711183496,1667,1842,1842
ANODA,OG1214658,ANODA02027,0.5227920227920227,0.5227920227920227,367,702,702
ANODA,OG848281,ANODA03007,0.8416965352449224,0.8416965352449224,1409,1674,1674
ANODA,OG932104,ANODA02917,0.8042226487523992,0.8042226487523992,1257,1563,1563
ANODA,OG1202204,ANODA07035,0.99860529986053,0.99860529986053,716,717,717
ANODA,OG1174891,ANODA02648,0.8513513513513513,0.8513513513513513,756,888,888
ANODA,OG961013,ANODA08956,0.9280538302277432,0.9280538302277432,1793,1932,1932
ANODA,OG451038,ANODA08555,0.8919631093544137,0.8919631093544137,677,759,759
ANODA,OG708597,ANODA05161,0.2091820239249919,0.2091820239249919,647,3093,3093
ANODA,OG964929,ANODA07247,0.6988304093567251,0.6988304093567251,1195,1710,1710
ANODA,OG457572,ANODA02309,0.2891832229580574,0.2891832229580574,131,453,453
ANODA,OG1203459,ANODA03477,0.7784552845528455,0.7784552845528455,766,984,984
ANODA,OG961440,ANODA00293,0.9377593360995851,0.9377593360995851,1356,1446,1446
ANODA,OG828830,ANODA10328,0.5608782435129741,0.5608782435129741,281,501,501
ANODA,OG961398,ANODA01312,0.8599374021909233,0.8599374021909233,1099,1278,1278
ANODA,OG986274,ANODA04898,0.638676844783715,0.638676844783715,1004,1572,1572
ANODA,OG899270,ANODA01952,0.7427213309566251,0.7427213309566251,1250,1683,1683
ANODA,OG1139996,ANODA03476,0.6386036960985626,0.6386036960985626,933,1461,1461
ANODA,OG925865,ANODA07041,0.8623188405797102,0.8623188405797102,476,552,552
ANODA,OG814084,ANODA09331,0.8546296296296296,0.8546296296296296,923,1080,1080
ANODA,OG1244115,ANODA03659,0.7385057471264368,0.7385057471264368,257,348,348
ANODA,OG978616,ANODA08564,0.5799918995544755,0.5799918995544755,1432,2469,2469
ANODA,OG961602,ANODA09075,0.8800705467372134,0.8800705467372134,499,567,567
ANODA,OG951333,ANODA08505,0.9,0.9,405,450,450
ANODA,OG966098,ANODA06161,0.9149024491490245,0.9149024491490245,2204,2409,2409
ANODA,OG1150674,ANODA06923,0.4232209737827715,0.4232209737827715,339,801,801
ANODA,OG977782,ANODA01117,0.19584569732937684,0.19584569732937684,396,2022,2022
ANODA,OG924410,ANODA03655,0.7136876006441224,0.7136876006441224,4432,6210,6210
ANODA,OG1235653,ANODA08957,0.9184,0.9184,1722,1875,1875
ANODA,OG1215812,ANODA08572,0.9051987767584098,0.9051987767584098,592,654,654
ANODA,OG964344,ANODA02629,0.7662337662337663,0.7662337662337663,1062,1386,1386
ANODA,OG953548,ANODA07452,0.9835897435897436,0.9835897435897436,1918,1950,1950
ANODA,OG963232,ANODA07139,0.6701846965699209,0.6701846965699209,762,1137,1137
ANODA,OG1221689,ANODA08570,0.9504096593359207,0.9504096593359207,2204,2319,2319
ANODA,OG664391,ANODA07080,0.9317000742390498,0.9317000742390498,1255,1347,1347
ANODA,OG953187,ANODA09070,0.9425925925925925,0.9425925925925925,509,540,540
ANODA,OG962019,ANODA07758,0.0931174089068826,0.0931174089068826,69,741,741
ANODA,OG1242667,ANODA10318,0.6863953966296753,0.6863953966296753,1670,2433,2433
ANODA,OG961377,ANODA07077,0.9990393852065321,0.9990393852065321,1040,1041,1041
ANODA,OG698997,ANODA05980,0.6317757009345795,0.6317757009345795,2028,3210,3210
ANODA,OG698904,ANODA03572,0.9016809387884555,0.9016809387884555,2843,3153,3153
ANODA,OG946885,ANODA07717,0.7764887857695282,0.7764887857695282,1004,1293,1293
ANODA,OG975279,ANODA02647,0.841776110068793,0.841776110068793,1346,1599,1599
ANODA,OG979200,ANODA05740,0.10776102735901731,0.10776102735901731,193,1791,1791
ANODA,OG967514,ANODA06786,0.7491582491582491,0.7491582491582491,2225,2970,2970
ANODA,OG1216622,ANODA06914,0.6933962264150944,0.6933962264150944,882,1272,1272
ANODA,OG1168250,ANODA06913,0.4327485380116959,0.4327485380116959,148,342,342
ANODA,OG964633,ANODA05487,0.9136649514008005,0.9136649514008005,1598,1749,1749
ANODA,OG671266,ANODA07081,0.9983572601957003,0.9983572601957003,13978,14001,14001
ANODA,OG456648,ANODA01951,0.33607681755829905,0.33607681755829905,490,1458,1458
ANODA,OG696447,ANODA04792,0.9016393442622951,0.9016393442622951,825,915,915
ANODA,OG699681,ANODA09332,0.9616519174041298,0.9616519174041298,326,339,339
ANODA,OG1229017,ANODA05596,0.956989247311828,0.956989247311828,2403,2511,2511
ANODA,OG1179948,ANODA10325,0.8333333333333334,0.8333333333333334,470,564,564
ANODA,OG960979,ANODA00582,0.995,0.995,1194,1200,1200
ANODA,OG1251552,ANODA07755,0.8740740740740741,0.8740740740740741,472,540,540
ANODA,OG674682,ANODA07073,0.7311435523114356,0.7311435523114356,601,822,822
ANODA,OG817086,ANODA08550,0.9218106995884774,0.9218106995884774,672,729,729
ANODA,OG1198490,ANODA04841,0.9350736278447122,0.9350736278447122,1397,1494,1494
ANODA,OG1150857,ANODA10330,0.779385171790235,0.779385171790235,1293,1659,1659
ANODA,OG411836,ANODA03579,0.741248097412481,0.741248097412481,974,1314,1314
ANODA,OG460076,ANODA05621,0.8170974155069582,0.8170974155069582,2466,3018,3018
ANODA,OG1198488,ANODA06785,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANODA,OG1231177,ANODA03650,0.910950661853189,0.910950661853189,1514,1662,1662
ANODA,OG793899,ANODA01385,0.9983416252072969,0.9983416252072969,602,603,603
ANODA,OG960945,ANODA08768,0.5561941251596424,0.5561941251596424,871,1566,1566
ANODA,OG1240968,ANODA05983,0.938977879481312,0.938977879481312,1231,1311,1311
ANODA,OG877291,ANODA07249,0.6574983628028814,0.6574983628028814,1004,1527,1527
ANODA,OG784747,ANODA08561,1.0,1.0,636,636,636
ANODA,OG961322,ANODA05981,0.9197080291970803,0.9197080291970803,378,411,411
ANODA,OG916860,ANODA09028,0.3004866180048662,0.3004866180048662,247,822,822
ANODA,OG373241,ANODA00581,1.0,1.0,333,333,333
ANODA,OG971123,ANODA05742,0.3059292476332835,0.3059292476332835,614,2007,2007
ANODA,OG661167,ANODA02918,0.9469434832756632,0.9469434832756632,821,867,867
ANODA,OG1139777,ANODA01246,0.2792022792022792,0.2792022792022792,98,351,351
ANODA,OG1214309,ANODA07715,0.4256410256410256,0.4256410256410256,166,390,390
ANODA,OG455346,ANODA06172,0.85,0.85,969,1140,1140
ANODA,OG931899,ANODA03411,0.49663978494623656,0.49663978494623656,739,1488,1488
ANODA,OG454890,ANODA10326,0.8109756097560976,0.8109756097560976,798,984,984
ANODA,OG348620,ANODA06924,0.9838116261957321,0.9838116261957321,1337,1359,1359
ANODA,OG1212040,ANODA10250,0.8156028368794326,0.8156028368794326,4255,5217,5217
ANODA,OG1219581,ANODA05977,0.2917409387997623,0.2917409387997623,491,1683,1683
ANODA,OG986805,ANODA04795,0.7310907237512743,0.7310907237512743,3586,4905,4905
ANODA,OG814870,ANODA05594,0.5633104500381388,0.5633104500381388,2954,5244,5244
ANODA,OG988784,ANODA08548,0.6124457791124458,0.6124457791124458,3671,5994,5994
ANODA,OG926503,ANODA08545,0.9979423868312757,0.9979423868312757,485,486,486
ANODA,OG1240328,ANODA00790,0.29954954954954954,0.29954954954954954,266,888,888
ANODA,OG1231901,ANODA00788,0.5200163398692811,0.5200163398692811,1273,2448,2448
ANODA,OG1144131,ANODA04793,0.610655737704918,0.610655737704918,1341,2196,2196
ANODA,OG958126,ANODA01492,0.7013574660633484,0.7013574660633484,465,663,663
ANODA,OG846448,ANODA08490,0.6334661354581673,0.6334661354581673,477,753,753
ANODA,OG976835,ANODA06297,0.7880371660859465,0.7880371660859465,1357,1722,1722
ANODA,OG792914,ANODA03658,0.6395534290271132,0.6395534290271132,802,1254,1254
ANODA,OG1179969,ANODA09026,0.7045530076437354,0.7045530076437354,2120,3009,3009
ANODA,OG961439,ANODA01669,0.5657093124456049,0.5657093124456049,650,1149,1149
ANODA,OG949490,ANODA08552,0.7657342657342657,0.7657342657342657,657,858,858
ANODA,OG665560,ANODA06166,0.6465590484282073,0.6465590484282073,2283,3531,3531
ANODA,OG1152239,ANODA05622,0.4973544973544973,0.4973544973544973,470,945,945
ANODA,OG946387,ANODA07723,0.633284954039671,0.633284954039671,1309,2067,2067
ANODA,OG420768,ANODA06165,0.7902534113060429,0.7902534113060429,2027,2565,2565
ANODA,OG1079985,ANODA06296,0.6239950525664811,0.6239950525664811,2018,3234,3234
ANODA,OG673136,ANODA03220,0.21371610845295055,0.21371610845295055,268,1254,1254
ANODA,OG1223886,ANODA06917,0.43089430894308944,0.43089430894308944,212,492,492
ANODA,OG961011,ANODA07246,0.8254817987152034,0.8254817987152034,2313,2802,2802
ANODA,OG932017,ANODA05892,0.5033068783068783,0.5033068783068783,761,1512,1512
ANODA,OG420493,ANODA06168,0.9821200510855683,0.9821200510855683,769,783,783
ANODA,OG1246006,ANODA06751,0.8668639053254438,0.8668639053254438,879,1014,1014
ANODA,OG1225085,ANODA05595,0.160485347985348,0.160485347985348,701,4368,4368
ANODA,OG998211,ANODA01670,0.24105924105924106,0.24105924105924106,883,3663,3663
ANODA,OG970502,ANODA05891,0.9085312225153914,0.9085312225153914,1033,1137,1137
ANODA,OG456691,ANODA06792,0.1549636803874092,0.1549636803874092,192,1239,1239
ANODA,OG1168476,ANODA06616,0.8827309236947791,0.8827309236947791,1099,1245,1245
ANODA,OG944937,ANODA08489,0.5343915343915344,0.5343915343915344,606,1134,1134
ANODA,OG1240929,ANODA06171,0.47173489278752434,0.47173489278752434,484,1026,1026
