#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,28.741496598639454,25.72819423730654
ANOSI,OG676343,ANOSI11914,4.0,0.0
ANOSI,OG951333,ANOSI11872,18.36123348017621,8.878618293164049
ANOSI,OG960910,ANOSI11898,154.4916286149163,55.42517552635186
ANOSI,OG848281,ANOSI16815,42.64401294498382,22.54932324302171
ANOSI,OG1221639,ANOSI13259,38.99135446685879,14.273065065004698
ANOSI,OG964633,ANOSI13303,77.24597056762438,89.19789210167724
ANOSI,OG718578,ANOSI13311,14.614925373134328,11.145352471359923
ANOSI,OG961398,ANOSI02900,35.81659388646288,24.475305881753094
ANOSI,OG411836,ANOSI13282,80.19141323792486,53.33663836854683
ANOSI,OG1241986,ANOSI13275,52.22613531047266,22.12611972806803
ANOSI,OG698904,ANOSI13273,74.15915492957747,30.331130651688532
ANOSI,OG1157040,ANOSI13306,27.841176470588234,16.998565988775066
ANOSI,OG958126,ANOSI13277,40.45994832041344,24.07536236208183
ANOSI,OG842298,ANOSI13293,50.26201796090861,26.92006558026843
ANOSI,OG1174245,ANOSI10141,51.21242060691602,20.792639253831066
ANOSI,OG456351,ANOSI10182,65.68,136.18119912582955
ANOSI,OG1251511,ANOSI10202,73.15342960288808,28.707316721772827
ANOSI,OG961602,ANOSI10095,78.3629191321499,23.433367823967217
ANOSI,OG953187,ANOSI10125,76.57367387033399,21.01998708451384
ANOSI,OG814084,ANOSI08197,44.92541087231353,14.951527210235591
ANOSI,OG699681,ANOSI08225,47.49262536873157,16.60230033137817
ANOSI,OG946387,ANOSI17759,38.27412814274128,18.79654470947279
ANOSI,OG946885,ANOSI17776,61.00297324083251,32.646240183172715
ANOSI,OG1214309,ANOSI17769,17.968847352024923,6.601163041469516
ANOSI,OG341995,ANOSI16311,39.949381017881706,29.512605126920285
ANOSI,OG1079985,ANOSI16316,44.49752586594692,25.281267403118665
ANOSI,OG976835,ANOSI16315,57.273106323836,35.55672258025999
ANOSI,OG675570,ANOSI13707,7.175824175824176,3.387414997411781
ANOSI,OG971355,ANOSI13700,92.17342657342657,58.130772456938956
ANOSI,OG1223272,ANOSI13699,40.89220917822839,24.68694306888658
ANOSI,OG1224967,ANOSI13721,49.156702328508494,31.2650616302203
ANOSI,OG457329,ANOSI13708,5.315068493150685,1.9645956210408284
ANOSI,OG961439,ANOSI13690,54.52202283849918,17.449482091795996
ANOSI,OG998211,ANOSI13712,46.30177514792899,29.1065589171372
ANOSI,OG673136,ANOSI13684,54.16556291390729,32.185224928712636
ANOSI,OG1139777,ANOSI13705,18.941176470588236,10.78987378951648
ANOSI,OG1221689,ANOSI12385,46.70752895752896,23.43740907367961
ANOSI,OG1222683,ANOSI12376,75.18226600985221,26.85877339891193
ANOSI,OG1215812,ANOSI12428,57.357910906298,15.076232643474725
ANOSI,OG896170,ANOSI12371,81.53025936599424,21.601808566926152
ANOSI,OG1231177,ANOSI05477,58.16133518776078,26.224485185643665
ANOSI,OG961115,ANOSI05647,63.01851851851852,42.767411763120805
ANOSI,OG911937,ANOSI05566,39.64087759815242,20.40123827166749
ANOSI,OG924410,ANOSI05511,53.16577301161752,30.093097268689846
ANOSI,OG792952,ANOSI05501,71.68164794007491,35.302700667765514
ANOSI,OG792914,ANOSI05550,47.907647907647906,23.481228555330354
ANOSI,OG1244115,ANOSI05521,55.80232558139535,11.025678028448864
ANOSI,OG1170587,ANOSI05651,61.21476436339668,27.50555082778056
ANOSI,OG1226379,ANOSI13958,65.04728950403691,27.084579837456417
ANOSI,OG458150,ANOSI13956,nan,nan
ANOSI,OG975279,ANOSI13957,36.34241245136187,19.14554816174093
ANOSI,OG1174891,ANOSI13945,17.80377358490566,6.302379372908058
ANOSI,OG455346,ANOSI13964,76.0863309352518,33.1917216892441
ANOSI,OG1240929,ANOSI13949,12.41025641025641,11.867098494332156
ANOSI,OG822311,ANOSI13972,73.15515409139213,27.956820119291454
ANOSI,OG420493,ANOSI13963,27.919793014230272,18.9861741473645
ANOSI,OG665560,ANOSI13979,42.56673511293634,34.408990191125284
ANOSI,OG420768,ANOSI13955,70.91932310114129,36.395032232524635
ANOSI,OG1181227,ANOSI13961,60.90313961255845,29.653656021815156
ANOSI,OG342477,ANOSI13940,222.54770181537273,428.4124472232516
ANOSI,OG966098,ANOSI13976,73.00818713450292,30.613867769891915
ANOSI,OG419349,ANOSI16375,49.66556291390729,31.64801354124724
ANOSI,OG736122,ANOSI16384,26.41959798994975,19.724479544609654
ANOSI,OG1251119,ANOSI19256,77.53792502179599,28.141117491834517
ANOSI,OG796653,ANOSI16455,83.78648018648019,29.594888741001625
ANOSI,OG793899,ANOSI18657,53.05,20.933485933626375
ANOSI,OG899270,ANOSI18211,39.64556962025316,24.798447263908464
ANOSI,OG456648,ANOSI18213,22.407704654895667,14.645102995946749
ANOSI,OG1251552,ANOSI09497,36.37603305785124,14.135673907718497
ANOSI,OG1189787,ANOSI09481,30.162046908315563,18.553885358820327
ANOSI,OG962019,ANOSI09471,16.790123456790123,8.175114375131814
ANOSI,OG967514,ANOSI18502,68.92734478203434,33.707440585274206
ANOSI,OG762076,ANOSI09475,31.005988023952096,22.096006360374286
ANOSI,OG1198488,ANOSI18498,81.08903365906623,29.04004684163847
ANOSI,OG456691,ANOSI18513,5.9753086419753085,2.0726038292773645
ANOSI,OG1203459,ANOSI13887,31.7429718875502,17.534462169992835
ANOSI,OG1139996,ANOSI13881,42.67492850333651,20.035672443821504
ANOSI,OG1208321,ANOSI11134,85.63864522417154,32.076655380304295
ANOSI,OG1240968,ANOSI11112,86.82561078348779,28.336034218675334
ANOSI,OG961322,ANOSI11117,26.066838046272494,17.4416590661242
ANOSI,OG698997,ANOSI11073,101.66791744840525,59.39003936341457
ANOSI,OG1219581,ANOSI11081,18.45679012345679,15.131970392790805
ANOSI,OG823022,ANOSI10093,37.211581291759465,28.060104904553143
ANOSI,OG1174608,ANOSI10178,64.85649202733485,20.19844369146924
ANOSI,OG839253,ANOSI18124,21.035830618892508,9.340920073953507
ANOSI,OG1150674,ANOSI16840,29.04433497536946,14.916945927007625
ANOSI,OG348620,ANOSI16831,53.42022116903634,38.948769794609504
ANOSI,OG674682,ANOSI10188,38.039370078740156,16.513369231708193
ANOSI,OG964673,ANOSI18236,36.69346733668342,16.98244756104096
ANOSI,OG373241,ANOSI13370,39.01807228915663,11.728337062850578
ANOSI,OG960979,ANOSI13351,90.36560934891486,43.46398988375709
ANOSI,OG1240325,ANOSI13359,23.502958579881657,17.597894438900994
ANOSI,OG1240328,ANOSI13371,16.805460750853243,13.799380614135684
ANOSI,OG1231901,ANOSI13321,34.823088455772115,20.85583141005818
ANOSI,OG1194738,ANOSI13345,64.58068965517242,29.60394963526209
ANOSI,OG1214658,ANOSI13358,57.37827715355805,18.24806120813305
ANOSI,OG344070,ANOSI13377,63.79120059656972,78.85499362445653
ANOSI,OG925865,ANOSI19077,43.50920245398773,12.331001431207268
ANOSI,OG1202204,ANOSI18328,52.51862464183381,18.637249644895434
ANOSI,OG977782,ANOSI18323,24.0,0.0
ANOSI,OG351572,ANOSI08252,48.6007702182285,25.02637477902189
ANOSI,OG1218157,ANOSI08193,33.779122541603634,13.0036508251437
ANOSI,OG926503,ANOSI08194,51.91769547325103,23.180660478156348
ANOSI,OG817086,ANOSI08325,56.494152046783626,29.147662395317138
ANOSI,OG949490,ANOSI08215,50.08383233532934,12.976908636817004
ANOSI,OG451043,ANOSI08181,40.69879518072289,18.414723640097932
ANOSI,OG451038,ANOSI08326,60.66182873730043,31.32511769630962
ANOSI,OG784747,ANOSI08261,72.97935103244838,26.927349841570845
ANOSI,OG978616,ANOSI08335,69.22065727699531,38.3549241131601
ANOSI,OG1218158,ANOSI08297,49.65256797583081,20.767017578007163
ANOSI,OG1236745,ANOSI08307,50.13053613053613,23.073041513873047
ANOSI,OG1190683,ANOSI08201,60.77660594439118,24.047710431039235
ANOSI,OG853434,ANOSI08170,15.993548387096775,9.223390164068006
ANOSI,OG962230,ANOSI08287,51.726890756302524,12.018236825051492
ANOSI,OG1230391,ANOSI08180,9.79746835443038,2.9268713448410613
ANOSI,OG352732,ANOSI08184,46.236311239193085,27.60963418000076
ANOSI,OG823037,ANOSI08294,18.106060606060606,13.280914522041826
ANOSI,OG964344,ANOSI08292,69.0954169797145,34.66745401925258
ANOSI,OG456720,ANOSI08234,27.088607594936708,13.87611541728687
ANOSI,OG1146505,ANOSI08230,49.237864077669904,26.033431145075912
ANOSI,OG671266,ANOSI08178,91.0664851697951,30.2269965632122
ANOSI,OG664391,ANOSI08311,66.15335463258786,36.58805471096247
ANOSI,OG722946,ANOSI08175,71.13421550094517,35.21555203730212
ANOSI,OG961377,ANOSI08182,53.65966850828729,31.709440145881658
ANOSI,OG1146507,ANOSI09519,26.4110599078341,16.9858891634742
ANOSI,OG986274,ANOSI08263,58.78957169459963,33.62542106100347
ANOSI,OG988784,ANOSI08226,46.457142857142856,47.16479234502699
ANOSI,OG362633,ANOSI16462,8.0,0.0
ANOSI,OG375937,ANOSI09099,nan,nan
ANOSI,OG949414,ANOSI16805,56.58181818181818,24.359447853441132
ANOSI,OG917347,ANOSI11939,74.03850267379678,23.15496767951313
ANOSI,OG1081004,ANOSI11947,42.0955223880597,23.769348334556813
ANOSI,OG960945,ANOSI11923,45.74640287769784,23.819700555269907
ANOSI,OG968775,ANOSI11909,47.47307893361213,30.654857090405496
ANOSI,OG708597,ANOSI11937,25.846715328467152,15.437082337953086
ANOSI,OG1197765,ANOSI15828,59.97090909090909,24.078037316021742
ANOSI,OG1168476,ANOSI15819,59.40633484162896,31.910204266666323
ANOSI,OG971123,ANOSI15824,52.74233825198638,36.60034347889666
ANOSI,OG761976,ANOSI15820,47.767195767195766,23.40100805201699
ANOSI,OG979200,ANOSI15839,18.509090909090908,14.680964731112871
ANOSI,OG814870,ANOSI12461,29.61231741018555,17.98353521327207
ANOSI,OG1225085,ANOSI12439,25.09251101321586,23.038854106500775
ANOSI,OG1229017,ANOSI12483,72.28955007256894,33.5781746007999
ANOSI,OG1204971,ANOSI12470,37.466084157277535,23.36070957317136
ANOSI,OG369576,ANOSI18640,16.065454545454546,8.92368081784882
ANOSI,OG457572,ANOSI19201,26.316901408450704,4.711193919295753
ANOSI,OG1191966,ANOSI18157,80.88297872340425,31.120957016057393
ANOSI,OG456338,ANOSI18154,35.08283202221194,25.59863714222133
ANOSI,OG1246006,ANOSI08120,62.20368098159509,25.20030647776082
ANOSI,OG1198490,ANOSI18566,80.83534136546184,28.88658399540573
ANOSI,OG1168250,ANOSI15785,11.662337662337663,3.920013217610865
ANOSI,OG1216622,ANOSI15784,52.066334991708125,27.525635468790707
ANOSI,OG1202789,ANOSI15781,64.70788043478261,33.788166710223834
ANOSI,OG1223886,ANOSI18645,11.056047197640117,7.508880701549517
ANOSI,OG790850,ANOSI19220,49.447154471544714,35.80033748970581
ANOSI,OG978865,ANOSI19223,138.4215809284818,86.4323289579434
ANOSI,OG1192905,ANOSI13732,46.174107142857146,19.155986781159278
ANOSI,OG456479,ANOSI13787,89.0829420970266,102.28168937463057
ANOSI,OG1212040,ANOSI13772,60.16760992599042,34.58510523011584
ANOSI,OG1218490,ANOSI09061,24.1010101010101,19.21063202547172
ANOSI,OG961011,ANOSI08989,55.72472387425658,33.80144445158837
ANOSI,OG964929,ANOSI08966,36.94876431585293,18.289195237278047
ANOSI,OG877291,ANOSI08974,34.92328398384926,28.274434452162062
ANOSI,OG961299,ANOSI14995,41.019406392694066,25.313190519164166
ANOSI,OG719374,ANOSI14969,44.612606697307946,23.59783476539419
ANOSI,OG1183200,ANOSI14974,23.235294117647058,12.225156056254223
ANOSI,OG916860,ANOSI16582,24.23508137432188,22.56681617870916
ANOSI,OG1179969,ANOSI16583,54.4929889298893,28.382764420657633
ANOSI,OG846448,ANOSI18065,50.89161554192229,22.591746851790415
ANOSI,OG944937,ANOSI18066,20.38568588469185,15.072071847562004
ANOSI,OG1162063,ANOSI18068,20.82051282051282,9.156395536683341
ANOSI,OG823032,ANOSI15205,36.754929577464786,27.60086132934625
ANOSI,OG932017,ANOSI15215,45.83170731707317,21.710421674398457
ANOSI,OG970502,ANOSI15209,42.87648054145516,11.3993783099642
ANOSI,OG1242667,ANOSI15210,48.284394250513344,26.64912368956189
ANOSI,OG961440,ANOSI15201,41.47875816993464,15.400307900336875
ANOSI,OG963232,ANOSI15198,39.23899371069182,16.24844806115916
ANOSI,OG1176412,ANOSI15222,60.411991434689504,62.72329247874874
ANOSI,OG1179948,ANOSI16890,31.8099173553719,20.102963906956845
ANOSI,OG454890,ANOSI16889,53.84321223709369,33.70979351155487
ANOSI,OG828830,ANOSI16895,26.095238095238095,5.954628147238254
ANOSI,OG1150857,ANOSI15844,37.86636971046771,19.814281489964173
ANOSI,OG703365,ANOSI15845,nan,nan
ANOSI,OG961013,ANOSI18108,79.32400671516508,25.474208734306444
ANOSI,OG1235653,ANOSI18112,53.42603550295858,30.182788841837144
ANOSI,OG457108,ANOSI16884,64.4215456674473,31.71167390377762
ANOSI,OG932104,ANOSI16749,44.53575025176234,41.841245315272246
ANOSI,OG661167,ANOSI16743,57.552414605418136,23.198988583972113
ANOSI,OG931899,ANOSI11633,9.471947194719473,4.605747432258185
ANOSI,OG1138880,ANOSI11144,nan,nan
ANOSI,OG953548,ANOSI16981,90.0924499229584,20.695252018117802
ANOSI,OG986805,ANOSI17797,54.15618706645782,30.067809474184862
ANOSI,OG961564,ANOSI18947,31.859133126934985,22.41741573065684
ANOSI,OG1144131,ANOSI18952,43.422339722405816,29.221617419273738
ANOSI,OG696447,ANOSI18946,54.371937639198215,21.824563020458694
ANOSI,OG460076,ANOSI16987,51.80908248378128,28.307275154695667
ANOSI,OG1152239,ANOSI16991,49.38765432098766,14.188861765536153
ANOSI,OG968364,ANOSI14862,60.890086206896555,43.33386811553565
ANOSI,OG362545,ANOSI14857,44.54612546125461,20.750421098446587
