#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,8.059792556436852,14.507622290814169
ANOSI,OG676343,ANOSI11914,4.7,5.01098792654702
ANOSI,OG951333,ANOSI11872,9.019283746556473,2.8598411665685717
ANOSI,OG960910,ANOSI11898,20.522831050228312,6.975376078550131
ANOSI,OG848281,ANOSI16815,5.563340410474169,3.8473693950594385
ANOSI,OG1221639,ANOSI13259,7.421259842519685,5.421568618657572
ANOSI,OG964633,ANOSI13303,94.38565737051793,253.9591072610369
ANOSI,OG718578,ANOSI13311,5.018970189701897,2.2821726969323644
ANOSI,OG961398,ANOSI02900,3.854472630173565,2.484434189087145
ANOSI,OG411836,ANOSI13282,8.140298507462687,5.007379421125605
ANOSI,OG1241986,ANOSI13275,7.1824324324324325,5.688106560660993
ANOSI,OG698904,ANOSI13273,12.920257234726687,6.166453790097341
ANOSI,OG1157040,ANOSI13306,10.492350486787204,4.182503447359358
ANOSI,OG958126,ANOSI13277,5.409836065573771,2.0435989563603174
ANOSI,OG842298,ANOSI13293,9.568374967808396,13.199850517399867
ANOSI,OG1174245,ANOSI10141,7.830665543386689,4.607141061082785
ANOSI,OG456351,ANOSI10182,15.799668187474078,59.89457847576809
ANOSI,OG1251511,ANOSI10202,11.061233290211298,4.7136779892805425
ANOSI,OG961602,ANOSI10095,14.170114942528736,7.382709139581607
ANOSI,OG953187,ANOSI10125,12.078585461689588,8.599225142313538
ANOSI,OG814084,ANOSI08197,7.7849576271186445,5.252455680552731
ANOSI,OG699681,ANOSI08225,8.156342182890855,2.864034874947714
ANOSI,OG946387,ANOSI17759,7.771005917159763,4.409938968968183
ANOSI,OG946885,ANOSI17776,8.617647058823529,5.8231745452054975
ANOSI,OG1214309,ANOSI17769,5.108504398826979,1.878248183348102
ANOSI,OG341995,ANOSI16311,8.531658817373103,15.953324032724911
ANOSI,OG1079985,ANOSI16316,8.701041150223103,6.400170726744305
ANOSI,OG976835,ANOSI16315,12.019607843137255,7.231186397055333
ANOSI,OG675570,ANOSI13707,3.844765342960289,1.7208898186812447
ANOSI,OG971355,ANOSI13700,14.063949843260188,6.709347669798019
ANOSI,OG1223272,ANOSI13699,9.598738476467734,5.34183986462264
ANOSI,OG1224967,ANOSI13721,8.315230224321134,3.847112646441636
ANOSI,OG457329,ANOSI13708,3.2841530054644807,1.0168633968464782
ANOSI,OG961439,ANOSI13690,5.003731343283582,3.1575521105452307
ANOSI,OG998211,ANOSI13712,11.138780804150453,17.137757902979743
ANOSI,OG673136,ANOSI13684,3.5990639625585024,2.169839867840721
ANOSI,OG1139777,ANOSI13705,2.9760479041916166,1.1264490112520396
ANOSI,OG1221689,ANOSI12385,8.982041587901701,4.901357667528247
ANOSI,OG1222683,ANOSI12376,14.000779423226811,3.9418017985433798
ANOSI,OG1215812,ANOSI12428,7.750424448217317,4.354868164463844
ANOSI,OG896170,ANOSI12371,11.640518417462483,3.2450563939632637
ANOSI,OG1231177,ANOSI05477,8.1736066623959,4.2105045867917585
ANOSI,OG961115,ANOSI05647,4.595744680851064,3.0846019396838704
