#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,1.0,1.0,3429,3429,3429
ANOGA,OG1081004,ANOGA04408,1.0,1.0,2151,2151,2151
ANOGA,OG1138880,ANOGA05943,1.0,1.0,681,681,681
ANOGA,OG1139777,ANOGA04100,1.0,1.0,354,354,354
ANOGA,OG1139996,ANOGA05695,1.0,1.0,1329,1329,1329
ANOGA,OG1144131,ANOGA06520,1.0,1.0,2157,2157,2157
ANOGA,OG1146505,ANOGA04324,0.9996124031007751,0.9996124031007751,2579,2580,2580
ANOGA,OG1146507,ANOGA05711,0.9975945017182131,0.9975945017182131,2903,2910,2910
ANOGA,OG1150674,ANOGA05653,1.0,1.0,801,801,801
ANOGA,OG1150857,ANOGA04505,0.9728020240354206,0.9728020240354206,1538,1581,1581
ANOGA,OG1152239,ANOGA06528,1.0,1.0,894,894,894
ANOGA,OG1157040,ANOGA04042,1.0,1.0,783,783,783
ANOGA,OG1162063,ANOGA04462,0.9993141289437586,0.9993141289437586,1457,1458,1458
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOGA,OG1168476,ANOGA04432,1.0,1.0,1269,1269,1269
ANOGA,OG1170587,ANOGA04139,0.9998021760633037,0.9998021760633037,10108,10110,10110
ANOGA,OG1174245,ANOGA04055,0.9994425863991081,0.9994425863991081,1793,1794,1794
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOGA,OG1174891,ANOGA04632,1.0,1.0,897,897,897
ANOGA,OG1176412,ANOGA04492,1.0,1.0,3033,3033,3033
ANOST,OG1179948,ANOST00550,0.9556737588652482,0.9556737588652482,539,564,564
ANOGA,OG1179969,ANOGA05488,0.9846254497873732,0.9846254497873732,3010,3057,3057
ANOGA,OG1181227,ANOGA04642,0.9727223131478451,0.9727223131478451,1783,1833,1833
ANOGA,OG1183200,ANOGA05481,1.0,1.0,879,879,879
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOGA,OG1190683,ANOGA04295,1.0,1.0,1194,1194,1194
ANOGA,OG1191966,ANOGA05362,1.0,1.0,1962,1962,1962
ANOGA,OG1192905,ANOGA05458,0.960668633235005,0.960668633235005,977,1017,1017
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9661016949152542,0.9661016949152542,684,708,708
ANOGA,OG1198488,ANOGA05707,1.0,1.0,1842,1842,1842
ANOGA,OG1198490,ANOGA05372,0.9933065595716198,0.9933065595716198,1484,1494,1494
ANOGA,OG1202204,ANOGA05611,1.0,1.0,723,723,723
ANOGA,OG1202789,ANOGA05383,0.9974795211090107,0.9974795211090107,3166,3174,3174
ANOGA,OG1203459,ANOGA05696,1.0,1.0,984,984,984
