#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1194738,ANOST00274,0.9924242424242424,0.9924242424242424,1441,1452,1452
ANOST,OG1174245,ANOST00043,0.7969543147208121,0.7969543147208121,1413,1773,1773
ANOST,OG451043,ANOST00313,0.9801587301587301,0.9801587301587301,741,756,756
ANOST,OG932104,ANOST00578,0.6605222734254992,0.6605222734254992,860,1302,1302
ANOST,OG703365,ANOST00557,0.6157167530224525,0.6157167530224525,713,1158,1158
ANOST,OG1174891,ANOST00152,0.9988425925925926,0.9988425925925926,863,864,864
ANOST,OG1224967,ANOST00112,0.9983277591973244,0.9983277591973244,1791,1794,1794
ANOST,OG1212040,ANOST00490,0.905011655011655,0.905011655011655,4659,5148,5148
ANOST,OG842298,ANOST00037,0.9304737874964957,0.9304737874964957,3319,3567,3567
ANOST,OG351572,ANOST00298,0.9954462659380692,0.9954462659380692,1093,1098,1098
ANOST,OG1218158,ANOST00323,0.9786324786324786,0.9786324786324786,687,702,702
ANOST,OG456338,ANOST00458,0.616304347826087,0.616304347826087,3402,5520,5520
ANOST,OG926503,ANOST00307,1.0,1.0,486,486,486
ANOST,OG1221639,ANOST00016,0.7883597883597884,0.7883597883597884,298,378,378
ANOST,OG1181227,ANOST00162,0.9689034369885434,0.9689034369885434,1776,1833,1833
ANOST,OG1222683,ANOST00125,0.8918128654970761,0.8918128654970761,1525,1710,1710
ANOST,OG977782,ANOST00291,0.5691868758915835,0.5691868758915835,1197,2103,2103
ANOST,OG790850,ANOST00477,0.8743343982960596,0.8743343982960596,821,939,939
ANOST,OG1231177,ANOST00129,0.9704106280193237,0.9704106280193237,1607,1656,1656
ANOST,OG736122,ANOST00177,0.6292735042735043,0.6292735042735043,589,936,936
ANOST,OG1231901,ANOST00272,0.6441385064664163,0.6441385064664163,1544,2397,2397
ANOST,OG958126,ANOST00036,0.7792792792792793,0.7792792792792793,519,666,666
ANOST,OG665560,ANOST00160,0.8758169934640523,0.8758169934640523,3082,3519,3519
ANOST,OG1202204,ANOST00290,0.99860529986053,0.99860529986053,716,717,717
ANOST,OG1242667,ANOST00533,0.9055280528052805,0.9055280528052805,2195,2424,2424
ANOST,OG949490,ANOST00312,0.9631147540983607,0.9631147540983607,705,732,732
ANOST,OG1179969,ANOST00511,0.9583333333333334,0.9583333333333334,2990,3120,3120
ANOST,OG375937,ANOST00377,0.06390977443609022,0.06390977443609022,51,798,798
ANOST,OG456648,ANOST00195,0.6386554621848739,0.6386554621848739,912,1428,1428
ANOST,OG1219581,ANOST00235,0.8247232472324724,0.8247232472324724,1341,1626,1626
ANOST,OG823037,ANOST00337,0.5952380952380952,0.5952380952380952,800,1344,1344
ANOST,OG1204971,ANOST00430,0.6867865296803652,0.6867865296803652,4813,7008,7008
ANOST,OG1216622,ANOST00470,0.9700551615445232,0.9700551615445232,1231,1269,1269
ANOST,OG823032,ANOST00528,0.7949886104783599,0.7949886104783599,1047,1317,1317
ANOST,OG761976,ANOST00415,0.764520202020202,0.764520202020202,1211,1584,1584
