#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,3.2991967871485945,2.2514697023749997
ANODA,OG676343,ANODA08502,nan,nan
ANODA,OG951333,ANODA08505,3.235294117647059,1.6437729829198322
ANODA,OG960910,ANODA08504,25.753424657534246,15.10848919163529
ANODA,OG848281,ANODA03007,3.242710795902285,1.4936812207870303
ANODA,OG1221639,ANODA05486,nan,nan
ANODA,OG964633,ANODA05487,13.233870967741936,21.73617798516348
ANODA,OG718578,ANODA00549,1.6015625,0.4895764073091656
ANODA,OG961398,ANODA01312,3.636458333333333,2.6343333989070596
ANODA,OG411836,ANODA03579,2.202185792349727,1.3570683721073522
ANODA,OG1241986,ANODA03573,10.103411513859275,4.823424661149628
ANODA,OG698904,ANODA03572,9.426178010471205,4.463254537251748
ANODA,OG1157040,ANODA03571,2.6424682395644283,1.0899360137017455
ANODA,OG958126,ANODA01492,7.995555555555556,3.7231978820814504
ANODA,OG842298,ANODA01152,11.715903942002718,8.61892396835511
ANODA,OG1174245,ANODA09078,8.287490287490288,2.6387861566337274
ANODA,OG456351,ANODA09077,21.625,43.09248774438533
ANODA,OG1251511,ANODA09076,3.5463242698892246,2.261174351909474
ANODA,OG961602,ANODA09075,6.470941883767535,1.956607764094349
ANODA,OG953187,ANODA09070,9.197211155378486,6.088895924297553
ANODA,OG814084,ANODA09331,25.68235294117647,8.004053707159283
ANODA,OG699681,ANODA09332,4.3097345132743365,1.6726834252246365
ANODA,OG946387,ANODA07723,5.3033401499659165,3.5230290803993634
ANODA,OG946885,ANODA07717,10.216410256410256,5.656250224390754
ANODA,OG1214309,ANODA07715,nan,nan
ANODA,OG341995,ANODA06295,2.3632790567097137,2.5718161523214054
ANODA,OG1079985,ANODA06296,4.754376058723885,3.0619570202151385
ANODA,OG976835,ANODA06297,16.821656050955415,15.062715256157123
ANODA,OG675570,ANODA03502,nan,nan
ANODA,OG971355,ANODA03504,10.465149359886203,6.8204879373219285
ANODA,OG1223272,ANODA01666,3.5895953757225434,1.5256217754073627
ANODA,OG1224967,ANODA01667,4.078592814371257,2.568922359995509
ANODA,OG457329,ANODA01668,nan,nan
ANODA,OG961439,ANODA01669,2.7003968253968256,1.5922430523534086
ANODA,OG998211,ANODA01670,1.9241379310344828,1.1819490543936004
ANODA,OG673136,ANODA03220,1.3542600896860986,0.4782884888241572
ANODA,OG1139777,ANODA01246,1.3371428571428572,0.4727341229702043
ANODA,OG1221689,ANODA08570,3.6034644194756553,1.9167034310872189
ANODA,OG1222683,ANODA08571,25.918959107806693,8.622274540247396
ANODA,OG1215812,ANODA08572,15.729357798165138,8.032530984803456
ANODA,OG896170,ANODA03515,7.492120343839542,4.513503563232978
ANODA,OG1231177,ANODA03650,14.937252311756936,6.403796707053462
ANODA,OG961115,ANODA03651,7.372350230414747,3.799050391524
ANODA,OG911937,ANODA03653,4.869897959183674,3.1326395582372015
ANODA,OG924410,ANODA03655,3.5636363636363635,1.9396884850474956
ANODA,OG792952,ANODA03657,1.7496111975116642,0.6700518802589355
ANODA,OG792914,ANODA03658,4.454203262233375,1.8081019457604939
ANODA,OG1244115,ANODA03659,1.0,0.0
ANODA,OG1170587,ANODA03456,2.2331618334892425,1.5983897454313511
ANODA,OG1226379,ANODA02643,11.364016736401673,5.7119966773065345
ANODA,OG458150,ANODA02645,nan,nan
ANODA,OG975279,ANODA02647,15.898981989036805,8.80440769680788
ANODA,OG1174891,ANODA02648,7.178817056396149,3.3322965843943986
ANODA,OG455346,ANODA06172,19.68659793814433,9.216453562028436
ANODA,OG1240929,ANODA06171,nan,nan
ANODA,OG822311,ANODA06170,4.101670644391408,4.005446420508339
ANODA,OG420493,ANODA06168,3.6920634920634923,1.4399406499345162
ANODA,OG665560,ANODA06166,4.0892634207240945,2.767548179908101
ANODA,OG420768,ANODA06165,6.324456521739131,3.6790608631913333
ANODA,OG1181227,ANODA06163,7.049603174603175,3.451600326815748
ANODA,OG342477,ANODA06162,9.463630987581313,17.671195466211337
ANODA,OG966098,ANODA06161,2.3335143943508965,1.1827159571238974
ANODA,OG419349,ANODA03242,5.245187436676798,3.0812477637287623
ANODA,OG736122,ANODA03241,3.362924281984334,1.6734398250468054
ANODA,OG1251119,ANODA03237,10.447955390334572,4.365938358778879
ANODA,OG796653,ANODA01604,3.0952080706179066,1.8704281936435656
ANODA,OG793899,ANODA01385,6.823825503355705,2.845136459452626
ANODA,OG899270,ANODA01952,3.6019677996422184,1.768304644454679
ANODA,OG456648,ANODA01951,1.672077922077922,0.46945626924490474
ANODA,OG1251552,ANODA07755,2.059925093632959,0.3409679903143384
ANODA,OG1189787,ANODA07757,5.364273204903678,2.540126716566956
ANODA,OG962019,ANODA07758,8.0,0.0
ANODA,OG967514,ANODA06786,10.93601462522852,5.084794789105859
ANODA,OG762076,ANODA10391,4.958878504672898,1.9789052609884732
ANODA,OG1198488,ANODA06785,12.290322580645162,6.298824663593012
ANODA,OG456691,ANODA06792,nan,nan
ANODA,OG1203459,ANODA03477,4.407988587731812,2.8747797196287963
ANODA,OG1139996,ANODA03476,3.0418006430868165,1.5929136263216985
ANODA,OG1208321,ANODA05883,3.712,8.714584489765894
ANODA,OG1240968,ANODA05983,22.81159420289855,9.414220452797961
ANODA,OG961322,ANODA05981,11.178947368421053,6.509473173554825
ANODA,OG698997,ANODA05980,8.881470730527335,5.65787874012154
ANODA,OG1219581,ANODA05977,3.6666666666666665,1.2860950213885458
ANODA,OG823022,ANODA00759,5.089068825910931,3.2373748252396806
ANODA,OG1174608,ANODA04336,4.244813278008299,1.0236944252745628
ANODA,OG839253,ANODA06918,nan,nan
ANODA,OG1150674,ANODA06923,1.0,0.0
ANODA,OG348620,ANODA06924,3.2586975914362175,1.8287469809961885
ANODA,OG674682,ANODA07073,5.6732348111658455,2.3058338690294287
ANODA,OG964673,ANODA07075,4.92836676217765,2.0037280219204763
ANODA,OG373241,ANODA00581,5.393393393393393,1.4368231823205144
ANODA,OG960979,ANODA00582,5.4068669527896995,2.6516081547492596
ANODA,OG1240325,ANODA00791,nan,nan
ANODA,OG1240328,ANODA00790,nan,nan
ANODA,OG1231901,ANODA00788,1.3097447795823667,0.8738918364552304
ANODA,OG1194738,ANODA04923,95.96763085399449,31.955779090051315
ANODA,OG1214658,ANODA02027,23.21414913957935,11.437586497504235
ANODA,OG344070,ANODA02026,31.996548748921484,30.521523632142507
ANODA,OG925865,ANODA07041,4.311904761904762,2.2636572158632378
ANODA,OG1202204,ANODA07035,3.048882681564246,1.3859274299129043
ANODA,OG977782,ANODA01117,2.0857843137254903,0.8883747401685997
ANODA,OG351572,ANODA06536,6.825112107623318,4.202379942930113
ANODA,OG1218157,ANODA08542,2.410204081632653,0.6739299600134634
ANODA,OG926503,ANODA08545,6.347736625514403,2.5572588970294636
ANODA,OG817086,ANODA08550,5.702060221870047,2.351782990770199
ANODA,OG949490,ANODA08552,6.033639143730887,3.813155230472368
ANODA,OG451043,ANODA08553,8.210843373493976,4.8706896186279725
ANODA,OG451038,ANODA08555,2.6268882175226587,1.142981597893865
ANODA,OG784747,ANODA08561,20.227848101265824,4.681837697965547
ANODA,OG978616,ANODA08564,6.190119760479042,4.505627683684126
ANODA,OG1218158,ANODA08565,3.0023474178403755,1.3643668264243758
ANODA,OG1236745,ANODA08566,5.0941915227629515,1.997780758001137
ANODA,OG1190683,ANODA08567,5.098765432098766,2.940864091285776
ANODA,OG853434,ANODA08568,4.145228215767635,2.2126728663491426
ANODA,OG962230,ANODA03598,6.408940397350993,3.8947221295807744
ANODA,OG1230391,ANODA03599,nan,nan
ANODA,OG352732,ANODA04288,14.77656078860898,5.3816468772657355
ANODA,OG823037,ANODA01777,1.5375647668393781,0.8095212409737251
ANODA,OG964344,ANODA02629,6.365023474178404,4.493014622556886
ANODA,OG456720,ANODA07083,1.8051643192488263,0.979638525000855
ANODA,OG1146505,ANODA07082,2.180293501048218,0.8825049621371867
ANODA,OG671266,ANODA07081,3.0008953442101074,2.313582791786597
ANODA,OG664391,ANODA07080,4.864757358790771,2.2189264626782053
ANODA,OG722946,ANODA07079,8.403703703703703,2.5776793297505645
ANODA,OG961377,ANODA07077,9.71923076923077,4.794830487961387
ANODA,OG1146507,ANODA10392,2.3956521739130436,0.9802299024339693
ANODA,OG986274,ANODA04898,18.7007722007722,11.855681375226286
ANODA,OG988784,ANODA08548,6.9180572109654355,6.463993646780483
ANODA,OG362633,ANODA07026,1.88,0.32496153618543844
ANODA,OG375937,ANODA00223,nan,nan
ANODA,OG949414,ANODA06508,4.119631901840491,1.127370516592331
ANODA,OG917347,ANODA01979,16.632719393282773,6.785882665319135
ANODA,OG1081004,ANODA08766,13.795774647887324,8.581292076120898
ANODA,OG960945,ANODA08768,3.452681388012618,1.7197500192674262
ANODA,OG968775,ANODA05162,10.826455026455026,6.20552225689197
ANODA,OG708597,ANODA05161,3.836431226765799,1.5080983051705703
ANODA,OG1197765,ANODA06617,11.445887445887445,3.5332313918196263
ANODA,OG1168476,ANODA06616,17.53606411398041,9.16686556156739
ANODA,OG971123,ANODA05742,10.8715953307393,5.318675700143651
ANODA,OG761976,ANODA05741,16.45313773431133,11.929228124009365
ANODA,OG979200,ANODA05740,6.6255506607929515,6.040674104725727
ANODA,OG814870,ANODA05594,2.0274122807017543,1.280040215318113
ANODA,OG1225085,ANODA05595,nan,nan
ANODA,OG1229017,ANODA05596,4.468164794007491,3.0091136586761165
ANODA,OG1204971,ANODA05655,5.480013436345314,9.332852546111038
ANODA,OG369576,ANODA04599,2.5836909871244633,1.0077340956399832
ANODA,OG457572,ANODA02309,1.2252747252747254,0.41776311879715083
ANODA,OG1191966,ANODA01579,3.5511458915595306,1.3996266672475115
ANODA,OG456338,ANODA01580,3.674173117522871,2.1920690892205745
ANODA,OG1246006,ANODA06751,3.669387755102041,2.794470055388375
ANODA,OG1198490,ANODA04841,2.724217844727694,1.159555918035524
ANODA,OG1168250,ANODA06913,nan,nan
ANODA,OG1216622,ANODA06914,2.7827715355805243,1.8003336655616289
ANODA,OG1202789,ANODA06915,3.4968387776606953,2.3273334634032774
ANODA,OG1223886,ANODA06917,nan,nan
ANODA,OG790850,ANODA06160,5.84629981024668,3.3973285309645087
ANODA,OG978865,ANODA08940,10.378935939196525,6.266671693337243
ANODA,OG1192905,ANODA10252,16.859613428280774,8.74300340258205
ANODA,OG456479,ANODA10251,13.546110665597434,19.998498312443093
ANODA,OG1212040,ANODA10250,2.875138121546961,2.003741603526584
ANODA,OG1218490,ANODA07244,9.365367180417044,5.21363692604675
ANODA,OG961011,ANODA07246,6.619705340699816,3.3355800401357416
ANODA,OG964929,ANODA07247,2.986175115207373,2.0093772395928173
ANODA,OG877291,ANODA07249,12.39541547277937,9.300681286435541
ANODA,OG961299,ANODA07298,7.981121281464531,5.288711316815606
ANODA,OG719374,ANODA07299,3.4189878383679875,2.0502247040847266
ANODA,OG1183200,ANODA07300,1.3141361256544504,0.464170895482754
ANODA,OG916860,ANODA09028,4.0534351145038165,2.6538549725362763
ANODA,OG1179969,ANODA09026,6.5643425362657934,4.783834642754717
ANODA,OG846448,ANODA08490,6.9605263157894735,4.9162480063391625
ANODA,OG944937,ANODA08489,2.889679715302491,1.249313079831899
ANODA,OG1162063,ANODA08486,1.6480938416422288,0.5673710041025937
ANODA,OG823032,ANODA05893,20.566548881036514,7.843169024028708
ANODA,OG932017,ANODA05892,7.442432082794308,5.321572225791313
ANODA,OG970502,ANODA05891,15.636630754162585,5.572264991012451
ANODA,OG1242667,ANODA10318,8.664315937940762,5.99342695827124
ANODA,OG961440,ANODA00293,18.45113886847906,9.66883693075337
ANODA,OG963232,ANODA07139,2.0155038759689923,0.8557556715352937
