#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,224.76470588235293,303.83825324089213
ANOGA,OG676343,ANOGA05773,nan,nan
ANOGA,OG951333,ANOGA05777,nan,nan
ANOGA,OG960910,ANOGA05775,17.16862745098039,13.66808921619959
ANOGA,OG848281,ANOGA05255,nan,nan
ANOGA,OG1221639,ANOGA05250,nan,nan
ANOGA,OG964633,ANOGA05249,15.202072538860104,7.690848419900203
ANOGA,OG718578,ANOGA05248,nan,nan
ANOGA,OG961398,ANOGA05245,nan,nan
ANOGA,OG411836,ANOGA05239,nan,nan
ANOGA,OG1241986,ANOGA04040,nan,nan
ANOGA,OG698904,ANOGA04041,10.106936416184972,8.650299317540847
ANOGA,OG1157040,ANOGA04042,nan,nan
ANOGA,OG958126,ANOGA04045,nan,nan
ANOGA,OG842298,ANOGA04047,nan,nan
ANOGA,OG1174245,ANOGA04055,nan,nan
ANOGA,OG456351,ANOGA04056,2.196078431372549,0.705337480337449
ANOGA,OG1251511,ANOGA04057,15.301568154402895,9.927032214632375
ANOGA,OG961602,ANOGA04058,nan,nan
ANOGA,OG953187,ANOGA05445,nan,nan
ANOGA,OG814084,ANOGA05434,nan,nan
ANOGA,OG699681,ANOGA05433,nan,nan
ANOGA,OG946387,ANOGA05414,nan,nan
ANOGA,OG946885,ANOGA05407,5.1959798994974875,1.2981563732637205
ANOGA,OG1214309,ANOGA05405,nan,nan
ANOGA,OG341995,ANOGA04081,6.136094674556213,3.4175580597304336
ANOGA,OG1079985,ANOGA04086,nan,nan
ANOGA,OG976835,ANOGA04087,14.921750663129973,7.184973939833078
ANOGA,OG675570,ANOGA04091,nan,nan
ANOGA,OG971355,ANOGA04093,8.142857142857142,6.140012084068539
ANOGA,OG1223272,ANOGA04094,14.484848484848484,11.850383479592836
ANOGA,OG1224967,ANOGA04095,12.357549857549857,8.328652957931917
ANOGA,OG457329,ANOGA04096,nan,nan
ANOGA,OG961439,ANOGA04097,7.911764705882353,3.3097431028437168
ANOGA,OG998211,ANOGA04098,nan,nan
ANOGA,OG673136,ANOGA04099,nan,nan
ANOGA,OG1139777,ANOGA04100,nan,nan
ANOGA,OG1221689,ANOGA04113,6.144278606965174,2.299487202620396
ANOGA,OG1222683,ANOGA04115,nan,nan
ANOGA,OG1215812,ANOGA04116,13.5875,7.511147964858634
ANOGA,OG896170,ANOGA04117,12.620320855614974,9.26439991469521
ANOGA,OG1231177,ANOGA04120,nan,nan
ANOGA,OG961115,ANOGA04121,nan,nan
ANOGA,OG911937,ANOGA04125,4.829787234042553,0.5580798744086809
ANOGA,OG924410,ANOGA04132,6.419795221843003,5.104159177934923
ANOGA,OG792952,ANOGA04134,nan,nan
ANOGA,OG792914,ANOGA04135,nan,nan
ANOGA,OG1244115,ANOGA04136,nan,nan
ANOGA,OG1170587,ANOGA04139,nan,nan
ANOGA,OG1226379,ANOGA04627,nan,nan
ANOGA,OG458150,ANOGA04629,nan,nan
ANOGA,OG975279,ANOGA04631,nan,nan
ANOGA,OG1174891,ANOGA04632,nan,nan
ANOGA,OG455346,ANOGA04634,8.63135593220339,5.672909144473218
ANOGA,OG1240929,ANOGA04635,nan,nan
ANOGA,OG822311,ANOGA04636,8.548076923076923,3.948903956241694
ANOGA,OG420493,ANOGA04637,nan,nan
ANOGA,OG665560,ANOGA04640,10.252595155709342,5.7051426305323005
ANOGA,OG420768,ANOGA04641,1.0,0.0
ANOGA,OG1181227,ANOGA04642,11.782945736434108,6.347142725668078
ANOGA,OG342477,ANOGA04643,141.07293127629734,315.94122655352874
ANOGA,OG966098,ANOGA04644,9.541463414634146,4.307054655984426
ANOGA,OG419349,ANOGA04655,nan,nan
ANOGA,OG736122,ANOGA04659,nan,nan
ANOGA,OG1251119,ANOGA04663,6.183783783783784,4.787794928521362
ANOGA,OG796653,ANOGA04674,6.871710526315789,5.338743500283473
ANOGA,OG793899,ANOGA04677,nan,nan
ANOGA,OG899270,ANOGA04679,nan,nan
ANOGA,OG456648,ANOGA04680,nan,nan
ANOGA,OG1251552,ANOGA04696,nan,nan
ANOGA,OG1189787,ANOGA04698,nan,nan
ANOGA,OG962019,ANOGA04699,nan,nan
ANOGA,OG967514,ANOGA05706,nan,nan
ANOGA,OG762076,ANOGA05710,nan,nan
ANOGA,OG1198488,ANOGA05707,35.975301204819274,20.430457822500856
ANOGA,OG456691,ANOGA05703,nan,nan
ANOGA,OG1203459,ANOGA05696,nan,nan
ANOGA,OG1139996,ANOGA05695,nan,nan
ANOGA,OG1208321,ANOGA05692,14.027042744984007,11.017347143054794
ANOGA,OG1240968,ANOGA05685,nan,nan
ANOGA,OG961322,ANOGA05683,nan,nan
ANOGA,OG698997,ANOGA05682,10.34564958283671,7.515400288936894
ANOGA,OG1219581,ANOGA05679,114.74603174603175,118.96877918496473
ANOGA,OG823022,ANOGA05671,nan,nan
ANOGA,OG1174608,ANOGA05668,nan,nan
ANOGA,OG839253,ANOGA05660,nan,nan
ANOGA,OG1150674,ANOGA05653,nan,nan
ANOGA,OG348620,ANOGA05652,nan,nan
ANOGA,OG674682,ANOGA05648,nan,nan
ANOGA,OG964673,ANOGA05646,1.0,0.0
ANOGA,OG373241,ANOGA05645,nan,nan
ANOGA,OG960979,ANOGA05643,16.375709421112372,12.808138028305024
ANOGA,OG1240325,ANOGA05642,nan,nan
ANOGA,OG1240328,ANOGA05641,nan,nan
ANOGA,OG1231901,ANOGA05639,nan,nan
ANOGA,OG1194738,ANOGA05637,nan,nan
ANOGA,OG1214658,ANOGA05631,nan,nan
ANOGA,OG344070,ANOGA05629,1.5538461538461539,0.497092136043185
ANOGA,OG925865,ANOGA05617,nan,nan
ANOGA,OG1202204,ANOGA05611,nan,nan
ANOGA,OG977782,ANOGA05610,nan,nan
ANOGA,OG351572,ANOGA04255,nan,nan
ANOGA,OG1218157,ANOGA04267,nan,nan
ANOGA,OG926503,ANOGA04270,4.281437125748503,1.2662653255891294
ANOGA,OG817086,ANOGA04277,nan,nan
ANOGA,OG949490,ANOGA04279,nan,nan
ANOGA,OG451043,ANOGA04280,nan,nan
ANOGA,OG451038,ANOGA04282,nan,nan
ANOGA,OG784747,ANOGA04289,1.3037037037037038,0.4598562428198151
ANOGA,OG978616,ANOGA04292,10.14760147601476,6.306470624513969
ANOGA,OG1218158,ANOGA04293,nan,nan
ANOGA,OG1236745,ANOGA04294,nan,nan
ANOGA,OG1190683,ANOGA04295,6.311053984575835,4.523393199319077
ANOGA,OG853434,ANOGA04296,nan,nan
ANOGA,OG962230,ANOGA04299,nan,nan
ANOGA,OG1230391,ANOGA04302,nan,nan
ANOGA,OG352732,ANOGA04305,nan,nan
ANOGA,OG823037,ANOGA04308,nan,nan
ANOGA,OG964344,ANOGA04312,nan,nan
ANOGA,OG456720,ANOGA04313,nan,nan
ANOGA,OG1146505,ANOGA04324,16.406926406926406,7.581519144892244
ANOGA,OG671266,ANOGA04325,14.435864709636247,11.043578596129166
ANOGA,OG664391,ANOGA04327,11.09062980030722,6.079813851567416
ANOGA,OG722946,ANOGA04328,nan,nan
ANOGA,OG961377,ANOGA04332,20.22087745839637,13.715928872214457
ANOGA,OG1146507,ANOGA05711,nan,nan
ANOGA,OG986274,ANOGA04306,nan,nan
ANOGA,OG988784,ANOGA04273,25.526813880126184,22.40789223305341
ANOGA,OG362633,ANOGA04668,nan,nan
ANOGA,OG375937,ANOGA13872,nan,nan
ANOGA,OG949414,ANOGA05260,nan,nan
ANOGA,OG917347,ANOGA05769,7.1395348837209305,6.582504631637361
ANOGA,OG1081004,ANOGA04408,nan,nan
ANOGA,OG960945,ANOGA04410,nan,nan
ANOGA,OG968775,ANOGA04415,8.123456790123457,3.801015835791188
ANOGA,OG708597,ANOGA04416,nan,nan
ANOGA,OG1197765,ANOGA04431,nan,nan
ANOGA,OG1168476,ANOGA04432,nan,nan
ANOGA,OG971123,ANOGA04434,nan,nan
ANOGA,OG761976,ANOGA04435,nan,nan
ANOGA,OG979200,ANOGA04436,nan,nan
ANOGA,OG814870,ANOGA05303,nan,nan
ANOGA,OG1225085,ANOGA05304,nan,nan
ANOGA,OG1229017,ANOGA05305,7.58961038961039,5.641027455818191
ANOGA,OG1204971,ANOGA05312,nan,nan
ANOGA,OG369576,ANOGA05331,nan,nan
ANOGA,OG457572,ANOGA05354,nan,nan
ANOGA,OG1191966,ANOGA05362,nan,nan
ANOGA,OG456338,ANOGA05365,nan,nan
ANOGA,OG1246006,ANOGA05367,1.0,0.0
