#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,2.9444444444444446,3.0693901681749973
ANOGA,OG676343,ANOGA05773,2.0,0.0
ANOGA,OG951333,ANOGA05777,1.7703703703703704,0.42059465382454486
ANOGA,OG960910,ANOGA05775,4.073651452282157,1.9542938009053878
ANOGA,OG848281,ANOGA05255,nan,nan
ANOGA,OG1221639,ANOGA05250,1.0,0.0
ANOGA,OG964633,ANOGA05249,5.8842257597684515,5.811279274210417
ANOGA,OG718578,ANOGA05248,1.413533834586466,0.5939690997532927
ANOGA,OG961398,ANOGA05245,3.181389870435807,1.3676671737589237
ANOGA,OG411836,ANOGA05239,1.5454545454545454,0.49792959773196915
ANOGA,OG1241986,ANOGA04040,1.6162162162162161,0.4863062729272425
ANOGA,OG698904,ANOGA04041,4.572132616487456,3.1812332379617354
ANOGA,OG1157040,ANOGA04042,1.1009615384615385,0.3012777891133327
ANOGA,OG958126,ANOGA04045,nan,nan
ANOGA,OG842298,ANOGA04047,2.8190671450538187,1.555587258304029
ANOGA,OG1174245,ANOGA04055,1.0493827160493827,0.2166657873430154
ANOGA,OG456351,ANOGA04056,3.528,2.2219846984171605
ANOGA,OG1251511,ANOGA04057,7.493267504488331,3.8060531853150366
ANOGA,OG961602,ANOGA04058,3.772,0.8877026529193207
ANOGA,OG953187,ANOGA05445,7.145,2.750268168742823
ANOGA,OG814084,ANOGA05434,1.9166666666666667,0.843685697138191
ANOGA,OG699681,ANOGA05433,1.6450381679389312,0.4785017553164443
ANOGA,OG946387,ANOGA05414,4.344703770197486,2.4464890301665903
ANOGA,OG946885,ANOGA05407,2.868544600938967,1.4014064846912548
ANOGA,OG1214309,ANOGA05405,nan,nan
ANOGA,OG341995,ANOGA04081,2.877284595300261,2.2003040236044904
ANOGA,OG1079985,ANOGA04086,1.3588162762022196,0.5944507703783349
ANOGA,OG976835,ANOGA04087,5.090316573556797,3.792602730019503
ANOGA,OG675570,ANOGA04091,nan,nan
ANOGA,OG971355,ANOGA04093,3.386574074074074,1.8017751853622321
ANOGA,OG1223272,ANOGA04094,5.5633074935400515,2.791829610613507
ANOGA,OG1224967,ANOGA04095,2.3347022587268995,1.407258633680682
ANOGA,OG457329,ANOGA04096,nan,nan
ANOGA,OG961439,ANOGA04097,1.0755395683453237,0.26425998932779426
ANOGA,OG998211,ANOGA04098,2.6588845654993514,1.0715557381835767
ANOGA,OG673136,ANOGA04099,2.4144144144144146,1.166101292623025
ANOGA,OG1139777,ANOGA04100,nan,nan
