#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1079985,ANOST00101,0.9812701199882938,0.9812701199882938,3353,3417,3417
ANOST,OG1081004,ANOST00389,0.9932920536635707,0.9932920536635707,1925,1938,1938
ANOST,OG1138880,ANOST00591,0.9691629955947136,0.9691629955947136,660,681,681
ANOST,OG1139777,ANOST00117,1.0,1.0,354,354,354
ANOST,OG1139996,ANOST00223,0.832933653077538,0.832933653077538,1042,1251,1251
ANOST,OG1144131,ANOST00602,0.9883936861652739,0.9883936861652739,2129,2154,2154
ANOST,OG1146505,ANOST00349,0.9570647931303669,0.9570647931303669,2452,2562,2562
ANOST,OG1146507,ANOST00365,0.7688338493292054,0.7688338493292054,2235,2907,2907
ANOST,OG1150674,ANOST00260,0.9664268585131894,0.9664268585131894,806,834,834
ANOSI,OG1150857,ANOSI15844,0.8001230012300123,0.8001230012300123,1301,1626,1626
ANOGA,OG1152239,ANOGA06528,0.8657718120805369,0.8657718120805369,774,894,894
ANOSI,OG1157040,ANOSI13306,0.9987228607918263,0.9987228607918263,782,783,783
ANOST,OG1162063,ANOST00522,0.9781021897810219,0.9781021897810219,1206,1233,1233
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOST,OG1168476,ANOST00411,0.9857482185273159,0.9857482185273159,1245,1263,1263
ANOST,OG1170587,ANOST00146,0.9956788262486183,0.9956788262486183,9908,9951,9951
ANOGA,OG1174245,ANOGA04055,0.8684503901895206,0.8684503901895206,1558,1794,1794
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOST,OG1174891,ANOST00152,0.9988425925925926,0.9988425925925926,863,864,864
ANOST,OG1176412,ANOST00547,0.9438277833837874,0.9438277833837874,2806,2973,2973
ANOGA,OG1179948,ANOGA04501,0.6595744680851063,0.6595744680851063,372,564,564
ANOST,OG1179969,ANOST00511,0.9961538461538462,0.9961538461538462,3108,3120,3120
ANOGA,OG1181227,ANOGA04642,0.9967266775777414,0.9967266775777414,1827,1833,1833
ANOST,OG1183200,ANOST00504,0.9965034965034965,0.9965034965034965,855,858,858
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOST,OG1190683,ANOST00325,1.0,1.0,1194,1194,1194
ANOST,OG1191966,ANOST00456,0.9774011299435028,0.9774011299435028,1903,1947,1947
ANOST,OG1192905,ANOST00488,0.9265873015873016,0.9265873015873016,934,1008,1008
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANOST,OG1197765,ANOST00410,0.9507246376811594,0.9507246376811594,656,690,690
ANOGA,OG1198488,ANOGA05707,0.9739413680781759,0.9739413680781759,1794,1842,1842
ANODA,OG1198490,ANODA04841,0.9357429718875502,0.9357429718875502,1398,1494,1494
ANOSI,OG1202204,ANOSI18328,1.0,1.0,717,717,717
ANOST,OG1202789,ANOST00471,0.9961143491534832,0.9961143491534832,3589,3603,3603
ANOST,OG1203459,ANOST00222,0.9989806320081549,0.9989806320081549,980,981,981
ANOST,OG1204971,ANOST00430,0.9336472602739726,0.9336472602739726,6543,7008,7008
ANOST,OG1208321,ANOST00225,0.9606809445359692,0.9606809445359692,8747,9105,9105
ANOST,OG1212040,ANOST00490,0.964063714063714,0.964063714063714,4963,5148,5148
ANOST,OG1214309,ANOST00081,0.9899749373433584,0.9899749373433584,395,399,399
ANOST,OG1214658,ANOST00276,0.8333333333333334,0.8333333333333334,585,702,702
ANODA,OG1215812,ANODA08572,0.9923547400611621,0.9923547400611621,649,654,654
ANOGA,OG1216622,ANOGA05381,0.9958437240232751,0.9958437240232751,1198,1203,1203
ANOGA,OG1218157,ANOGA04267,0.9723320158102767,0.9723320158102767,738,759,759
ANOST,OG1218158,ANOST00323,0.9458689458689459,0.9458689458689459,664,702,702
ANOST,OG1218490,ANOST00495,0.9285193289569658,0.9285193289569658,1273,1371,1371
ANOST,OG1219581,ANOST00235,0.9981549815498155,0.9981549815498155,1623,1626,1626
ANOST,OG1221639,ANOST00016,0.8915343915343915,0.8915343915343915,337,378,378
ANOGA,OG1221689,ANOGA04113,0.9987113402061856,0.9987113402061856,2325,2328,2328
ANOGA,OG1222683,ANOGA04115,0.8846846846846846,0.8846846846846846,1473,1665,1665
ANOGA,OG1223272,ANOGA04094,0.9986962190352021,0.9986962190352021,2298,2301,2301
ANOGA,OG1223886,ANOGA05389,0.9227642276422764,0.9227642276422764,454,492,492
ANOGA,OG1224967,ANOGA04095,1.0,1.0,1791,1791,1791
ANOST,OG1225085,ANOST00424,0.9420677361853832,0.9420677361853832,4228,4488,4488
ANOST,OG1226379,ANOST00147,0.9625382262996942,0.9625382262996942,1259,1308,1308
ANOGA,OG1229017,ANOGA05305,0.9829242262540021,0.9829242262540021,2763,2811,2811
ANOST,OG1230391,ANOST00331,0.9397363465160076,0.9397363465160076,998,1062,1062
ANOST,OG1231177,ANOST00129,0.9951690821256038,0.9951690821256038,1648,1656,1656
ANOST,OG1231901,ANOST00272,0.9916562369628703,0.9916562369628703,2377,2397,2397
ANOST,OG1235653,ANOST00565,0.997289972899729,0.997289972899729,1840,1845,1845
ANOST,OG1236745,ANOST00324,0.9885057471264368,0.9885057471264368,860,870,870
ANOST,OG1240325,ANOST00269,0.9941927990708479,0.9941927990708479,856,861,861
ANOGA,OG1240328,ANOGA05641,0.9977401129943503,0.9977401129943503,883,885,885
ANOST,OG1240929,ANOST00157,0.878167641325536,0.878167641325536,901,1026,1026
ANOSI,OG1240968,ANOSI11112,0.94679186228482,0.94679186228482,1210,1278,1278
ANOST,OG1241986,ANOST00031,0.9907621247113164,0.9907621247113164,1287,1299,1299
ANOST,OG1242667,ANOST00533,0.9735973597359736,0.9735973597359736,2360,2424,2424
ANOST,OG1244115,ANOST00140,0.9942528735632183,0.9942528735632183,346,348,348
ANOST,OG1246006,ANOST00459,1.0,1.0,1020,1020,1020
ANOGA,OG1251119,ANOGA04663,0.9187739463601533,0.9187739463601533,1199,1305,1305
ANOGA,OG1251511,ANOGA04057,0.9628670120898101,0.9628670120898101,2230,2316,2316
ANOGA,OG1251552,ANOGA04696,0.8944444444444445,0.8944444444444445,483,540,540
ANOST,OG341995,ANOST00098,0.9469003053232444,0.9469003053232444,7133,7533,7533
ANOST,OG342477,ANOST00163,0.9956815114709852,0.9956815114709852,3689,3705,3705
ANOST,OG344070,ANOST00277,0.7248239975512702,0.7248239975512702,2368,3267,3267
ANOST,OG348620,ANOST00261,0.9992625368731564,0.9992625368731564,1355,1356,1356
ANOST,OG351572,ANOST00298,0.9107468123861566,0.9107468123861566,1000,1098,1098
ANOST,OG352732,ANOST00335,0.9910714285714286,0.9910714285714286,1332,1344,1344
ANOST,OG362545,ANOST00615,0.8808705612829324,0.8808705612829324,769,873,873
ANOST,OG362633,ANOST00370,0.4212730318257956,0.4212730318257956,503,1194,1194
ANOST,OG369576,ANOST00441,0.996316758747698,0.996316758747698,541,543,543
ANODA,OG373241,ANODA00581,1.0,1.0,333,333,333
ANOST,OG375937,ANOST00377,0.3132832080200501,0.3132832080200501,250,798,798
