#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG946885,ANOSI17776,0.8448012232415902,0.8448012232415902,1105,1308,1308
ANOSI,OG822311,ANOSI13972,0.8119282839370655,0.8119282839370655,2219,2733,2733
ANOSI,OG817086,ANOSI08325,0.8650793650793651,0.8650793650793651,654,756,756
ANOSI,OG348620,ANOSI16831,0.9837758112094396,0.9837758112094396,1334,1356,1356
ANOSI,OG1244115,ANOSI05521,0.7614942528735632,0.7614942528735632,265,348,348
ANOSI,OG1192905,ANOSI13732,0.9154375614552606,0.9154375614552606,931,1017,1017
ANOSI,OG341995,ANOSI16311,0.42327823691460054,0.42327823691460054,3073,7260,7260
ANOSI,OG978865,ANOSI19223,0.8826429980276134,0.8826429980276134,895,1014,1014
ANOSI,OG814084,ANOSI08197,0.6828571428571428,0.6828571428571428,717,1050,1050
ANOSI,OG1230391,ANOSI08180,0.3097261567516525,0.3097261567516525,328,1059,1059
ANOSI,OG1218490,ANOSI09061,0.6141108711303096,0.6141108711303096,853,1389,1389
ANOSI,OG1081004,ANOSI11947,0.5711350796096559,0.5711350796096559,1112,1947,1947
ANOSI,OG1179948,ANOSI16890,0.41889483065953653,0.41889483065953653,235,561,561
ANOSI,OG1223272,ANOSI13699,0.8873534338358459,0.8873534338358459,2119,2388,2388
ANOSI,OG661167,ANOSI16743,0.9317129629629629,0.9317129629629629,805,864,864
ANOSI,OG998211,ANOSI13712,0.569387194284144,0.569387194284144,2072,3639,3639
ANOSI,OG1241986,ANOSI13275,0.9354838709677419,0.9354838709677419,1218,1302,1302
ANOSI,OG792914,ANOSI05550,0.7835390946502058,0.7835390946502058,952,1215,1215
ANOSI,OG926503,ANOSI08194,1.0,1.0,486,486,486
ANOSI,OG1219581,ANOSI11081,0.8276069921639542,0.8276069921639542,1373,1659,1659
ANOSI,OG962019,ANOSI09471,0.25396825396825395,0.25396825396825395,224,882,882
ANOSI,OG790850,ANOSI19220,0.802990325417766,0.802990325417766,913,1137,1137
ANOSI,OG456351,ANOSI10182,0.34029435163086713,0.34029435163086713,1711,5028,5028
ANOSI,OG1168476,ANOSI15819,0.910786699107867,0.910786699107867,1123,1233,1233
ANOSI,OG1139777,ANOSI13705,0.9491525423728814,0.9491525423728814,336,354,354
ANOSI,OG953548,ANOSI16981,0.9994863893168978,0.9994863893168978,1946,1947,1947
ANOSI,OG761976,ANOSI15820,0.5449936628643853,0.5449936628643853,860,1578,1578
ANOSI,OG1251511,ANOSI10202,0.96248382923674,0.96248382923674,2232,2319,2319
ANOSI,OG457572,ANOSI19201,0.4018264840182648,0.4018264840182648,176,438,438
ANOSI,OG823032,ANOSI15205,0.6021260440394837,0.6021260440394837,793,1317,1317
ANOSI,OG961602,ANOSI10095,0.8818342151675485,0.8818342151675485,500,567,567
ANOSI,OG699681,ANOSI08225,0.6371681415929203,0.6371681415929203,216,339,339
ANOSI,OG1150674,ANOSI16840,0.7715355805243446,0.7715355805243446,618,801,801
ANOSI,OG986805,ANOSI17797,0.8921957671957672,0.8921957671957672,5396,6048,6048
ANOSI,OG953187,ANOSI10125,0.8777777777777778,0.8777777777777778,474,540,540
ANOSI,OG1170587,ANOSI05651,0.9473473473473474,0.9473473473473474,9464,9990,9990
ANOSI,OG988784,ANOSI08226,0.5884115884115884,0.5884115884115884,3534,6006,6006
ANOSI,OG719374,ANOSI14969,0.5527065527065527,0.5527065527065527,2328,4212,4212
ANOSI,OG961564,ANOSI18947,0.5945945945945946,0.5945945945945946,1122,1887,1887
ANOSI,OG1174608,ANOSI10178,0.759009009009009,0.759009009009009,337,444,444
ANOSI,OG1208321,ANOSI11134,0.9785484447622452,0.9785484447622452,8211,8391,8391
ANOSI,OG968775,ANOSI11909,0.7919433377600709,0.7919433377600709,1789,2259,2259
ANOSI,OG1251119,ANOSI19256,0.7265512265512265,0.7265512265512265,1007,1386,1386
ANOSI,OG1183200,ANOSI14974,0.41468926553672314,0.41468926553672314,367,885,885
ANOSI,OG896170,ANOSI12371,0.9300653594771242,0.9300653594771242,1423,1530,1530
ANOSI,OG456479,ANOSI13787,0.6307775965198478,0.6307775965198478,1160,1839,1839
ANOSI,OG932104,ANOSI16749,0.343811394891945,0.343811394891945,525,1527,1527
ANOSI,OG1152239,ANOSI16991,0.3007360672975815,0.3007360672975815,286,951,951
ANOSI,OG846448,ANOSI18065,0.6652719665271967,0.6652719665271967,477,717,717
ANOSI,OG968364,ANOSI14862,0.7250324254215305,0.7250324254215305,1677,2313,2313
ANOSI,OG961377,ANOSI08182,0.9961575408261287,0.9961575408261287,1037,1041,1041
ANOSI,OG1222683,ANOSI12376,0.7261904761904762,0.7261904761904762,1220,1680,1680
ANOSI,OG696447,ANOSI18946,0.9372937293729373,0.9372937293729373,852,909,909
ANOSI,OG986274,ANOSI08263,0.8498168498168498,0.8498168498168498,1392,1638,1638
ANOSI,OG1198490,ANOSI18566,0.9344042838018741,0.9344042838018741,1396,1494,1494
ANOSI,OG970502,ANOSI15209,0.8672566371681416,0.8672566371681416,882,1017,1017
ANOSI,OG1226379,ANOSI13958,0.7737556561085973,0.7737556561085973,1026,1326,1326
ANOSI,OG1079985,ANOSI16316,0.6364452423698385,0.6364452423698385,2127,3342,3342
ANOSI,OG1146505,ANOSI08230,0.647196261682243,0.647196261682243,1662,2568,2568
ANOSI,OG420493,ANOSI13963,0.7028423772609819,0.7028423772609819,544,774,774
ANOSI,OG946387,ANOSI17759,0.69188921859545,0.69188921859545,1399,2022,2022
ANOSI,OG916860,ANOSI16582,0.5670498084291188,0.5670498084291188,444,783,783
ANOSI,OG455346,ANOSI13964,0.907859078590786,0.907859078590786,1005,1107,1107
ANOSI,OG1204971,ANOSI12470,0.6432006996064713,0.6432006996064713,4413,6861,6861
ANOSI,OG784747,ANOSI08261,0.9062918340026773,0.9062918340026773,677,747,747
ANOSI,OG456648,ANOSI18213,0.3699788583509514,0.3699788583509514,525,1419,1419
ANOSI,OG976835,ANOSI16315,0.9947826086956522,0.9947826086956522,1716,1725,1725
ANOSI,OG411836,ANOSI13282,0.9327217125382263,0.9327217125382263,1220,1308,1308
ANOSI,OG1174245,ANOSI10141,0.6137316561844863,0.6137316561844863,1171,1908,1908
ANOSI,OG964673,ANOSI18236,0.8591065292096219,0.8591065292096219,500,582,582
ANOSI,OG362633,ANOSI16462,0.08424110384894698,0.08424110384894698,116,1377,1377
ANOSI,OG736122,ANOSI16384,0.5064102564102564,0.5064102564102564,474,936,936
ANOSI,OG665560,ANOSI13979,0.7445652173913043,0.7445652173913043,2466,3312,3312
ANOSI,OG1240325,ANOSI13359,0.5782828282828283,0.5782828282828283,458,792,792
ANOSI,OG1216622,ANOSI15784,0.8790771678599841,0.8790771678599841,1105,1257,1257
ANOSI,OG1150857,ANOSI15844,0.5627306273062731,0.5627306273062731,915,1626,1626
ANOSI,OG1157040,ANOSI13306,0.9974457215836526,0.9974457215836526,781,783,783
ANOSI,OG1240328,ANOSI13371,0.4056497175141243,0.4056497175141243,359,885,885
ANOSI,OG848281,ANOSI16815,0.7732843137254902,0.7732843137254902,1262,1632,1632
ANOSI,OG911937,ANOSI05566,0.8906331763474621,0.8906331763474621,1702,1911,1911
ANOSI,OG861720,ANOSI11902,0.28081123244929795,0.28081123244929795,1080,3846,3846
ANOSI,OG1218158,ANOSI08297,0.9444444444444444,0.9444444444444444,663,702,702
ANOSI,OG1190683,ANOSI08201,0.899749373433584,0.899749373433584,1077,1197,1197
ANOSI,OG932017,ANOSI15215,0.8256819693945442,0.8256819693945442,1241,1503,1503
