#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
DROBS,OG1193906,DROBS01500,0.12273800157356413,0.12273800157356413,468,3813,3813
DROBS,OG1191920,DROBS00765,0.43777777777777777,0.43777777777777777,788,1800,1800
DROBS,OG1239051,DROBS01156,0.1802030456852792,0.1802030456852792,213,1182,1182
DROBS,OG1153829,DROBS01030,0.45748116254036597,0.45748116254036597,1275,2787,2787
DROBS,OG752174,DROBS01506,0.1557422969187675,0.1557422969187675,556,3570,3570
DROBS,OG946142,DROBS01566,0.18674211802748586,0.18674211802748586,693,3711,3711
DROBS,OG1242287,DROBS00023,0.09596819988642817,0.09596819988642817,169,1761,1761
DROBS,OG981581,DROBS01076,0.27727468736524363,0.27727468736524363,643,2319,2319
DROBS,OG979238,DROBS00237,0.2882882882882883,0.2882882882882883,896,3108,3108
DROBS,OG961173,DROBS00672,0.06168831168831169,0.06168831168831169,57,924,924
DROBS,OG1245370,DROBS01155,0.6981627296587927,0.6981627296587927,266,381,381
DROBS,OG1212144,DROBS00267,0.12518853695324283,0.12518853695324283,166,1326,1326
DROBS,OG1188396,DROBS01109,0.4519519519519519,0.4519519519519519,602,1332,1332
DROBS,OG945646,DROBS01403,0.47372742200328405,0.47372742200328405,577,1218,1218
DROBS,OG452824,DROBS00520,0.1497175141242938,0.1497175141242938,106,708,708
DROBS,OG865187,DROBS01225,0.28923076923076924,0.28923076923076924,282,975,975
DROBS,OG911297,DROBS00920,0.049019607843137254,0.049019607843137254,60,1224,1224
DROBS,OG1235292,DROBS00718,0.29993815708101423,0.29993815708101423,485,1617,1617
DROBS,OG351499,DROBS00220,0.4384920634920635,0.4384920634920635,442,1008,1008
DROBS,OG908583,DROBS00626,0.38614232209737825,0.38614232209737825,1031,2670,2670
DROBS,OG960946,DROBS01023,0.7264367816091954,0.7264367816091954,632,870,870
DROBS,OG961243,DROBS00647,0.175512104283054,0.175512104283054,377,2148,2148
DROBS,OG871459,DROBS00954,0.24031986531986532,0.24031986531986532,571,2376,2376
DROBS,OG674819,DROBS00419,0.30714791224345367,0.30714791224345367,434,1413,1413
DROBS,OG1146508,DROBS00923,0.3133276979430826,0.3133276979430826,1112,3549,3549
DROBS,OG1233783,DROBS00496,0.22786759045419552,0.22786759045419552,296,1299,1299
